# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 73034002
# NOM_USUEL= BEAUFORT-SUR-DORON
# LATITUDE (°) = 45.691
# LONGITUDE(°)= 6.569
# ALTITUDE (m) = 1036
# NUM_SERIE= MTX173034002
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 195712 197012 198512 201512
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;1.9;1
195102;3.9;1
195103;6;1
195104;11.4;1
195105;14.1;1
195106;19.2;1
195107;21.5;1
195108;19.5;1
195109;17.9;1
195110;11.3;1
195111;7.9;1
195112;3.5;1
195201;-0.4;1
195202;1.9;1
195203;8.2;1
195204;14.2;1
195205;17.8;1
195206;22.8;1
195207;25.7;1
195208;21.7;1
195209;13.4;1
195210;11.2;1
195211;3.9;1
195212;0.7;1
195301;-0.3;1
195302;2.6;1
195303;9.2;1
195304;12.9;1
195305;18.1;1
195306;16.8;1
195307;21.1;1
195308;21.2;1
195309;17.9;1
195310;12.8;1
195311;8.9;1
195312;6;1
195401;-0.7;1
195402;2;1
195403;9.1;1
195404;8.6;1
195405;15;1
195406;19.7;1
195407;18.8;1
195408;17.9;1
195409;16.9;1
195410;12.5;1
195411;7.5;1
195412;3.1;1
195501;4;1
195502;3.3;1
195503;6.4;1
195504;13;1
195505;15;1
195506;18.8;1
195507;21.7;1
195508;20.5;1
195509;16.1;1
195510;10.5;1
195511;5.9;1
195512;5;1
195601;1.9;1
195602;-3.6;1
195603;7.2;1
195604;8.7;1
195605;16.9;1
195606;16.8;1
195607;20;1
195608;18.8;1
195609;18.8;1
195610;10.3;1
195611;3.3;1
195612;2.2;1
195701;1.9;1
195702;4.9;1
195703;11.7;1
195704;12;1
195705;12.9;1
195706;18.8;1
195707;20.4;1
195708;19.1;1
195709;16.3;1
195710;12.3;1
195711;5.8;1
195712;2.3;1
195801;0.6;1
195802;4.1;1
195803;4;1
195804;8.8;1
195805;18.8;1
195806;17.4;1
195807;20.6;1
195808;21.8;1
195809;19.5;1
195810;10.6;1
195811;6;1
195812;2.8;1
195901;1.2;1
195902;6.8;1
195903;10.4;1
195904;12.2;1
195905;16.7;1
195906;19.7;1
195907;23.2;1
195908;20.5;1
195909;18.2;1
195910;11.7;1
195911;6;1
195912;2.7;1
196001;0.5;1
196002;4.5;1
196003;9;1
196004;12.3;1
196005;18.9;1
196006;20.5;1
196007;19.1;1
196008;19.4;1
196009;14.9;1
196010;10.7;1
196011;6.6;1
196012;0.7;1
196101;1;1
196102;5.3;1
196103;10.4;1
196104;14.3;1
196105;14.8;1
196106;19.9;1
196107;19.8;1
196108;21.1;1
