# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 73064001
# NOM_USUEL= CHALLES LES EAUX
# LATITUDE (°) = 45.565
# LONGITUDE(°)= 5.97
# ALTITUDE (m) = 298
# NUM_SERIE= MTX173064001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 196912 197512 198912 200405 201712
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;6;1
195102;7.7;1
195103;10.5;1
195104;16.4;1
195105;18.9;1
195106;24;1
195107;26.5;1
195108;25;1
195109;23.2;1
195110;15.5;1
195111;12.2;1
195112;6.5;1
195201;3.4;1
195202;4.9;1
195203;13.9;1
195204;18.9;1
195205;22.6;1
195206;28;1
195207;31.8;1
195208;27.6;1
195209;19.3;1
195210;15.6;1
195211;8.3;1
195212;5.5;1
195301;2.3;1
195302;5.8;1
195303;15.7;1
195304;18.5;1
195305;23.3;1
195306;22.8;1
195307;26.7;1
195308;27.3;1
195309;23.3;1
195310;16.9;1
195311;9.5;1
195312;7.8;1
195401;3.7;1
195402;5.8;1
195403;14;1
195404;14.1;1
195405;19.8;1
195406;24.9;1
195407;24.8;1
195408;24.8;1
195409;22.8;1
195410;17.5;1
195411;12.4;1
195412;7.2;1
195501;7.3;1
195502;6.7;1
195503;10.9;1
195504;19.1;1
195505;20.4;1
195506;24.1;1
195507;27;1
195508;26.7;1
195509;22;1
195510;15.5;1
195511;9;1
195512;8.3;1
195601;6.8;1
195602;-1.9;1
195603;12.7;1
195604;14.6;1
195605;21.9;1
195606;22;1
195607;25.5;1
195608;23.6;1
195609;24;1
195610;14.8;1
195611;7.8;1
195612;6.9;1
195701;4.9;1
195702;10.6;1
195703;17.3;1
195704;17.2;1
195705;18.6;1
195706;24.2;1
195707;26.9;1
195708;25.3;1
195709;22.1;1
195710;17.5;1
195711;10;1
195712;5.4;1
195801;4.8;1
195802;9.5;1
195803;9.3;1
195804;14.1;1
195805;23.5;1
195806;23.3;1
195807;26.2;1
195808;26.6;1
195809;24.5;1
195810;14.8;1
195811;8.3;1
195812;7.2;1
195901;6;1
195902;11.1;1
195903;14.9;1
195904;16.7;1
195905;21.6;1
195906;25.7;1
195907;29.3;1
195908;26.4;1
195909;24;1
195910;16.8;1
195911;8.9;1
195912;8;1
196001;5.3;1
196002;10.5;1
196003;13.6;1
196004;17;1
196005;23.9;1
196006;25.8;1
196007;24.7;1
196008;25.2;1
196009;20.3;1
196010;15.9;1
196011;11.4;1
196012;4.9;1
196101;5.6;1
196102;12.6;1
196103;16.2;1
196104;19.6;1
196105;19.9;1
196106;25.1;1
196107;25.3;1
196108;26.1;1
196109;27.4;1
196110;17.7;1
196111;9.9;1
196112;7.1;1
196201;7.8;1
196202;6;1
196203;9.1;1
196204;17.1;1
196205;19.3;1
196206;24.6;1
196207;27.7;1
196208;30.3;1
196209;23.6;1
196210;17;1
196211;9.1;1
196212;2.4;1
196301;0.4;1
196302;2.2;1
196303;11.6;1
196304;16.6;1
196305;20.1;1
196306;23.4;1
196307;28;1
196308;23.6;1
196309;21.7;1
196310;17.3;1
196311;13.1;1
196312;3.6;1
196401;2.5;1
196402;9.9;1
196403;9.9;1
196404;17.5;1
196405;22.5;1
196406;25.9;1
196407;29.9;1
196408;26.6;1
196409;23.3;1
196410;14.2;1
196411;10;1
196412;4.1;1
196501;5.4;1
196502;4.8;1
196503;11.6;1
196504;14.5;1
196505;20.6;1
196506;24.8;1
196507;25.2;1
196508;25.2;1
196509;20.1;1
196510;17.6;1
196511;9.6;1
196512;7.3;1
196601;4.6;1
196602;12.1;1
196603;11.5;1
196604;17.7;1
196605;20.9;1
196606;26;1
196607;24.3;1
196608;24.7;1
196609;25;1
196610;18.8;1
196611;8.4;1
196612;5.4;1
196701;5.7;1
196702;9.6;1
196703;13.7;1
196704;16.3;1
196705;20.4;1
196706;23.8;1
196707;29.6;1
196708;27.1;1
196709;22.1;1
196710;20.3;1
196711;10.7;1
196712;3.3;1
196801;3.5;1
196802;7.8;1
196803;13.6;1
196804;18.3;1
196805;19.3;1
196806;24.2;1
196807;26.4;1
196808;23.4;1
196809;21;1
196810;19.2;1
196811;9.4;1
196812;4.8;1
196901;5.8;1
196902;5.9;1
196903;11.4;1
196904;15.9;1
196905;21.4;1
196906;22.2;1
196907;27.5;1
196908;25.7;1
196909;23.2;1
196910;18.8;1
196911;11.3;1
196912;1.8;1
197001;6.1;1
197002;6.6;1
197003;7.8;1
197004;13.5;1
197005;20.4;1
197006;25.7;1
197007;26.6;1
