# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 73290002
# NOM_USUEL= TERMIGNON-CLIM
# LATITUDE (°) = 45.275
# LONGITUDE(°)= 6.815
# ALTITUDE (m) = 1280
# NUM_SERIE= MTX173290002
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 196312 199812 200912
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;2.2;1
195102;3.1;1
195103;4.6;1
195104;10.8;1
195105;13.6;1
195106;19.5;1
195107;22.1;1
195108;20.4;1
195109;19.1;1
195110;12.6;1
195111;6.6;1
195112;4.2;1
195201;0;1
195202;2.3;1
195203;8.6;1
195204;13.9;1
195205;16.7;1
195206;22.4;1
195207;24.6;1
195208;22.2;1
195209;14.6;1
195210;11.9;1
195211;3.5;1
195212;1.9;1
195301;-0.4;1
195302;2.3;1
195303;8.7;1
195304;12.8;1
195305;18.2;1
195306;16.4;1
195307;21.4;1
195308;22.7;1
195309;19.1;1
195310;13.1;1
195311;10.3;1
195312;5.1;1
195401;-0.4;1
195402;3.2;1
195403;8.1;1
195404;9;1
195405;14.2;1
195406;19.6;1
195407;19.4;1
195408;18.8;1
195409;18;1
195410;14;1
195411;8.2;1
195412;2.7;1
195501;4.1;1
195502;2.4;1
195503;6.8;1
195504;12.9;1
195505;15.3;1
195506;18.9;1
195507;21.7;1
195508;20.5;1
195509;18.5;1
195510;12.5;1
195511;7.1;1
195512;4.6;1
195601;3.1;1
195602;-3.2;1
195603;6.9;1
195604;8.7;1
195605;17.2;1
195606;17.9;1
195607;21.3;1
195608;19.9;1
195609;19.4;1
195610;11.1;1
195611;4.1;1
195612;2.8;1
195701;3.6;1
195702;5.8;1
195703;12.7;1
195704;11;1
195705;12.7;1
195706;18.8;1
195707;21;1
195708;20.7;1
195709;17.8;1
195710;15.7;1
195711;7.9;1
195712;2.3;1
195801;1.7;1
195802;5.2;1
195803;4.6;1
195804;8.4;1
195805;17.9;1
195806;18.2;1
195807;22.3;1
195808;22.2;1
195809;21;1
195810;12.1;1
195811;7.2;1
195812;3.2;1
195901;1.1;1
195902;6.9;1
195903;9.3;1
195904;11.4;1
195905;15.2;1
195906;20.2;1
195907;23.3;1
195908;20.6;1
195909;19.6;1
195910;12.8;1
195911;6.3;1
195912;2.1;1
196001;1.2;1
196002;5.6;1
196003;6.4;1
196004;11.6;1
196005;17.9;1
196006;20.4;1
196007;19.6;1
196008;20.8;1
196009;15.6;1
196010;9.8;1
196011;6.3;1
196012;1.2;1
196101;2.5;1
196102;6.9;1
196103;11;1
196104;13.1;1
196105;14.9;1
196106;20.3;1
196107;20.3;1
196108;22.2;1
196109;22.5;1
196110;12.7;1
196111;7;1
196112;4.6;1
196201;2.6;1
196202;3;1
196203;3.5;1
196204;10.4;1
196205;14.3;1
196206;19.2;1
196207;22.5;1
196208;25.6;1
196209;19.4;1
196210;15.6;1
196211;4.6;1
196212;1.5;1
196301;-0.6;1
196302;1.3;1
196303;5.7;1
196304;10.8;1
196305;15.6;1
196306;18.9;1
196307;24;1
196308;20.4;1
196309;17.2;1
196310;14.1;1
196311;7.4;1
196312;2.3;1
196401;5;1
196402;6.3;1
196403;5.8;1
196404;11;1
196405;17.6;1
196406;20.5;1
196407;23.5;1
196408;21.7;1
196409;19.1;1
196410;10.2;1
196411;8.9;1
196412;1.8;1
196501;1.4;1
196502;1;1
196503;6.4;1
196504;8.3;1
196505;14.9;1
196506;20;1
196507;20.6;1
196508;20.2;1
196509;15;1
196510;16.2;1
196511;5;1
196512;0.9;1
