# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 73306005
# NOM_USUEL= VALLOIRE FOREST
# LATITUDE (°) = 45.173
# LONGITUDE(°)= 6.433
# ALTITUDE (m) = 1460
# NUM_SERIE= MTX173306005
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195101 202012
# Date(s) de rupture(s) d'homogénéité : 196412 198112 200812 201512
#     Periode homogénéisée  195101 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;2.3;1
195102;2.1;1
195103;4.2;1
195104;9.4;1
195105;12.6;1
195106;17;1
195107;19.4;1
195108;18.6;1
195109;16.6;1
195110;10.6;1
195111;7.1;1
195112;4.7;1
195201;-0.3;1
195202;1.6;1
195203;7.9;1
195204;11.4;1
195205;15.4;1
195206;20.2;1
195207;23.3;1
195208;20.9;1
195209;12.1;1
195210;9.7;1
195211;3.3;1
195212;1.3;1
195301;0.6;1
195302;3;1
195303;8.6;1
195304;11.1;1
195305;16;1
195306;14.8;1
195307;19.5;1
195308;19.4;1
195309;17.2;1
195310;11;1
195311;9.9;1
195312;5.1;1
195401;-0.2;1
195402;1.8;1
195403;7.4;1
195404;7.1;1
195405;12.7;1
195406;17.7;1
195407;17;1
195408;17.2;1
195409;16.1;1
195410;11.5;1
195411;8.4;1
195412;5.4;1
195501;4.7;1
195502;1.4;1
195503;6.1;1
195504;11.2;1
195505;13.5;1
195506;17.4;1
195507;19.3;1
195508;18.5;1
195509;14.7;1
195510;10.6;1
195511;5.7;1
195512;5.2;1
195601;2.9;1
195602;-5.6;1
195603;5.5;1
195604;8;1
195605;15.5;1
195606;15.2;1
195607;20.2;1
195608;19.2;1
195609;18.1;1
195610;10.2;1
195611;1.9;1
195612;2.8;1
195701;2.8;1
195702;5.4;1
195703;12.2;1
195704;9.6;1
195705;10.6;1
195706;17.8;1
195707;19.5;1
195708;17.8;1
195709;15.9;1
195710;13.5;1
195711;6.9;1
195712;2.5;1
195801;2.3;1
195802;4.5;1
195803;4;1
195804;7.7;1
195805;17.7;1
195806;16.4;1
195807;20;1
195808;20.5;1
195809;18.6;1
195810;11.2;1
195811;6.4;1
195812;3;1
195901;1.4;1
195902;8.2;1
195903;8.2;1
195904;10.5;1
195905;14.2;1
195906;17.9;1
195907;21.3;1
195908;19.3;1
195909;17;1
195910;11;1
195911;5.3;1
195912;1.7;1
196001;1.5;1
196002;4.3;1
196003;6.9;1
196004;9.4;1
196005;16.2;1
196006;18.4;1
196007;18;1
196008;18.7;1
196009;13.8;1
196010;8.3;1
196011;4.9;1
196012;0.3;1
196101;1.9;1
196102;6.2;1
196103;9.8;1
196104;12.2;1
196105;12.4;1
196106;17.9;1
196107;18.3;1
196108;19.3;1
196109;20.8;1
196110;12.2;1
196111;5.8;1
196112;4.1;1
196201;2.3;1
196202;1.8;1
196203;3.5;1
196204;8.4;1
196205;12.3;1
196206;17;1
196207;20;1
196208;23.2;1
196209;17.1;1
196210;13;1
196211;3.7;1
196212;0.8;1
196301;-1.5;1
196302;-0.4;1
196303;5.6;1
196304;10.9;1
196305;13;1
196306;17.1;1
196307;21.2;1
196308;18.4;1
196309;16.1;1
196310;13.1;1
196311;8;1
196312;1.8;1
196401;4.2;1
196402;4.9;1
196403;4.6;1
196404;10.5;1
196405;16;1
196406;18.9;1
196407;21.8;1
196408;19.2;1
196409;17.6;1
196410;8.8;1
196411;7.8;1
196412;2.2;1
196501;1.4;1
196502;-1;1
196503;4.9;1
196504;7;1
196505;13.7;1
196506;17.7;1
196507;18.3;1
196508;18.5;1
196509;13.6;1
196510;13.9;1
196511;4.4;1
196512;1.9;1
196601;-0.3;1
196602;6.7;1
196603;3.6;1
196604;10.7;1
196605;14.5;1
196606;19.2;1
196607;17.2;1
196608;17.1;1
196609;18.8;1
196610;12.4;1
196611;2;1
196612;0.7;1
196701;1.4;1
196702;3.9;1
196703;5.9;1
196704;9.3;1
196705;14.3;1
196706;16.7;1
196707;22.3;1
196708;20.9;1
196709;16.4;1
196710;15.9;1
196711;8.6;1
196712;0.8;1
196801;0.6;1
196802;4.1;1
196803;6;1
196804;12.9;1
196805;13.2;1
196806;16.8;1
196807;19.4;1
196808;16.5;1
196809;15;1
196810;14.7;1
196811;7.4;1
196812;1.3;1
196901;2.6;1
196902;-0.4;1
196903;5.4;1
196904;8.9;1
196905;15.4;1
196906;15;1
196907;19.9;1
196908;18.1;1
196909;16.5;1
196910;15.2;1
196911;5.7;1
196912;-1.7;1
197001;3.3;1
197002;1.1;1
197003;2.3;1
197004;6.1;1
197005;13.1;1
197006;18.6;1
197007;19.8;1
197008;19.9;1
197009;19.1;1
197010;11.9;1
197011;9.1;1
197012;1;1
197101;2.4;1
197102;3.9;1
197103;1.7;1
197104;12.3;1
197105;14.5;1
197106;15.1;1
197107;21.2;1
197108;22.7;1
197109;16;1
197110;14.5;1
197111;2.7;1
197112;5;1
197201;1.5;1
197202;3.8;1
197203;7.6;1
197204;8.4;1
197205;12.6;1
197206;16.5;1
197207;18.5;1
197208;18;1
197209;13.3;1
197210;12.3;1
197211;7.9;1
197212;5.2;1
197301;3.5;1
197302;0.9;1
197303;4.8;1
197304;6.8;1
197305;16.1;1
197306;17.7;1
197307;18.7;1
197308;21;1
197309;18.1;1
197310;11.4;1
197311;7.2;1
197312;2.2;1
197401;6;1
197402;3.5;1
197403;6.8;1
197404;9.1;1
197405;12.7;1
