# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 79176001
# NOM_USUEL= MENIGOUTE_SAPC
# LATITUDE (°) = 46.494
# LONGITUDE(°)= -0.064
# ALTITUDE (m) = 138
# NUM_SERIE= MTX179176001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195101 202112
# Date(s) de rupture(s) d'homogénéité : 196612 197112 198712 200012 200612 201910
#     Periode homogénéisée  195101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;8.2;1
195102;8.2;1
195103;9.1;1
195104;14.3;1
195105;15;1
195106;20.4;1
195107;24.1;1
195108;21;1
195109;20.6;1
195110;15.3;1
195111;12.8;1
195112;10.5;1
195201;7.1;1
195202;7.3;1
195203;13.1;1
195204;17.1;1
195205;21.6;1
195206;26.2;1
195207;27.5;1
195208;25.8;1
195209;17.2;1
195210;15.7;1
195211;9.7;1
195212;7.5;1
195301;3.3;1
195302;7.1;1
195303;15.6;1
195304;16.5;1
195305;22.3;1
195306;21.7;1
195307;22.9;1
195308;25.3;1
195309;22.4;1
195310;16.3;1
195311;11.2;1
195312;13.1;1
195401;6.1;1
195402;6.5;1
195403;12.8;1
195404;15.4;1
195405;19.6;1
195406;21.4;1
195407;21.5;1
195408;22.4;1
195409;21.6;1
195410;18.5;1
195411;12.6;1
195412;9.4;1
195501;8.3;1
195502;7.7;1
195503;9.1;1
195504;18;1
195505;18.4;1
195506;23;1
195507;25.8;1
195508;27.6;1
195509;23.3;1
195510;15.9;1
195511;11.4;1
195512;10.6;1
195601;7.8;1
195602;1;1
195603;13.3;1
195604;13.6;1
195605;21.2;1
195606;19.2;1
195607;23.2;1
195608;21.6;1
195609;22.1;1
195610;16.7;1
195611;9.1;1
195612;10.4;1
195701;6.8;1
195702;11.5;1
195703;16.1;1
195704;16.5;1
195705;17.8;1
195706;24.6;1
195707;24.4;1
195708;23.8;1
195709;21;1
195710;18.1;1
195711;9.6;1
195712;7.1;1
195801;7.4;1
195802;10.8;1
195803;9.9;1
195804;13.9;1
195805;19.9;1
195806;20.6;1
195807;23.4;1
195808;22.9;1
195809;23.4;1
195810;16.5;1
195811;9.8;1
195812;9.3;1
195901;7.5;1
195902;11.3;1
195903;14.4;1
195904;15.8;1
195905;20.1;1
195906;23.6;1
195907;27.5;1
195908;25.3;1
195909;25.4;1
