# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 83031001
# NOM_USUEL= LE LUC
# LATITUDE (°) = 43.383
# LONGITUDE(°)= 6.386
# ALTITUDE (m) = 80
# NUM_SERIE= MTX183031001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196112 197810
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;12.3;1
195902;16.1;1
195903;16.6;1
195904;18.8;1
195905;21.9;1
195906;27.3;1
195907;31.8;1
195908;29;1
195909;24.6;1
195910;19.9;1
195911;14.7;1
195912;12.2;1
196001;11.4;1
196002;14.4;1
196003;15.6;1
196004;19.3;1
196005;23.7;1
196006;27.8;1
196007;29;1
196008;27.5;1
196009;24.2;1
196010;18.4;1
196011;15.7;1
196012;11.3;1
196101;10.8;1
196102;17.2;1
196103;19;1
196104;21.8;1
196105;23;1
196106;27.2;1
196107;29.8;1
196108;30.8;1
196109;28.2;1
196110;21.1;1
196111;14.5;1
196112;13.9;1
196201;13.5;1
196202;13;1
196203;13;1
196204;18.8;1
196205;22.1;1
196206;25.5;1
196207;29.9;1
196208;32.1;1
196209;25.9;1
196210;21.1;1
196211;12.7;1
196212;11.3;1
196301;8.3;1
196302;8.9;1
196303;15.4;1
196304;18.7;1
196305;23.4;1
196306;25.5;1
196307;31.1;1
196308;27.9;1
196309;24.1;1
196310;21.3;1
196311;16.4;1
196312;10.6;1
196401;12.1;1
196402;13.2;1
196403;15.2;1
196404;19.1;1
196405;24.8;1
196406;27.7;1
196407;31;1
196408;29.3;1
196409;26.1;1
196410;18.9;1
196411;16;1
196412;10.4;1
196501;11.5;1
196502;11.1;1
196503;14.9;1
196504;19.2;1
196505;23.2;1
196506;26.8;1
196507;28.9;1
196508;28.2;1
196509;22.4;1
196510;20;1
196511;14.6;1
196512;12.9;1
196601;10.5;1
196602;14.8;1
196603;16.3;1
196604;19.3;1
196605;22.9;1
196606;27.1;1
196607;28.3;1
196608;29.1;1
196609;27.1;1
196610;20.8;1
196611;12.7;1
196612;13.3;1
196701;11.3;1
196702;13.1;1
196703;17.7;1
196704;19.2;1
196705;22.4;1
196706;25.4;1
196707;31.9;1
196708;30.2;1
196709;26.2;1
196710;23.1;1
196711;16.1;1
196712;11.9;1
196801;12.6;1
196802;12.9;1
196803;16.2;1
196804;19.4;1
196805;21.6;1
196806;25.2;1
196807;29.3;1
196808;27.9;1
196809;24.7;1
196810;22.6;1
196811;15.4;1
196812;11.7;1
196901;11.8;1
196902;10.4;1
196903;14.3;1
196904;18.8;1
196905;23;1
196906;24.6;1
196907;29.9;1
196908;29.2;1
196909;25.2;1
196910;23.3;1
196911;15.6;1
196912;10.5;1
197001;12.1;1
197002;13.9;1
197003;13.6;1
197004;18.7;1
197005;22.3;1
197006;27.6;1
197007;30.7;1
197008;30.6;1
197009;28.7;1
197010;21.6;1
197011;17.4;1
197012;11.7;1
197101;11.4;1
197102;15;1
197103;12.7;1
197104;18.6;1
197105;21.2;1
197106;25.4;1
197107;31.1;1
197108;31.7;1
197109;25.9;1
197110;22.7;1
197111;14.4;1
197112;13.6;1
197201;11.3;1
197202;13;1
197203;16.6;1
197204;18.5;1
197205;21.9;1
197206;25.1;1
197207;29.5;1
197208;28;1
197209;22.3;1
197210;20;1
197211;16.3;1
197212;12.8;1
197301;12.8;1
197302;12.7;1
197303;15.7;1
197304;17.4;1
197305;22.8;1
197306;27.8;1
197307;30.1;1
197308;30.9;1
197309;27.1;1
197310;21.1;1
197311;15.5;1
197312;12.4;1
197401;13;1
197402;13.2;1
197403;15.7;1
197404;17.4;1
197405;22;1
197406;26.3;1
197407;30;1
197408;31;1
197409;24.5;1
197410;17;1
197411;14.9;1
197412;14.1;1
197501;13.4;1
197502;14.4;1
197503;14;1
197504;19.1;1
197505;21.5;1
197506;25.3;1
197507;30.9;1
197508;29.7;1
197509;25.6;1
197510;20.7;1
197511;14.5;1
197512;12.4;1
197601;13.7;1
197602;14.2;1
197603;15.3;1
197604;17;1
197605;23.9;1
197606;28.1;1
197607;29.6;1
197608;27.2;1
197609;22.9;1
197610;18.8;1
197611;14.9;1
197612;11.8;1
197701;10.9;1
197702;15.7;1
197703;17.1;1
197704;20.1;1
197705;20.6;1
197706;24.8;1
197707;28.7;1
197708;26.9;1
197709;24.6;1
197710;21.8;1
197711;15.7;1
197712;12.7;1
197801;10.5;1
197802;12.3;1
197803;16.4;1
197804;16.4;1
197805;20.8;1
197806;25.3;1
197807;29.1;1
197808;29.1;1
197809;27.5;1
197810;22.1;1
197811;16.7;1
197812;13.1;1
197901;9.2;1
197902;12.9;1
197903;16.3;1
197904;17.5;1
197905;23.3;1
197906;28.9;1
197907;30.6;1
197908;29.9;1
197909;26.3;1
197910;20.4;1
197911;15.3;1
197912;13.2;1
198001;10.5;1
198002;14.9;1
198003;15.8;1
198004;17.4;1
198005;19.6;1
198006;25.3;1
198007;28.7;1
198008;31;1
198009;27.2;1
198010;21;1
198011;14.4;1
198012;11.8;1
198101;12.5;1
198102;11.8;1
198103;16.7;1
198104;18.8;1
198105;22;1
198106;27.7;1
198107;28.9;1
198108;30.9;1
198109;26.9;1
198110;21.3;1
198111;16;1
198112;12.1;1
198201;14.4;1
198202;12.9;1
198203;15.2;1
198204;19.1;1
198205;24;1
198206;28.6;1
198207;33;1
198208;31.1;1
198209;28;1
198210;20.3;1
198211;15.6;1
198212;13.1;1
198301;14.3;1
198302;10.9;1
198303;16.2;1
198304;17.9;1
198305;21.8;1
198306;27.3;1
198307;33.1;1
198308;28.6;1
198309;27.1;1
198310;22.3;1
198311;16.3;1
198312;13.7;1
198401;11.2;1
198402;11.2;1
198403;14.2;1
198404;19.2;1
198405;18.6;1
198406;25.4;1
198407;30.1;1
198408;28.3;1
198409;23.9;1
198410;21.6;1
198411;17.2;1
198412;12.5;1
198501;7.6;1
198502;13.8;1
198503;14.3;1
198504;20.4;1
198505;21.3;1
198506;27.3;1
198507;32.4;1
198508;31.3;1
198509;30.1;1
198510;23.1;1
198511;13.8;1
198512;13.5;1
198601;11.5;1
198602;10.2;1
198603;16;1
198604;17.1;1
198605;25.2;1
198606;27.6;1
198607;30.9;1
198608;30.9;1
198609;26.8;1
198610;23;1
198611;17.6;1
198612;12.5;1
198701;10.7;1
198702;12.3;1
198703;13.6;1
198704;19.4;1
198705;22.3;1
198706;26.5;1
198707;30.4;1
198708;31.5;1
198709;29.8;1
198710;21.3;1
198711;16.1;1
198712;14.2;1
198801;13.2;1
198802;13.9;1
198803;16.8;1
198804;18.2;1
198805;22.6;1
198806;25.2;1
198807;31.2;1
198808;31.3;1
198809;27.2;1
198810;22;1
198811;15.3;1
198812;13.6;1
198901;13.8;1
198902;15.7;1
198903;19.6;1
198904;17.3;1
198905;24.8;1
198906;27.7;1
198907;31.9;1
198908;32.2;1
198909;26.5;1
198910;22.6;1
198911;16;1
198912;14.1;1
199001;13.8;1
