# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 84003002
# NOM_USUEL= APT-VITON
# LATITUDE (°) = 43.881
# LONGITUDE(°)= 5.414
# ALTITUDE (m) = 242
# NUM_SERIE= MTX184003002
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 195712 196705 196912 200212 200712
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;11.6;1
195602;2.7;1
195603;13.8;1
195604;16.2;1
195605;24.5;1
195606;25.1;1
195607;29.5;1
195608;29.5;1
195609;27.2;1
195610;18.8;1
195611;12.1;1
195612;11.1;1
195701;10.5;1
195702;13.7;1
195703;18.7;1
195704;18.3;1
195705;20.7;1
195706;25.4;1
195707;29.7;1
195708;28.4;1
195709;25.6;1
195710;21;1
195711;13.5;1
195712;10.3;1
195801;9.8;1
195802;14;1
195803;13.3;1
195804;17.2;1
195805;25.6;1
195806;26.8;1
195807;29.5;1
195808;31.2;1
195809;27.7;1
195810;20.3;1
195811;13.1;1
195812;11.4;1
195901;10.3;1
195902;14.9;1
195903;16.6;1
195904;18.9;1
195905;22.8;1
195906;28.2;1
195907;32.3;1
195908;29.4;1
195909;25.2;1
195910;19.5;1
195911;13.8;1
195912;11.6;1
196001;8.8;1
196002;13.1;1
196003;15.2;1
196004;19.3;1
196005;25.5;1
196006;27.6;1
196007;28.7;1
196008;28.6;1
196009;24.2;1
196010;18.3;1
196011;14.6;1
196012;8.3;1
196101;9.3;1
196102;15.7;1
196103;18.6;1
196104;21.6;1
196105;22.6;1
196106;27.2;1
196107;29.8;1
196108;31.4;1
196109;29.8;1
196110;20.5;1
196111;14.5;1
196112;11.3;1
196201;12.9;1
196202;11.4;1
196203;12.4;1
196204;18.2;1
196205;22.4;1
196206;26.7;1
196207;31.8;1
196208;32.9;1
196209;25.6;1
196210;20;1
196211;11.8;1
196212;8.1;1
196301;5.9;1
196302;7.2;1
196303;15;1
196304;19.5;1
196305;23.7;1
196306;26.3;1
196307;31.4;1
196308;27.9;1
196309;24.1;1
196310;20.8;1
196311;16.5;1
196312;9.2;1
196401;9.6;1
196402;12.8;1
196403;13.8;1
196404;19.2;1
196405;25.9;1
196406;28.6;1
196407;31.4;1
196408;28.1;1
196409;24.8;1
196410;16.7;1
196411;14.5;1
196412;9.7;1
196501;9.8;1
196502;9.5;1
196503;15.3;1
196504;18.3;1
196505;23.8;1
196506;28.5;1
196507;29;1
196508;28;1
196509;21.6;1
196510;20.5;1
196511;14.1;1
196512;10.8;1
196601;9;1
196602;14.4;1
196603;15.6;1
196604;19.4;1
196605;22.9;1
196606;27.5;1
196607;27.8;1
196608;28;1
196609;26.8;1
196610;20;1
196611;11.2;1
196612;11.2;1
196701;9.2;1
196702;12.3;1
196703;16.8;1
196704;18.8;1
196705;23.1;1
196706;26.3;1
196707;32.8;1
196708;30;1
196709;25.3;1
196710;23;1
196711;15.3;1
196712;8.5;1
196801;9.9;1
196802;12.3;1
196803;16.9;1
196804;20.8;1
196805;21.7;1
196806;26;1
196807;30.3;1
196808;26.8;1
196809;23.9;1
196810;22.1;1
196811;14;1
196812;9.5;1
196901;10.9;1
196902;9.8;1
196903;13.4;1
196904;17.6;1
196905;22.7;1
196906;24.8;1
196907;29.9;1
196908;28.6;1
196909;25.2;1
196910;22.1;1
196911;13.9;1
196912;6.8;1
197001;10.7;1
197002;11.3;1
197003;12;1
197004;17.4;1
197005;22.8;1
197006;27.4;1
197007;30.4;1
197008;30;1
197009;27.7;1
197010;20;1
197011;16.5;1
197012;9.1;1
197101;10;1
197102;12.8;1
197103;12.2;1
197104;19.6;1
197105;22.2;1
197106;24.8;1
197107;30.8;1
197108;31.3;1
197109;26;1
197110;21.7;1
197111;11.1;1
197112;12.4;1
197201;9.3;1
197202;12.1;1
197203;16.1;1
197204;18;1
197205;21.8;1
197206;24;1
197207;29.1;1
197208;27.8;1
197209;22.2;1
197210;19.4;1
197211;15.6;1
197212;12.2;1
197301;9.8;1
197302;11;1
197303;15.5;1
197304;16.7;1
197305;24.1;1
197306;27.8;1
197307;29.8;1
197308;30.4;1
197309;27.1;1
197310;19.3;1
197311;14;1
197312;10.4;1
197401;12.4;1
197402;11.5;1
