# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 86289001
# NOM_USUEL= LE-VIGEANT
# LATITUDE (°) = 46.243
# LONGITUDE(°)= 0.67
# ALTITUDE (m) = 117
# NUM_SERIE= MTX186289001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195301 201712
# Date(s) de rupture(s) d'homogénéité : 196612 198912 200112 201312
#     Periode homogénéisée  195301 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;4.6;1
195302;6.8;1
195303;16.2;1
195304;17.3;1
195305;21.6;1
195306;21.6;1
195307;22.9;1
195308;27.4;1
195309;23.9;1
195310;17.2;1
195311;12.3;1
195312;13.4;1
195401;5.4;1
195402;6.1;1
195403;13;1
195404;15.1;1
195405;20;1
195406;23.5;1
195407;22.5;1
195408;22.8;1
195409;21.5;1
195410;18.8;1
195411;13.7;1
195412;10;1
195501;8.7;1
195502;8;1
195503;9.9;1
195504;18.2;1
195505;19.2;1
195506;23.8;1
195507;26.5;1
195508;28.9;1
195509;23.3;1
195510;16.7;1
195511;11.3;1
195512;10.6;1
195601;7.9;1
195602;-0.1;1
195603;13.5;1
195604;13.6;1
195605;21.7;1
195606;20.9;1
195607;24.6;1
195608;22.6;1
195609;23.2;1
195610;16.8;1
195611;9.3;1
195612;8.6;1
195701;6.9;1
195702;11.7;1
195703;17.1;1
195704;16.1;1
195705;17.2;1
195706;24.5;1
195707;24.4;1
195708;24.1;1
195709;21.2;1
195710;19;1
195711;9.8;1
195712;7.3;1
195801;7.9;1
195802;12;1
195803;10.3;1
195804;13.1;1
195805;20;1
195806;21.4;1
195807;23;1
195808;23.7;1
195809;23.8;1
195810;16.8;1
195811;10.3;1
195812;9.2;1
195901;8.5;1
195902;12.4;1
195903;14.6;1
195904;15.8;1
195905;20.7;1
195906;23.6;1
195907;28.6;1
195908;25.5;1
195909;25.1;1
195910;18.3;1
195911;11.2;1
195912;9.9;1
196001;7.9;1
196002;10.2;1
196003;13.6;1
196004;15.4;1
196005;21;1
196006;24.6;1
196007;22.2;1
196008;23.4;1
196009;20.4;1
196010;15.8;1
196011;12.5;1
196012;6;1
196101;7.9;1
196102;14.1;1
196103;16.3;1
196104;18.1;1
196105;18.2;1
196106;23.7;1
196107;24.7;1
196108;25.3;1
196109;26.5;1
196110;17.7;1
196111;9.9;1
196112;8.9;1
196201;8.4;1
196202;8.2;1
196203;8.4;1
196204;14.7;1
196205;16.9;1
196206;23.7;1
196207;25.3;1
