# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 87106001
# NOM_USUEL= NEXON
# LATITUDE (°) = 45.681
# LONGITUDE(°)= 1.189
# ALTITUDE (m) = 336
# NUM_SERIE= MTX187106001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 196101 201812
# Date(s) de rupture(s) d'homogénéité : 196212 197112 199412 200512
#     Periode homogénéisée  196101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;5.8;1
196102;13.8;1
196103;15.9;1
196104;18.4;1
196105;18.8;1
196106;23.6;1
196107;24.6;1
196108;24.8;1
196109;25.6;1
196110;17.6;1
196111;9.4;1
196112;8.8;1
196201;6.8;1
196202;7.3;1
196203;8;1
196204;13.9;1
196205;16.1;1
196206;21.9;1
196207;25.2;1
196208;25.8;1
196209;21.2;1
196210;18.4;1
196211;7.6;1
196212;5.4;1
196301;2.1;1
196302;5.7;1
196303;11.4;1
196304;14;1
196305;17.2;1
196306;20.9;1
196307;25.2;1
196308;20.2;1
196309;18.2;1
196310;17.3;1
196311;11.9;1
196312;5.8;1
196401;6.5;1
196402;8.8;1
196403;10.9;1
196404;15.2;1
196405;21.4;1
196406;23.2;1
196407;27.5;1
196408;25;1
196409;24.2;1
196410;15.4;1
196411;8.7;1
196412;5.5;1
196501;6.2;1
196502;4.7;1
196503;11.3;1
196504;14.4;1
196505;19.2;1
196506;22.2;1
196507;22.1;1
196508;22.2;1
196509;16.4;1
196510;19.6;1
196511;9.9;1
196512;8.2;1
196601;6.8;1
196602;12.8;1
196603;11;1
196604;16.1;1
196605;18.6;1
196606;23;1
196607;22.1;1
196608;23;1
196609;23.2;1
196610;15.2;1
196611;7.4;1
196612;6.3;1
196701;5.8;1
196702;9;1
196703;12.1;1
196704;14.4;1
196705;17.8;1
196706;21.7;1
196707;26.9;1
196708;24.4;1
196709;19.7;1
196710;17.5;1
196711;12.2;1
196712;2.9;1
196801;6.3;1
196802;9;1
196803;12.2;1
196804;15.8;1
196805;16.7;1
196806;22.4;1
196807;24.1;1
196808;22.3;1
196809;20;1
196810;19;1
196811;11.1;1
196812;5.6;1
196901;7.7;1
196902;5.7;1
196903;10.5;1
196904;14;1
196905;18.8;1
196906;19.8;1
196907;25.7;1
196908;23.6;1
196909;20.9;1
196910;19.4;1
196911;8.8;1
196912;2.9;1
197001;7.1;1
197002;6.8;1
197003;7.6;1
197004;11.4;1
197005;19.3;1
197006;24.1;1
197007;23.8;1
197008;24.5;1
197009;23.6;1
197010;15.9;1
197011;12.2;1
197012;5;1
197101;7.3;1
197102;7.4;1
197103;7.3;1
197104;17.5;1
197105;19.3;1
197106;19.4;1
197107;26.7;1
197108;23.9;1
197109;21.3;1
197110;18.4;1
197111;7;1
197112;7.6;1
197201;6.2;1
197202;10.1;1
197203;13.5;1
197204;12.7;1
197205;16.6;1
197206;19.8;1
197207;24.3;1
197208;21.7;1
197209;17.8;1
197210;16;1
197211;11.3;1
197212;8.7;1
197301;5.2;1
197302;6.1;1
197303;11.4;1
197304;12.2;1
197305;19.7;1
197306;22.7;1
197307;22.7;1
197308;26.4;1
197309;23.1;1
197310;14.7;1
197311;11.3;1
197312;4.1;1
197401;8.9;1
197402;8.1;1
197403;12;1
197404;14.3;1
197405;17.4;1
197406;22.2;1
197407;24;1
197408;24.9;1
197409;18.5;1
197410;9.4;1
197411;9.5;1
197412;8.4;1
197501;9;1
197502;11.4;1
197503;8;1
197504;13.7;1
197505;17.2;1
197506;21.5;1
197507;25.7;1
197508;25.8;1
197509;19.9;1
197510;15.3;1
197511;9.1;1
197512;4.5;1
197601;5.8;1
197602;10;1
197603;12.5;1
197604;14.6;1
197605;19.7;1
197606;27.5;1
197607;26.1;1
197608;26.3;1
197609;19.3;1
197610;14.8;1
197611;7.6;1
197612;7.4;1
197701;6.1;1
197702;10;1
197703;13.8;1
197704;12.9;1
197705;16.3;1
197706;19.2;1
197707;22.7;1
197708;21.8;1
197709;21.1;1
197710;18.1;1
197711;9;1
197712;8.5;1
197801;5.1;1
197802;8.2;1
197803;11.4;1
197804;12.2;1
197805;17;1
197806;20.3;1
197807;22.4;1
197808;23.7;1
197809;21.6;1
197810;17.3;1
197811;11.9;1
197812;7.7;1
197901;5.6;1
197902;7.5;1
197903;9.8;1
197904;12.1;1
197905;17.6;1
197906;21.7;1
197907;25.3;1
197908;21.8;1
197909;22.7;1
197910;17.5;1
197911;9.7;1
197912;8.2;1
198001;5.3;1
198002;10.7;1
198003;10.4;1
198004;13.9;1
198005;17.2;1
198006;18.8;1
198007;21.8;1
198008;24.4;1
198009;23;1
198010;15.1;1
198011;9.6;1
198012;4.9;1
198101;6.7;1
198102;7.9;1
198103;13.3;1
198104;16.8;1
198105;16.5;1
198106;21.4;1
198107;22.2;1
198108;25.3;1
198109;20.7;1
198110;14.2;1
198111;12.2;1
198112;7.2;1
198201;9;1
198202;10.5;1
198203;11.4;1
198204;15.9;1
198205;20.1;1
198206;24.2;1
198207;28.2;1
198208;23.4;1
