# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 87113001
# NOM_USUEL= LE PALAIS SUR VIENNE
# LATITUDE (°) = 45.878
# LONGITUDE(°)= 1.343
# ALTITUDE (m) = 286
# NUM_SERIE= MTX187113001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 196212 198512 200312 200912 201312
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;7.6;1
195102;8.4;1
195103;10.4;1
195104;15.7;1
195105;17.4;1
195106;22.1;1
195107;26.6;1
195108;24.1;1
195109;23.1;1
195110;16.7;1
195111;13.1;1
195112;9.3;1
195201;6.5;1
195202;8.3;1
195203;14.7;1
195204;18.4;1
195205;22.4;1
195206;27.1;1
195207;28.9;1
195208;27.3;1
195209;18.2;1
195210;16.6;1
195211;9.4;1
195212;7.1;1
195301;4.5;1
195302;6.8;1
195303;16.7;1
195304;16.9;1
195305;22.4;1
195306;21.9;1
195307;24.3;1
195308;27;1
195309;23.7;1
195310;18;1
195311;13.5;1
195312;12.2;1
195401;5.4;1
195402;6.7;1
195403;13.1;1
195404;14.2;1
195405;18.3;1
195406;22.4;1
195407;22;1
195408;22.1;1
195409;21.1;1
195410;17.2;1
195411;12.3;1
195412;8.5;1
195501;9.1;1
195502;7.9;1
195503;10.7;1
195504;17.9;1
195505;19.6;1
195506;23.4;1
195507;25.4;1
195508;27.4;1
195509;22.4;1
195510;16.3;1
195511;11.5;1
195512;10.4;1
195601;7.6;1
195602;0;1
195603;12.9;1
195604;14.1;1
195605;20.6;1
195606;19.5;1
195607;24.1;1
195608;22.4;1
195609;22.4;1
195610;16;1
195611;8;1
195612;8.2;1
195701;6.7;1
195702;11.2;1
195703;16.7;1
195704;15.6;1
195705;17.1;1
195706;24.8;1
195707;25;1
195708;24.5;1
195709;21.4;1
195710;18.6;1
195711;11.2;1
195712;7.7;1
195801;8.3;1
195802;11.7;1
195803;10.2;1
195804;13.5;1
195805;20.9;1
195806;22.3;1
195807;23.9;1
195808;25.2;1
195809;25;1
195810;17;1
195811;10.2;1
195812;8.7;1
195901;8.7;1
195902;13.1;1
195903;14.9;1
195904;15.9;1
195905;20.8;1
195906;24.1;1
195907;28.7;1
195908;25.4;1
195909;24.4;1
195910;18.1;1
195911;10.9;1
195912;8.5;1
196001;7.2;1
196002;10.6;1
196003;13.8;1
196004;15.4;1
196005;21.8;1
196006;25.1;1
196007;22.7;1
196008;23.7;1
196009;20.4;1
196010;15.7;1
196011;12.1;1
196012;4.9;1
196101;6.8;1
196102;14.1;1
196103;15.7;1
196104;18.4;1
196105;18.1;1
196106;23.5;1
196107;24.6;1
196108;25;1
196109;25.6;1
196110;17.9;1
196111;10.7;1
196112;9.7;1
196201;7.7;1
196202;8.1;1
196203;9;1
196204;15.3;1
196205;17.1;1
196206;23.6;1
196207;25;1
196208;25.7;1
196209;22.4;1
196210;18.3;1
196211;8.5;1
196212;6.6;1
196301;4;1
196302;5.3;1
196303;11.8;1
196304;16.2;1
196305;18.6;1
196306;22.2;1
196307;25.5;1
196308;20.8;1
196309;20.9;1
196310;17.9;1
196311;12.5;1
196312;7.5;1
196401;7.6;1
196402;9.5;1
196403;10.7;1
196404;15;1
196405;21.6;1
196406;23.9;1
196407;29.4;1
196408;25.9;1
196409;24.4;1
196410;14.9;1
196411;10;1
196412;7.1;1
196501;7.4;1
196502;5.8;1
196503;12.1;1
196504;13.6;1
196505;19.2;1
196506;23.4;1
196507;23.8;1
196508;23.6;1
196509;18.7;1
196510;20.7;1
196511;11.3;1
196512;9.8;1
196601;8.1;1
196602;13.5;1
196603;11.5;1
196604;16.1;1
196605;19.2;1
196606;22.9;1
196607;22.1;1
196608;22.8;1
196609;24.2;1
196610;16.2;1
196611;8.3;1
196612;8;1
196701;6.9;1
196702;10.2;1
196703;12.2;1
196704;14.6;1
196705;18.1;1
196706;21.9;1
196707;27.5;1
196708;24.8;1
196709;20.5;1
196710;18.6;1
196711;12.3;1
196712;4.2;1
196801;7.5;1
196802;9.2;1
196803;11.9;1
196804;16;1
196805;17.3;1
196806;22;1
196807;24.2;1
196808;22.1;1
196809;20;1
196810;19.6;1
196811;11.7;1
196812;7.1;1
196901;8.9;1
196902;6.9;1
196903;11;1
196904;14.3;1
196905;19.1;1
196906;19.9;1
196907;25.9;1
196908;23.7;1
196909;21.3;1
196910;20.2;1
196911;10;1
196912;3.8;1
197001;8.3;1
197002;7.7;1
197003;7.9;1
197004;11.8;1
197005;19.7;1
197006;23.9;1
197007;24.4;1
197008;24.4;1
197009;23.9;1
197010;16.6;1
197011;13.1;1
197012;5.8;1
197101;8.3;1
197102;8.3;1
197103;7.4;1
197104;18;1
197105;19.2;1
197106;19.9;1
197107;26.6;1
197108;24.3;1
197109;22.1;1
197110;19.8;1
