# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 90035001
# NOM_USUEL= DORANS
# LATITUDE (°) = 47.592
# LONGITUDE(°)= 6.837
# ALTITUDE (m) = 401
# NUM_SERIE= MTX190035001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196603
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;3.2;1
195902;7.8;1
195903;13.1;1
195904;14.9;1
195905;19.5;1
195906;22.3;1
195907;26.6;1
195908;23.8;1
195909;23.3;1
195910;15.8;1
195911;6.7;1
195912;6.1;1
196001;3.5;1
196002;6.6;1
196003;10.8;1
196004;13.9;1
196005;20.1;1
196006;22.7;1
196007;20.3;1
196008;21.7;1
196009;17.1;1
196010;13.3;1
196011;9.9;1
196012;2.8;1
196101;3.3;1
196102;10.7;1
196103;13;1
196104;16.3;1
196105;16.4;1
196106;21.8;1
196107;22.3;1
196108;22.5;1
196109;24.6;1
196110;16;1
196111;7.3;1
196112;4.5;1
196201;4.5;1
196202;3.9;1
196203;5.5;1
196204;13.9;1
196205;15.8;1
196206;21.6;1
196207;23.1;1
196208;26;1
196209;19.8;1
196210;15.6;1
196211;5.3;1
196212;0.4;1
196301;-3.4;1
196302;-0.3;1
196303;9.1;1
196304;14.9;1
196305;16.8;1
196306;20.4;1
196307;24.1;1
196308;20.5;1
196309;19.6;1
196310;14.2;1
196311;11.8;1
196312;0.3;1
196401;-0.7;1
196402;6.5;1
196403;5.9;1
196404;14.9;1
196405;19.8;1
196406;23.4;1
196407;27.3;1
196408;23.3;1
196409;20.7;1
196410;11.6;1
196411;7.4;1
196412;3.1;1
196501;3.9;1
196502;1.5;1
196503;8.8;1
196504;11.5;1
196505;16.8;1
196506;21.3;1
196507;20;1
196508;21.2;1
196509;17.1;1
196510;14.2;1
196511;6.7;1
196512;6.8;1
196601;1.3;1
196602;10.3;1
196603;8.7;1
196604;14.9;1
196605;18;1
196606;21.7;1
196607;20.3;1
196608;20.3;1
196609;20.1;1
196610;15.9;1
196611;4.8;1
196612;4.5;1
196701;3.6;1
196702;7.5;1
196703;10.5;1
196704;12.5;1
196705;17.4;1
196706;20.4;1
196707;26.2;1
196708;23;1
196709;18.8;1
196710;17.7;1
196711;7.3;1
196712;1.5;1
196801;2.5;1
196802;6.1;1
196803;10.5;1
196804;15.3;1
196805;16.7;1
196806;20.9;1
196807;23.1;1
196808;20.5;1
196809;18.7;1
196810;16.2;1
196811;6.7;1
196812;1.2;1
196901;4.3;1
196902;1.8;1
196903;8.1;1
196904;12.2;1
196905;18.6;1
196906;18.7;1
196907;24.3;1
196908;22.2;1
196909;20;1
196910;16.2;1
196911;9.1;1
196912;-1.4;1
197001;2.8;1
197002;3.7;1
197003;5.8;1
197004;10.1;1
197005;16.9;1
197006;22.8;1
197007;21.8;1
197008;22.8;1
197009;20;1
197010;12.4;1
197011;10.6;1
197012;2.2;1
197101;3.7;1
197102;4.6;1
197103;5.5;1
197104;17.4;1
197105;20.2;1
197106;19.2;1
197107;25.6;1
197108;23.4;1
197109;19.7;1
197110;15.9;1
197111;6;1
197112;5.5;1
197201;2;1
197202;7.3;1
197203;12;1
197204;12.1;1
197205;15.7;1
197206;19;1
197207;22.8;1
197208;21.8;1
197209;17.3;1
197210;13.5;1
197211;9.6;1
