# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 13047001
# NOM_USUEL= ISTRES
# LATITUDE (°) = 43.523
# LONGITUDE(°)= 4.928
# ALTITUDE (m) = 23
# NUM_SERIE= MTX213047001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;11.6;1
195602;2.2;1
195603;13.3;1
195604;15.5;1
195605;22.8;1
195606;23.9;1
195607;27.2;1
195608;27.8;1
195609;25.4;1
195610;18.5;1
195611;11.6;1
195612;10.9;1
195701;10.5;1
195702;14;1
195703;16.9;1
195704;17.3;1
195705;19.4;1
195706;24.1;1
195707;28.8;1
195708;27;1
195709;24.8;1
195710;20.8;1
195711;14.2;1
195712;11;1
195801;10.5;1
195802;13.6;1
195803;13.1;1
195804;15.9;1
195805;23.1;1
195806;24.9;1
195807;27.6;1
195808;28.1;1
195809;26.2;1
195810;19.8;1
195811;13.9;1
195812;12;1
195901;10.6;1
195902;14.7;1
195903;16;1
195904;17.3;1
195905;21.7;1
195906;26.1;1
195907;30.8;1
195908;28.2;1
195909;24.3;1
195910;19;1
195911;14.1;1
195912;11.8;1
196001;9.4;1
196002;13.1;1
196003;14.9;1
196004;18.1;1
196005;23.6;1
196006;26.8;1
196007;27.3;1
196008;26.1;1
196009;22.7;1
196010;18.1;1
196011;14.7;1
196012;8.6;1
196101;10;1
196102;15.2;1
196103;17.2;1
196104;20.1;1
196105;21.3;1
196106;26.8;1
196107;29.4;1
196108;28.7;1
196109;27.2;1
196110;20.4;1
196111;14.2;1
196112;12;1
196201;12.2;1
196202;10.9;1
196203;12.1;1
196204;17.8;1
196205;21.3;1
196206;26.1;1
196207;29;1
196208;30.3;1
196209;24.9;1
196210;20.5;1
196211;11.8;1
196212;8.3;1
196301;6.1;1
196302;7.5;1
196303;14.6;1
196304;18;1
196305;22.5;1
196306;25.2;1
196307;30;1
196308;25.8;1
196309;23.4;1
196310;20;1
196311;16.5;1
196312;9;1
196401;10.3;1
196402;12.3;1
196403;13.7;1
196404;17.9;1
196405;23.6;1
196406;27;1
196407;30.1;1
196408;28;1
196409;24.4;1
196410;17.3;1
196411;14.3;1
196412;10;1
196501;10.3;1
196502;8.6;1
196503;14.5;1
196504;17.8;1
196505;22.7;1
196506;25.8;1
196507;27.3;1
196508;27.4;1
196509;22.2;1
196510;21.2;1
196511;14.7;1
196512;12;1
196601;9.7;1
196602;14.2;1
196603;14.9;1
196604;18.5;1
196605;22.2;1
196606;26.6;1
196607;26.8;1
196608;27;1
196609;25.8;1
196610;20.7;1
196611;11.3;1
196612;11.4;1
196701;9.8;1
196702;12.4;1
196703;15.8;1
196704;18.6;1
196705;21.9;1
196706;25.2;1
196707;30.3;1
196708;28.9;1
196709;24;1
196710;22.4;1
196711;16.1;1
196712;8.3;1
196801;10.5;1
196802;12.3;1
196803;15.1;1
196804;18.2;1
196805;21.1;1
196806;24.6;1
196807;27.4;1
196808;26.6;1
196809;23.6;1
196810;21.6;1
196811;14.4;1
196812;10.2;1
196901;11.6;1
196902;9.5;1
196903;13.7;1
196904;17.6;1
196905;21.1;1
196906;23.2;1
196907;27.8;1
196908;27.7;1
196909;23.9;1
196910;21.3;1
196911;14.4;1
196912;7.3;1
197001;11.6;1
197002;12.2;1
197003;11.9;1
197004;16.9;1
197005;20.7;1
197006;26;1
197007;28.4;1
197008;27.7;1
197009;26;1
197010;19.8;1
197011;16.8;1
197012;9.3;1
197101;10.6;1
197102;11.9;1
197103;11.7;1
197104;18.5;1
197105;21.5;1
197106;24.9;1
197107;30;1
197108;30.3;1
197109;25;1
197110;21.4;1
197111;12.4;1
197112;12.5;1
197201;10.2;1
197202;13;1
197203;15.9;1
197204;16.6;1
197205;20.9;1
197206;23.5;1
197207;28.7;1
197208;25.8;1
197209;22.3;1
197210;19.4;1
197211;15.4;1
197212;12.4;1
197301;10.1;1
197302;10.1;1
197303;14;1
197304;15.8;1
197305;22.4;1
197306;25.9;1
197307;28.8;1
197308;30.2;1
197309;26;1
197310;19.1;1
197311;14.4;1
197312;11;1
197401;12.7;1
197402;11.8;1
197403;14.7;1
197404;16.4;1
197405;21.4;1
197406;25.6;1
197407;29;1
197408;29.7;1
197409;23.1;1
197410;14.9;1
197411;14.3;1
197412;13.2;1
197501;12.9;1
197502;13.2;1
197503;13;1
197504;18.1;1
197505;21.1;1
197506;25;1
197507;29.7;1
197508;29.2;1
197509;24.9;1
197510;19.1;1
197511;13.8;1
197512;10.4;1
197601;11.2;1
197602;12.6;1
197603;14.8;1
197604;16.5;1
197605;22.8;1
197606;27.9;1
197607;29.4;1
197608;27.9;1
197609;22.8;1
197610;18.2;1
197611;12.7;1
197612;11.1;1
197701;10.4;1
197702;13.9;1
197703;16.1;1
197704;17.2;1
197705;19.4;1
197706;24;1
197707;27.1;1
197708;26.5;1
197709;24.4;1
197710;21.3;1
197711;14.2;1
197712;12.4;1
197801;9.7;1
197802;10.9;1
197803;15.9;1
197804;15.6;1
197805;20;1
197806;23.9;1
197807;28.2;1
197808;27.8;1
197809;25.4;1
197810;19.8;1
197811;15.2;1
197812;12.5;1
197901;8.8;1
197902;11.7;1
197903;15.6;1
197904;17.1;1
197905;22.1;1
197906;27.2;1
197907;30.4;1
197908;28.3;1
197909;24.6;1
197910;20;1
197911;14;1
197912;12;1
198001;9.4;1
198002;14.3;1
