# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 13054001
# NOM_USUEL= MARIGNANE
# LATITUDE (°) = 43.438
# LONGITUDE(°)= 5.216
# ALTITUDE (m) = 9
# NUM_SERIE= MTX213054001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196802 198109 199102
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;10.5;1
195902;14.3;1
195903;16;1
195904;17.4;1
195905;21.6;1
195906;26.2;1
195907;30.5;1
195908;28;1
195909;24.3;1
195910;19.2;1
195911;14.1;1
195912;11.9;1
196001;9.5;1
196002;13;1
196003;15.1;1
196004;17.8;1
196005;23.6;1
196006;27.1;1
196007;27.1;1
196008;26.5;1
196009;22.8;1
196010;18.4;1
196011;14.8;1
196012;9.7;1
196101;10;1
196102;14.9;1
196103;16.9;1
196104;20.4;1
196105;21.2;1
196106;26.3;1
196107;28;1
196108;28.2;1
196109;27.2;1
196110;20.6;1
196111;14.5;1
196112;12.5;1
196201;12.4;1
196202;11;1
196203;11.8;1
196204;17.8;1
196205;20.7;1
196206;25.4;1
196207;28.2;1
196208;29.6;1
196209;24.6;1
196210;20.7;1
196211;12.2;1
196212;8.7;1
196301;7;1
196302;8.1;1
196303;14.4;1
196304;18.4;1
196305;21.9;1
196306;25;1
196307;29.5;1
196308;25.6;1
196309;23.1;1
196310;19.9;1
196311;16.9;1
196312;9.9;1
196401;10.6;1
196402;12.8;1
196403;13.9;1
196404;18.1;1
196405;23.7;1
196406;26.9;1
196407;29.6;1
196408;27.4;1
196409;24.9;1
196410;17.6;1
196411;14.4;1
196412;10.6;1
196501;10.6;1
196502;8.6;1
196503;14.6;1
196504;17.5;1
196505;22.6;1
196506;26.1;1
196507;26.9;1
196508;27;1
196509;22.2;1
196510;21.5;1
196511;14.8;1
196512;11.9;1
196601;9.8;1
196602;14.1;1
196603;14.6;1
196604;18.5;1
196605;22.1;1
196606;26.2;1
196607;26.2;1
196608;26.7;1
196609;25.7;1
196610;21;1
196611;11.6;1
196612;11.2;1
196701;10.2;1
196702;12.4;1
196703;15.7;1
196704;18.4;1
196705;21.9;1
196706;25;1
196707;30.3;1
196708;28.9;1
196709;23.9;1
196710;22.4;1
196711;16.4;1
196712;8.4;1
196801;9.9;1
196802;12.7;1
196803;15.2;1
196804;18.9;1
196805;21.2;1
196806;25;1
196807;27.8;1
196808;26.4;1
196809;23.9;1
196810;22.1;1
196811;14.9;1
196812;10.6;1
196901;11.4;1
196902;9.6;1
196903;13.8;1
196904;17.5;1
196905;21.6;1
196906;22.9;1
196907;28.1;1
196908;27.6;1
196909;24.5;1
196910;22.1;1
196911;14.9;1
196912;7.1;1
197001;12.2;1
197002;11.3;1
197003;11.6;1
197004;16.7;1
197005;20.9;1
197006;26.4;1
197007;28.2;1
197008;28.2;1
197009;26.7;1
197010;20.3;1
197011;16.8;1
197012;10.1;1
197101;10.4;1
197102;11.3;1
