# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 18092001
# NOM_USUEL= AVORD
# LATITUDE (°) = 47.052
# LONGITUDE(°)= 2.642
# ALTITUDE (m) = 175
# NUM_SERIE= MTX218092001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 196012 198412 199006
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;2.4;1
195302;5.7;1
195303;15.2;1
195304;16.3;1
195305;20.7;1
195306;20.8;1
195307;23.2;1
195308;25.8;1
195309;22.5;1
195310;16.6;1
195311;9.7;1
195312;10.6;1
195401;4.4;1
195402;4.9;1
195403;12.6;1
195404;14.1;1
195405;18.2;1
195406;21.7;1
195407;22.3;1
195408;21.9;1
195409;20.3;1
195410;17.3;1
195411;11.6;1
195412;8.5;1
195501;8.2;1
195502;7.1;1
195503;9.4;1
195504;17.2;1
195505;18.8;1
195506;22.4;1
195507;25.5;1
195508;26.4;1
195509;21.8;1
195510;15.7;1
195511;10.6;1
195512;9.2;1
195601;7.2;1
195602;-1.5;1
195603;12.3;1
195604;13.7;1
195605;20.3;1
195606;18.9;1
195607;23;1
195608;21.3;1
195609;22.2;1
195610;14.7;1
195611;7.6;1
195612;8;1
195701;6.1;1
195702;11.1;1
195703;15.5;1
195704;15.7;1
195705;17;1
195706;23.1;1
195707;23.8;1
195708;22.9;1
195709;19.9;1
195710;17.4;1
195711;8.5;1
195712;5.9;1
195801;6.9;1
195802;10.2;1
195803;9.3;1
195804;12.6;1
195805;19.3;1
195806;20.4;1
195807;22.9;1
195808;23.3;1
195809;22.7;1
195810;15;1
195811;8;1
195812;8;1
195901;6.4;1
195902;10.2;1
195903;13.4;1
195904;15.6;1
195905;20.5;1
195906;23.6;1
195907;27.9;1
195908;25.3;1
195909;25.1;1
195910;17.8;1
195911;10.3;1
195912;9.1;1
196001;6.5;1
196002;9;1
196003;13.1;1
196004;14.7;1
196005;20.6;1
196006;23.1;1
196007;21.8;1
196008;22.4;1
196009;18.9;1
196010;15;1
196011;11.6;1
196012;5.3;1
196101;6.1;1
196102;12.6;1
196103;14.6;1
196104;17.6;1
196105;18.1;1
196106;22.7;1
196107;23.8;1
196108;23.8;1
196109;25.6;1
196110;16.4;1
196111;8.6;1
196112;7.6;1
196201;7.2;1
196202;6.9;1
196203;7.5;1
196204;14.1;1
196205;16.1;1
196206;22.4;1
196207;23.9;1
196208;25.5;1
196209;21.5;1
196210;17.8;1
196211;7.9;1
196212;4;1
196301;1.1;1
196302;2.8;1
196303;11.4;1
196304;14.6;1
196305;17.3;1
196306;21.3;1
196307;25.2;1
196308;21.2;1
196309;19.6;1
196310;16.3;1
196311;13.4;1
196312;3.8;1
196401;3.3;1
196402;9.1;1
196403;9.6;1
196404;15.6;1
196405;20.4;1
196406;23.1;1
196407;27.4;1
196408;25;1
196409;23.6;1
196410;13;1
196411;9.4;1
196412;5.7;1
196501;6.7;1
196502;4.6;1
196503;11.6;1
196504;13.5;1
196505;17.1;1
196506;22.1;1
196507;21.9;1
196508;22.3;1
196509;18.2;1
196510;18;1
196511;9.9;1
196512;9.4;1
196601;5.7;1
196602;12.3;1
196603;10.5;1
196604;16.1;1
196605;18.4;1
196606;23.6;1
196607;21.9;1
196608;22.5;1
196609;22.9;1
196610;16.7;1
196611;7.6;1
196612;7.5;1
196701;5.9;1
196702;9.7;1
196703;12.2;1
196704;14.3;1
196705;18;1
196706;21.9;1
196707;28;1
196708;24.1;1
196709;20.1;1
196710;18;1
196711;9.7;1
196712;4.5;1
196801;6.1;1
196802;7.8;1
196803;11.3;1
196804;15.4;1
196805;16.6;1
196806;21.1;1
196807;23.9;1
196808;22.3;1
196809;20.1;1
196810;17.8;1
196811;9.4;1
196812;5.2;1
196901;7.7;1
196902;5.4;1
196903;10.7;1
196904;14.2;1
196905;18.7;1
196906;20.2;1
196907;25.9;1
196908;23.5;1
196909;21.5;1
196910;18;1
196911;10.1;1
196912;2.7;1
197001;6.5;1
197002;7.3;1
197003;7.6;1
197004;11.4;1
197005;18.8;1
197006;23.3;1
197007;23.5;1
197008;23.8;1
197009;22.7;1
197010;15.3;1
197011;12.7;1
197012;3.8;1
197101;6.4;1
197102;7;1
197103;7.6;1
197104;17.8;1
197105;19.7;1
197106;19.7;1
197107;26.9;1
197108;23.9;1
197109;21.4;1
197110;17.3;1
197111;7.8;1
197112;6.7;1
197201;6;1
197202;9.4;1
197203;13.8;1
197204;12.7;1
197205;16.6;1
197206;19.9;1
197207;24;1
197208;21.9;1
197209;18.4;1
197210;15.9;1
197211;10.3;1
197212;7.3;1
197301;4.3;1
197302;5.4;1
197303;11.6;1
197304;12.4;1
197305;19;1
197306;23.2;1
197307;23.5;1
197308;27.6;1
197309;24.2;1
197310;14.5;1
197311;10.5;1
197312;5.5;1
197401;10.2;1
197402;8.6;1
197403;11.8;1
197404;15.2;1
197405;17.7;1
197406;21.9;1
197407;24.5;1
197408;25.5;1
197409;18.9;1
197410;10.1;1
197411;11;1
197412;9.4;1
197501;8.9;1
197502;10.9;1
197503;8.4;1
197504;14.2;1
197505;16.3;1
197506;21.3;1
197507;25.1;1
197508;27.1;1
197509;21.3;1
197510;13.8;1
197511;9.4;1
197512;3.5;1
197601;5.6;1
197602;8.8;1
197603;11.1;1
197604;14.9;1
197605;20.1;1
197606;28;1
197607;27.6;1
197608;27.3;1
197609;20.2;1
197610;15.7;1
197611;8.8;1
197612;5.3;1
197701;6.1;1
197702;10.1;1
197703;13.3;1
197704;12.9;1
197705;17;1
197706;19.8;1
197707;22.8;1
197708;22.1;1
197709;20.2;1
197710;17.9;1
197711;10.3;1
197712;8.3;1
197801;5.5;1
197802;8;1
197803;11.4;1
197804;12.3;1
197805;16.8;1
197806;20.7;1
197807;22.8;1
197808;23;1
197809;21.9;1
197810;17.2;1
197811;10.4;1
197812;8.8;1
197901;2.8;1
197902;7.3;1
197903;10.2;1
197904;13.1;1
197905;17.5;1
197906;21.6;1
197907;24.6;1
197908;21.9;1
