# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 26198001
# NOM_USUEL= MONTELIMAR
# LATITUDE (°) = 44.581
# LONGITUDE(°)= 4.733
# ALTITUDE (m) = 73
# NUM_SERIE= MTX226198001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 201912
# Date(s) de rupture(s) d'homogénéité : 196112
#     Periode homogénéisée  195901 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;7.7;1
195902;10.7;1
195903;14.8;1
195904;16.8;1
195905;21.1;1
195906;25.5;1
195907;30.8;1
195908;27.1;1
195909;24.4;1
195910;18.1;1
195911;11.3;1
195912;9.9;1
196001;6.8;1
196002;11.4;1
196003;13.9;1
196004;16.5;1
196005;23.9;1
196006;26.2;1
196007;25.4;1
196008;25.2;1
196009;21.7;1
196010;16.9;1
196011;12.7;1
196012;5.9;1
196101;7.2;1
196102;13.8;1
196103;16.1;1
196104;19.9;1
196105;20;1
196106;26;1
196107;28;1
196108;28.5;1
196109;28.3;1
196110;18.8;1
196111;10.5;1
196112;8.8;1
196201;9.9;1
196202;8.1;1
196203;10.8;1
196204;17.2;1
196205;20.7;1
196206;25.4;1
196207;29.4;1
196208;30.7;1
196209;24.3;1
196210;18.2;1
196211;10;1
196212;4.9;1
196301;3.2;1
196302;5.6;1
196303;13.8;1
196304;17.8;1
196305;21.7;1
196306;24.2;1
196307;28.8;1
196308;24.8;1
196309;21.8;1
196310;18.4;1
196311;15.2;1
196312;5.1;1
196401;6;1
196402;10.4;1
196403;11.7;1
196404;17.6;1
196405;23.2;1
196406;26.2;1
196407;31.4;1
196408;26.4;1
196409;23.5;1
196410;15.4;1
196411;11.3;1
196412;6.7;1
196501;8.3;1
196502;6.2;1
196503;13.6;1
196504;16.6;1
196505;22.1;1
196506;26.3;1
196507;27.1;1
196508;27.1;1
196509;21.3;1
196510;19.5;1
196511;12.9;1
196512;9.5;1
196601;7.1;1
196602;12.9;1
196603;13.1;1
196604;18.2;1
196605;22;1
196606;26.3;1
196607;26.5;1
196608;27;1
196609;27;1
196610;20.1;1
196611;9.5;1
196612;8.8;1
196701;7.9;1
196702;11;1
196703;14.1;1
196704;17.2;1
196705;21.2;1
196706;24.4;1
196707;31.1;1
196708;27.9;1
196709;23.5;1
196710;21.6;1
196711;12.5;1
196712;5.5;1
196801;6.4;1
196802;10.2;1
196803;14.7;1
196804;18.4;1
196805;19;1
196806;25;1
196807;28.1;1
196808;24.9;1
196809;21.5;1
196810;19.9;1
196811;11.2;1
196812;6.2;1
196901;9.4;1
196902;8;1
196903;12.4;1
196904;16.7;1
196905;21.5;1
196906;22.5;1
196907;28.2;1
196908;26.8;1
196909;23.6;1
196910;19.5;1
196911;13.2;1
196912;3.5;1
197001;9.2;1
197002;9.3;1
197003;10;1
197004;15.4;1
197005;20.4;1
197006;26.3;1
197007;28.2;1
197008;28.3;1
197009;25.3;1
197010;17.3;1
197011;14.3;1
197012;5.4;1
197101;5.8;1
197102;9.3;1
197103;8.8;1
197104;18.5;1
197105;20.8;1
197106;23.2;1
197107;28.9;1
197108;28.3;1
197109;23.1;1
197110;19.6;1
197111;9.7;1
197112;8.1;1
197201;8.5;1
197202;11.2;1
197203;15.1;1
197204;15.8;1
197205;20.8;1
197206;23;1
197207;27.7;1
197208;26;1
197209;20.8;1
197210;17.9;1
197211;12.4;1
197212;7.4;1
197301;6.2;1
197302;7.7;1
197303;13;1
197304;14.6;1
197305;22.5;1
197306;25.2;1
197307;27.8;1
197308;30.1;1
197309;26.4;1
197310;16.9;1
197311;12.7;1
197312;7.8;1
197401;11.2;1
197402;10;1
197403;13.6;1
197404;16.1;1
197405;20.6;1
197406;24.2;1
197407;28.1;1
197408;29;1
197409;22;1
197410;13.1;1
197411;12.3;1
197412;11.5;1
197501;10.3;1
197502;11.3;1
197503;11.3;1
197504;16.9;1
197505;20;1
197506;23.6;1
197507;29.2;1
197508;28.8;1
197509;23.4;1
197510;16.1;1
197511;10.9;1
197512;6.1;1
197601;8.4;1
197602;9.9;1
197603;13.3;1
197604;15.8;1
197605;23;1
197606;29.4;1
197607;29.7;1
197608;27.1;1
197609;21.3;1
197610;16.9;1
197611;11.3;1
197612;7.4;1
197701;8.1;1
197702;12.3;1
197703;14.9;1
197704;16;1
197705;19.3;1
197706;23;1
197707;26.1;1
197708;24.6;1
197709;21.7;1
197710;19.5;1
197711;11.8;1
197712;9.3;1
197801;7.5;1
197802;8;1
197803;13.5;1
197804;14;1
197805;18.7;1
197806;23.9;1
197807;27.7;1
197808;26.5;1
197809;24.2;1
197810;18.5;1
197811;12;1
197812;9.7;1
197901;5.5;1
197902;9.6;1
197903;14.9;1
197904;15.5;1
197905;21.8;1
197906;25.9;1
197907;29.2;1
197908;27.4;1
197909;24.8;1
197910;19.2;1
197911;11.5;1
197912;10;1
198001;6.9;1
198002;12;1
198003;12.5;1
198004;15.3;1
198005;19.3;1
198006;24;1
198007;26.5;1
198008;28.4;1
198009;25.4;1
198010;17.3;1
198011;10.6;1
198012;6;1
198101;6.5;1
198102;7.7;1
198103;15.6;1
198104;18.6;1
198105;20.4;1
198106;25.1;1
198107;26.4;1
198108;28.8;1
198109;24.2;1
198110;18.5;1
198111;11.7;1
198112;8.3;1
198201;9.9;1
198202;11;1
198203;13.1;1
198204;17.1;1
198205;23.1;1
198206;27.2;1
198207;30.9;1
198208;27.2;1
198209;25.7;1
198210;16.9;1
198211;13.2;1
198212;7.9;1
198301;10;1
198302;6.1;1
198303;13.8;1
198304;16.6;1
198305;19.8;1
198306;25.9;1
198307;33.5;1
198308;28.7;1
198309;24.7;1
198310;18.5;1
198311;11.9;1
198312;9.1;1
198401;7.9;1
198402;7.8;1
198403;11.3;1
198404;17;1
198405;17.5;1
198406;24.1;1
198407;29.2;1
198408;26.7;1
198409;22.1;1
198410;17.8;1
198411;14.9;1
198412;8.2;1
198501;2.5;1
198502;10.8;1
198503;10.9;1
198504;18.2;1
198505;19.8;1
198506;23.9;1
198507;30.4;1
198508;27.9;1
198509;27.9;1
198510;20.1;1
198511;9;1
198512;9.5;1
198601;8.3;1
198602;4.9;1
198603;13.9;1
198604;13.2;1
198605;23;1
198606;26.2;1
198607;29.9;1
198608;29.2;1
198609;24.7;1
198610;20.3;1
198611;13.8;1
198612;9.1;1
198701;2.8;1
198702;9.2;1
198703;11.7;1
198704;18.6;1
198705;19.6;1
198706;24.9;1
198707;28.8;1
198708;29.2;1
198709;26.6;1
198710;19.2;1
198711;12;1
198712;9.5;1
198801;11;1
198802;10.5;1
198803;13.2;1
198804;17.6;1
198805;21.6;1
198806;24.5;1
198807;28.2;1
198808;28.6;1
198809;23.8;1
198810;19.3;1
198811;11.2;1
198812;9.1;1
198901;9.1;1
198902;12.5;1
198903;17.1;1
198904;15.3;1
198905;24.1;1
198906;26.7;1
198907;29.9;1
198908;29.9;1
198909;24.9;1
198910;19.8;1
198911;12.2;1
198912;10.1;1
199001;9.2;1
199002;15.1;1
199003;16.3;1
199004;15.6;1
199005;24.4;1
199006;26;1
199007;30.8;1
199008;30.5;1
199009;24.9;1
199010;20;1
199011;11.5;1
199012;6;1
199101;8.4;1
199102;8.7;1
199103;15.7;1
199104;16.5;1
199105;19.4;1
199106;25.3;1
199107;31.1;1
199108;30.5;1
199109;26.3;1
199110;16.4;1
199111;12.1;1
199112;6.6;1
199201;6.2;1
199202;10.5;1
199203;14.7;1
199204;17.8;1
199205;23.4;1
199206;22.3;1
199207;27.8;1
199208;31;1
199209;23.4;1
199210;14.5;1
199211;13.4;1
199212;9.4;1
199301;10.5;1
199302;7.6;1
199303;13.6;1
199304;17.9;1
199305;22.6;1
199306;26.4;1
199307;26.9;1
199308;29.5;1
199309;22;1
199310;16.4;1
199311;9.2;1
199312;10.1;1
199401;9.1;1
199402;10.8;1
199403;17.8;1
199404;14.8;1
199405;22.2;1
199406;26.3;1
199407;32.8;1
199408;30.8;1
199409;21.8;1
199410;18.6;1
199411;14.9;1
199412;9.9;1
199501;8.3;1
199502;13.4;1
199503;13.3;1
199504;17.3;1
199505;21.8;1
199506;25.1;1
199507;31.5;1
199508;28.7;1
199509;21.3;1
199510;21.4;1
199511;12.1;1
199512;7.9;1
199601;10.2;1
199602;8.1;1
199603;12.6;1
199604;17.8;1
199605;20.9;1
199606;26.4;1
199607;27.1;1
199608;26.6;1
199609;21;1
199610;18.3;1
199611;11.8;1
199612;8.3;1
199701;6.3;1
199702;12.7;1
199703;18.4;1
199704;19;1
199705;23.5;1
199706;24.5;1
199707;26.8;1
199708;30.6;1
199709;26.4;1
199710;19.1;1
199711;13.9;1
199712;9.7;1
199801;8.9;1
199802;13.1;1
199803;14.5;1
199804;16.3;1
199805;23.1;1
199806;25.9;1
199807;29.4;1
199808;29.4;1
199809;23.7;1
199810;17.8;1
199811;9.6;1
199812;8.8;1
199901;9.6;1
199902;9.1;1
199903;15.5;1
199904;17.2;1
199905;23.9;1
199906;25.3;1
199907;30.4;1
199908;29.1;1
199909;26.3;1
199910;18.5;1
199911;10;1
199912;8.8;1
200001;8;1
200002;12.3;1
200003;15.1;1
200004;17.8;1
200005;24.1;1
200006;26.7;1
200007;26.7;1
200008;29.9;1
200009;25.8;1
200010;18;1
200011;13.3;1
200012;11.4;1
200101;10.1;1
200102;11.6;1
200103;16.6;1
200104;16.6;1
200105;23.1;1
200106;25.9;1
200107;29.2;1
200108;30.2;1
200109;21.6;1
200110;22.1;1
200111;10.1;1
200112;6.4;1
200201;9.7;1
200202;12.7;1
200203;15.8;1
200204;18.3;1
200205;20.6;1
200206;27.6;1
200207;27.7;1
200208;27.3;1
200209;21.5;1
200210;19;1
200211;14.8;1
200212;10.4;1
200301;7.2;1
200302;9.2;1
200303;16.9;1
200304;18.8;1
200305;24.4;1
200306;32.7;1
200307;31.8;1
200308;35.3;1
200309;24.1;1
200310;16.8;1
200311;14;1
200312;9.7;1
200401;8;1
200402;9.3;1
200403;13.6;1
200404;16.9;1
200405;22;1
200406;27.9;1
200407;30;1
200408;28.9;1
200409;25.4;1
200410;20.1;1
200411;11.6;1
200412;7.5;1
200501;8.6;1
200502;7.3;1
200503;14.6;1
200504;17.6;1
200505;23;1
200506;29.2;1
200507;30.1;1
200508;27.4;1
200509;24.4;1
200510;20.7;1
200511;11.5;1
200512;6.1;1
200601;6.7;1
200602;8.5;1
200603;13.5;1
200604;19;1
200605;22.7;1
200606;28.4;1
200607;33;1
200608;25.8;1
200609;26.2;1
200610;21.8;1
200611;15.6;1
200612;9;1
200701;10.6;1
200702;12.7;1
200703;14.8;1
200704;22.6;1
200705;22.8;1
200706;26.5;1
200707;28.8;1
200708;27.3;1
200709;23.6;1
200710;18.5;1
200711;11.9;1
200712;8;1
200801;11.3;1
200802;13.7;1
200803;13.5;1
200804;17;1
200805;22.8;1
200806;25.2;1
200807;28;1
200808;27.1;1
200809;21.7;1
200810;17.5;1
200811;12;1
200812;7.8;1
200901;6.4;1
200902;9.7;1
200903;14.4;1
200904;19.4;1
200905;24.9;1
200906;27.2;1
200907;31;1
200908;31.9;1
200909;25.1;1
200910;18.8;1
200911;14.9;1
200912;8.8;1
201001;4.9;1
201002;8.9;1
201003;12.9;1
201004;19.3;1
201005;19.9;1
201006;25.8;1
201007;31.4;1
201008;29.1;1
201009;23.8;1
201010;17.7;1
201011;12.6;1
201012;6.5;1
201101;8.5;1
201102;10.6;1
201103;15.2;1
201104;21.9;1
201105;26.1;1
201106;26.5;1
201107;26.8;1
201108;29.9;1
201109;26.9;1
201110;20.4;1
201111;14.9;1
201112;10.7;1
201201;9.4;1
201202;5.8;1
201203;18.3;1
201204;17.4;1
201205;22.8;1
201206;27;1
201207;28.7;1
201208;31;1
201209;24.3;1
201210;19.4;1
201211;13.6;1
201212;9.7;1
201301;7.8;1
201302;7.2;1
201303;12.9;1
201304;17.2;1
201305;18.6;1
201306;25.2;1
201307;31.2;1
201308;28.4;1
201309;25.2;1
201310;20.4;1
201311;10.4;1
201312;10.8;1
201401;10.8;1
201402;12;1
201403;16.3;1
201404;19.6;1
201405;22;1
201406;28.7;1
201407;26.9;1
201408;27.1;1
201409;25.6;1
201410;22;1
201411;15.2;1
201412;9.6;1
201501;9.6;1
201502;8.7;1
201503;15.2;1
201504;19.9;1
201505;23.6;1
201506;28.7;1
201507;33;1
201508;30.4;1
201509;23;1
201510;17.1;1
201511;14.9;1
201512;12.8;1
201601;10.8;1
201602;12.2;1
201603;13.8;1
201604;17.6;1
201605;21.5;1
201606;26.6;1
201607;30;1
201608;29.9;1
201609;27.3;1
201610;17.3;1
201611;13.2;1
201612;9.3;1
201701;6.2;1
201702;14.1;1
201703;17.3;1
201704;18.5;1
201705;22.9;1
201706;29.5;1
201707;30.9;1
201708;31.2;1
201709;24;1
201710;21.6;1
201711;12.4;1
201712;8.4;1
201801;12;1
201802;7;1
201803;14.1;1
201804;21;1
201805;22.3;1
201806;26.7;1
201807;32.1;1
201808;30.4;1
201809;27.8;1
201810;19.5;1
201811;13.3;1
201812;9.9;1
201901;8.1;1
201902;13.9;1
201903;16.9;1
201904;17.8;1
201905;20.6;1
201906;29.3;1
201907;32.3;1
201908;31.2;1
201909;26.5;1
201910;20.7;1
201911;12.2;1
201912;11.5;1
202001;10.7;0
202002;14;0
202003;15.6;0
202004;21.3;0
202005;23.8;0
202006;26.8;0
202007;31.3;0
202008;31.3;0
202009;26.1;0
202010;17.6;0
202011;14.7;0
202012;9.2;0
202101;7.9;0
202102;13.1;0
202103;15.4;0
202104;17.2;0
202105;20.7;0
202106;27.8;0
202107;28.4;0
202108;27.4;0
202109;26.5;0
202110;19;0
202111;11.2;0
202112;9.1;0
202201;8.2;0
202202;13.2;0
202203;16.2;0
202204;18.7;0
202205;26.7;0
202206;31.5;0
202207;33.4;0
202208;32.6;0
202209;24.8;0
202210;23;0
202211;14.3;0
202212;9.7;0
