# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 29082001
# NOM_USUEL= BATZ
# LATITUDE (°) = 48.746
# LONGITUDE(°)= -4.012
# ALTITUDE (m) = 32
# NUM_SERIE= MTX229082001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 197312 200612 201212
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;9.9;1
195102;9.4;1
195103;9.6;1
195104;11.2;1
195105;13;1
195106;16.7;1
195107;18.4;1
195108;17.6;1
195109;18;1
195110;14.4;1
195111;12.5;1
195112;10.6;1
195201;9.1;1
195202;8.6;1
195203;11.3;1
195204;13.1;1
195205;15.5;1
195206;17.1;1
195207;19.1;1
195208;19.3;1
195209;16.2;1
195210;14.3;1
195211;10.8;1
195212;9.6;1
195301;8.4;1
195302;8.4;1
195303;10.5;1
195304;11.7;1
195305;14.8;1
195306;16.1;1
195307;18.8;1
195308;19.6;1
195309;18.4;1
195310;15.9;1
195311;13.4;1
195312;13;1
195401;9.6;1
195402;9;1
195403;11.6;1
195404;11.7;1
195405;14.5;1
195406;16;1
195407;17;1
195408;17.7;1
195409;17.7;1
195410;16.7;1
195411;13.3;1
195412;11.8;1
195501;9.8;1
195502;8.3;1
195503;7.9;1
195504;13.1;1
195505;14.3;1
195506;16.9;1
195507;18.3;1
195508;20.8;1
195509;18.9;1
195510;14.8;1
195511;12.5;1
195512;12.4;1
195601;10.4;1
195602;5;1
195603;11;1
195604;11.5;1
195605;14.4;1
195606;15.4;1
195607;17.6;1
195608;16.6;1
195609;17.9;1
195610;14.8;1
195611;11.5;1
195612;11.3;1
195701;10.2;1
195702;11.1;1
195703;14.1;1
195704;12.1;1
195705;14.1;1
195706;17.2;1
195707;18.4;1
195708;18.2;1
195709;17.4;1
195710;15.5;1
195711;11.3;1
195712;10.1;1
195801;9.9;1
195802;11.4;1
195803;9.3;1
195804;10.4;1
195805;14.6;1
195806;16.2;1
195807;17.8;1
195808;18.5;1
195809;19.2;1
195810;14.8;1
195811;12.3;1
195812;10.8;1
195901;9.7;1
195902;10.1;1
195903;12.2;1
195904;13;1
195905;14.1;1
195906;16.7;1
195907;19.1;1
195908;19.3;1
195909;19.2;1
195910;17.6;1
195911;12.9;1
195912;11.5;1
196001;10.3;1
196002;10.1;1
196003;11.8;1
196004;12.4;1
196005;15.6;1
196006;17.6;1
196007;18.1;1
196008;18.6;1
196009;17.1;1
196010;15.1;1
196011;12.8;1
196012;9.6;1
196101;10.2;1
196102;11.8;1
196103;12.3;1
196104;14.3;1
196105;14.6;1
196106;16.9;1
196107;17.8;1
196108;19.1;1
196109;19.6;1
196110;15.5;1
196111;11.2;1
196112;9.4;1
196201;10.2;1
196202;9;1
196203;8.3;1
196204;10.9;1
196205;13.1;1
196206;15.9;1
196207;17.8;1
196208;17.9;1
196209;17.8;1
196210;15.2;1
196211;11.4;1
196212;9.1;1
196301;4.4;1
196302;6.1;1
196303;11;1
196304;11.6;1
196305;13;1
196306;15.4;1
196307;17.2;1
196308;17;1
196309;16.2;1
196310;15.5;1
196311;13.6;1
196312;8.7;1
196401;8.1;1
196402;9.8;1
196403;9.8;1
196404;12.1;1
196405;15.2;1
196406;16.7;1
196407;18.3;1
196408;18.6;1
196409;18.5;1
196410;14.1;1
196411;12.1;1
196412;10;1
196501;9.3;1
196502;7.1;1
196503;10.7;1
196504;12;1
196505;14.3;1
196506;16;1
196507;17;1
196508;18.3;1
196509;16.1;1
196510;16.2;1
196511;11.3;1
196512;11.4;1
196601;9.4;1
196602;12.1;1
196603;11.2;1
196604;13.3;1
196605;14.2;1
196606;16.9;1
196607;17.9;1
196608;18.7;1
196609;17.9;1
196610;15.1;1
196611;10.9;1
196612;11.3;1
196701;10.1;1
196702;10.4;1
196703;11.5;1
196704;11.3;1
196705;13.4;1
196706;16.3;1
196707;19.1;1
196708;18.6;1
196709;17.4;1
196710;15.5;1
196711;11.3;1
196712;10.2;1
196801;10.2;1
196802;8.6;1
196803;10.8;1
196804;12.2;1
196805;13.4;1
196806;16.4;1
196807;17.4;1
196808;17.8;1
196809;18;1
196810;16.8;1
196811;12.5;1
196812;10.2;1
196901;11.3;1
196902;8.2;1
196903;10.3;1
196904;12.1;1
196905;15.1;1
196906;15.9;1
196907;18.3;1
196908;18.6;1
196909;17.6;1
196910;17.7;1
196911;12.1;1
196912;10.2;1
197001;10.6;1
197002;9.6;1
197003;9.3;1
197004;11.3;1
197005;14.2;1
197006;16.7;1
197007;17.7;1
197008;17.7;1
197009;18.3;1
197010;15.2;1
197011;13.6;1
197012;8.9;1
197101;10.4;1
197102;9.8;1
197103;9.1;1
197104;11.3;1
197105;14;1
197106;15.3;1
197107;18.7;1
197108;18.7;1
197109;18.7;1
197110;17.2;1
197111;12.2;1
197112;10.7;1
197201;9.5;1
197202;10.2;1
197203;11;1
197204;11.6;1
197205;12.9;1
197206;14.2;1
197207;16.7;1
197208;17.6;1
197209;16.4;1
197210;14.6;1
197211;12;1
197212;10.9;1
197301;9.1;1
197302;9.6;1
197303;10.9;1
197304;11.2;1
197305;14.6;1
197306;16.5;1
197307;17.5;1
197308;18.9;1
197309;18.1;1
197310;14.6;1
197311;13;1
197312;10.6;1
197401;11.6;1
197402;10.7;1
197403;10.2;1
197404;11.8;1
197405;14.3;1
197406;16.8;1
197407;18.2;1
197408;19.2;1
197409;16.2;1
197410;12.6;1
197411;12.1;1
197412;11.9;1
197501;11.6;1
197502;11.8;1
197503;9.7;1
197504;11.3;1
197505;12.7;1
197506;17.1;1
197507;19.5;1
197508;20.3;1
