# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 30189001
# NOM_USUEL= NIMES-COURBESSAC
# LATITUDE (°) = 43.857
# LONGITUDE(°)= 4.406
# ALTITUDE (m) = 59
# NUM_SERIE= MTX230189001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195601 201912
# Date(s) de rupture(s) d'homogénéité : 201507
#     Periode homogénéisée  195601 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;11.7;1
195602;3;1
195603;13.6;1
195604;16.1;1
195605;23.5;1
195606;24.9;1
195607;28.7;1
195608;28;1
195609;25.8;1
195610;19;1
195611;12.2;1
195612;11.2;1
195701;11.2;1
195702;14;1
195703;18.2;1
195704;17.7;1
195705;20.1;1
195706;24.5;1
195707;29.4;1
195708;28;1
195709;25.7;1
195710;21.2;1
195711;14.1;1
195712;10.7;1
195801;10.7;1
195802;14.3;1
195803;13.4;1
195804;16.5;1
195805;23.5;1
195806;25.6;1
195807;28.7;1
195808;29.6;1
195809;27;1
195810;20;1
195811;13.9;1
195812;11.5;1
195901;11.1;1
195902;14.5;1
195903;16;1
195904;17.6;1
195905;22.3;1
195906;27.1;1
195907;31.8;1
195908;28.7;1
195909;24.6;1
195910;19.2;1
195911;14.3;1
195912;12.2;1
196001;10.1;1
196002;13.2;1
196003;14.7;1
196004;18.6;1
196005;24.7;1
196006;27.8;1
196007;27.9;1
196008;27.1;1
196009;23.8;1
196010;18.5;1
196011;15;1
196012;8.6;1
196101;10;1
196102;16;1
196103;18.3;1
196104;20.9;1
196105;22;1
196106;27.9;1
196107;29.1;1
196108;30.1;1
196109;28.7;1
196110;20.7;1
196111;13.9;1
196112;11.9;1
196201;12.2;1
196202;11.4;1
196203;12.3;1
196204;18.1;1
196205;21.7;1
196206;26.5;1
196207;29.9;1
196208;31.7;1
196209;25.7;1
196210;20.3;1
196211;12.2;1
196212;9;1
196301;6;1
196302;8;1
196303;15;1
196304;18.6;1
196305;23.1;1
196306;25.6;1
196307;30.4;1
196308;26.1;1
196309;23.5;1
196310;20.6;1
196311;16.5;1
196312;8.7;1
196401;9.6;1
196402;12.3;1
196403;13.3;1
196404;18.6;1
196405;24.4;1
196406;27.5;1
196407;31.5;1
196408;27.8;1
196409;24.7;1
196410;17.9;1
196411;14.9;1
196412;9.6;1
196501;10.6;1
196502;8.9;1
196503;14.9;1
196504;18.6;1
196505;23.8;1
196506;27.3;1
196507;28.2;1
196508;28.4;1
196509;22.5;1
196510;20.8;1
196511;14.7;1
196512;12.4;1
196601;9.6;1
196602;14.4;1
196603;15.5;1
196604;18.9;1
196605;22.9;1
196606;27.1;1
196607;27.8;1
196608;28.3;1
196609;27.2;1
196610;21.1;1
196611;12.1;1
196612;12.1;1
196701;10;1
196702;12.5;1
196703;16;1
196704;18.8;1
196705;21.8;1
196706;26;1
196707;31.6;1
196708;30;1
196709;25;1
196710;22.6;1
196711;15.6;1
196712;9.3;1
196801;10.9;1
196802;12;1
196803;16;1
196804;18.9;1
196805;21.2;1
196806;26;1
196807;28.7;1
196808;27;1
196809;23.6;1
196810;22.2;1
196811;13.9;1
196812;9.9;1
196901;11.7;1
196902;10.2;1
196903;13.8;1
196904;17.8;1
196905;21.8;1
196906;24.1;1
196907;29.1;1
196908;28;1
196909;24.2;1
196910;21.7;1
196911;14.8;1
196912;7.7;1
197001;11.4;1
197002;12.6;1
197003;12.4;1
197004;17.4;1
197005;21.7;1
197006;27.5;1
197007;29.9;1
197008;28.6;1
197009;26.7;1
197010;20.2;1
197011;16.6;1
197012;9.2;1
197101;9.4;1
197102;12.4;1
197103;11.6;1
197104;19.3;1
197105;21.8;1
197106;25.3;1
197107;30.3;1
197108;30.1;1
197109;25.5;1
197110;21.6;1
197111;12.5;1
197112;12.2;1
197201;10.3;1
197202;13.2;1
197203;16.2;1
197204;17.5;1
197205;21.4;1
197206;24.1;1
197207;29.4;1
197208;26.4;1
197209;22;1
197210;19.4;1
197211;15.2;1
197212;11.8;1
197301;10.2;1
197302;10.6;1
197303;14.7;1
197304;16.7;1
197305;23;1
197306;26.9;1
197307;29.7;1
197308;31.1;1
197309;27.1;1
197310;19.4;1
197311;14.9;1
197312;11.2;1
197401;12.9;1
197402;12;1
197403;14.5;1
197404;17;1
197405;22.1;1
197406;26.2;1
197407;29.9;1
197408;30.1;1
197409;23.1;1
197410;15.7;1
197411;14.5;1
197412;13.8;1
197501;12.6;1
197502;13.2;1
197503;13;1
197504;18.5;1
197505;21.3;1
197506;25.4;1
197507;30.6;1
197508;29.4;1
197509;24.9;1
197510;19.3;1
197511;13.9;1
197512;9.3;1
197601;12;1
197602;13.1;1
197603;15.5;1
197604;16.6;1
197605;23.9;1
197606;29.8;1
197607;30.4;1
197608;28.7;1
197609;22.7;1
197610;18.4;1
197611;13.5;1
197612;10.9;1
197701;10.3;1
197702;14.5;1
197703;16.3;1
197704;18.3;1
197705;20.2;1
197706;24.4;1
197707;27.9;1
197708;26.8;1
197709;25;1
197710;21.1;1
197711;15;1
197712;11.7;1
197801;9.7;1
197802;11.1;1
197803;15.9;1
197804;16;1
197805;20.7;1
197806;25.1;1
197807;28.7;1
197808;28.6;1
197809;27;1
197810;20.8;1
197811;15.4;1
197812;12.3;1
197901;8.8;1
197902;12.4;1
197903;16.1;1
197904;17.1;1
197905;22.3;1
197906;27.6;1
197907;30.9;1
197908;28.8;1
197909;25.8;1
197910;19.8;1
