# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 34154001
# NOM_USUEL= MONTPELLIER-AEROPORT
# LATITUDE (°) = 43.576
# LONGITUDE(°)= 3.965
# ALTITUDE (m) = 1
# NUM_SERIE= MTX234154001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195101 201912
# Date(s) de rupture(s) d'homogénéité : 196802 199612
#     Periode homogénéisée  195101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;12.4;1
195102;12.1;1
195103;14;1
195104;17.8;1
195105;18.5;1
195106;25.6;1
195107;28.3;1
195108;26.7;1
195109;25.5;1
195110;18.2;1
195111;16.4;1
195112;12.2;1
195201;9.6;1
195202;11.5;1
195203;16.3;1
195204;18.6;1
195205;22.6;1
195206;28;1
195207;31.4;1
195208;27.4;1
195209;23.6;1
195210;20.2;1
195211;13.2;1
195212;11.3;1
195301;8.6;1
195302;11.7;1
195303;15.7;1
195304;17.7;1
195305;24.3;1
195306;23.3;1
195307;28.3;1
195308;28.5;1
195309;24.4;1
195310;20.2;1
195311;15.5;1
195312;13.8;1
195401;9.6;1
195402;9.3;1
195403;14.4;1
195404;16.5;1
195405;20.3;1
195406;25.4;1
195407;27.5;1
195408;24.8;1
195409;24.7;1
195410;20.3;1
195411;16.8;1
195412;14;1
195501;12.4;1
195502;12;1
195503;14.3;1
195504;20.2;1
195505;21.1;1
195506;24.3;1
195507;28.2;1
195508;27.1;1
195509;24.4;1
195510;18.6;1
195511;13.6;1
195512;13.6;1
195601;11.9;1
195602;5.1;1
195603;14.2;1
195604;15.9;1
195605;21.8;1
195606;23.8;1
195607;27;1
195608;26.3;1
195609;24.6;1
195610;18.6;1
195611;12.7;1
195612;12;1
195701;11.4;1
195702;14.4;1
195703;16.7;1
195704;17.4;1
195705;19.6;1
195706;23;1
195707;27.7;1
195708;26.5;1
195709;23.7;1
195710;21;1
195711;14.5;1
195712;11.5;1
195801;11.3;1
195802;13.5;1
195803;13.8;1
195804;16.8;1
195805;21.2;1
195806;24.1;1
195807;26.2;1
195808;27.3;1
195809;25.4;1
195810;20.1;1
195811;14.2;1
195812;12.4;1
195901;11.3;1
195902;13.8;1
195903;15.7;1
195904;16.8;1
195905;21.5;1
195906;25.5;1
195907;30;1
195908;27.5;1
195909;23.3;1
195910;18.8;1
195911;14.4;1
195912;12.3;1
196001;10.7;1
196002;13.2;1
196003;15;1
196004;18.8;1
196005;23;1
196006;26.1;1
196007;26.7;1
196008;25;1
196009;22.4;1
196010;17.8;1
196011;14.9;1
196012;9;1
196101;10.5;1
196102;15.3;1
196103;17.5;1
196104;19.3;1
196105;21.6;1
196106;26;1
196107;27.4;1
196108;27.5;1
196109;26.2;1
196110;19.8;1
196111;13.8;1
196112;12.5;1
196201;12.9;1
196202;12.1;1
196203;12.4;1
196204;17.7;1
196205;20.5;1
196206;25.6;1
196207;27.7;1
196208;29;1
196209;24.6;1
196210;20;1
196211;12.4;1
196212;9.6;1
196301;6.9;1
196302;8.1;1
196303;14.3;1
196304;18.1;1
196305;22.2;1
196306;23.8;1
196307;28.8;1
196308;25;1
196309;23;1
196310;20.9;1
196311;16.6;1
196312;9;1
196401;9.8;1
196402;13.4;1
196403;13.5;1
196404;18;1
196405;23;1
196406;26.7;1
196407;29.3;1
196408;27.5;1
196409;24.6;1
196410;17.8;1
196411;15.1;1
196412;10.1;1
196501;11;1
196502;10.1;1
196503;15;1
196504;18.2;1
196505;22;1
196506;25.3;1
196507;26.5;1
196508;26.9;1
196509;21.9;1
196510;19.8;1
196511;14.7;1
196512;13.1;1
196601;10.2;1
196602;14.2;1
196603;15.7;1
196604;18.4;1
196605;22;1
196606;26;1
196607;26.7;1
196608;25.7;1
196609;25.4;1
196610;20.5;1
196611;12.5;1
196612;12.8;1
196701;11;1
196702;12.8;1
196703;16.3;1
196704;19.1;1
196705;20.5;1
196706;24.9;1
196707;28.9;1
196708;27.4;1
196709;23.4;1
196710;21.6;1
196711;16;1
196712;11;1
196801;12;1
196802;12.5;1
196803;15.5;1
196804;17.5;1
196805;20.7;1
196806;24;1
196807;26.5;1
196808;25.8;1
196809;23.1;1
196810;21.5;1
196811;14.3;1
196812;10.7;1
196901;12.1;1
196902;10.4;1
196903;13.8;1
196904;17.1;1
196905;20.1;1
196906;23.1;1
196907;27.5;1
196908;26.8;1
196909;23.4;1
196910;21.4;1
196911;15.2;1
196912;9.1;1
197001;11.9;1
197002;13;1
197003;12.5;1
197004;16.8;1
197005;20.8;1
197006;25.8;1
197007;27.7;1
197008;26.8;1
197009;25.8;1
197010;19.4;1
197011;16.4;1
197012;9.8;1
197101;10.5;1
197102;13.4;1
197103;12;1
197104;18.2;1
197105;20.8;1
197106;24.4;1
197107;28.3;1
197108;28.1;1
197109;25;1
197110;20.9;1
197111;13.1;1
197112;12.7;1
197201;10.9;1
197202;13.2;1
197203;14.9;1
197204;17.4;1
197205;20.1;1
197206;23.1;1
197207;27.6;1
197208;25.3;1
197209;21.7;1
197210;19.2;1
197211;15.1;1
197212;12.2;1
197301;11.2;1
