# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 34301002
# NOM_USUEL= SETE
# LATITUDE (°) = 43.397
# LONGITUDE(°)= 3.692
# ALTITUDE (m) = 75
# NUM_SERIE= MTX234301002
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195101 201912
# Date(s) de rupture(s) d'homogénéité : 195612
#     Periode homogénéisée  195101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;10.9;1
195102;11.2;1
195103;12.4;1
195104;16.2;1
195105;16.8;1
195106;23.8;1
195107;26.6;1
195108;25.3;1
195109;24.5;1
195110;17.5;1
195111;15.5;1
195112;11.7;1
195201;8.6;1
195202;9.9;1
195203;15.3;1
195204;17.3;1
195205;21.4;1
195206;26.6;1
195207;30.2;1
195208;25.9;1
195209;21.7;1
195210;18.2;1
195211;12.3;1
195212;10.4;1
195301;7.4;1
195302;9.9;1
195303;14.5;1
195304;16.1;1
195305;22.9;1
195306;21.8;1
195307;27.2;1
195308;27.1;1
195309;23.4;1
195310;19.1;1
195311;14.9;1
195312;13.2;1
195401;8.3;1
195402;8.9;1
195403;14.4;1
195404;16.4;1
195405;20;1
195406;24.8;1
195407;26.5;1
195408;23.8;1
195409;24.1;1
195410;19.6;1
195411;16.1;1
195412;13.4;1
195501;12.5;1
195502;11.6;1
195503;13.7;1
195504;19;1
195505;20.4;1
195506;23.5;1
195507;27.2;1
195508;25.9;1
195509;24.1;1
195510;18;1
195511;12.7;1
195512;12.9;1
195601;11.4;1
195602;4.1;1
195603;12.9;1
195604;15.2;1
195605;20.9;1
195606;22.6;1
195607;25.9;1
195608;24.9;1
195609;23.2;1
195610;16.9;1
195611;11.4;1
195612;10.8;1
195701;10.1;1
195702;13.5;1
195703;16;1
195704;16.6;1
195705;19;1
195706;22.5;1
195707;27.1;1
195708;25.5;1
195709;23.1;1
195710;19.8;1
195711;13.4;1
195712;10.8;1
195801;10.6;1
195802;12.7;1
195803;12.6;1
195804;15.7;1
195805;20.1;1
195806;22.9;1
195807;24.9;1
195808;26;1
195809;24.7;1
195810;19;1
195811;13.5;1
195812;11.4;1
195901;10.3;1
195902;12.5;1
195903;14.7;1
195904;15.7;1
195905;20.4;1
195906;24.3;1
195907;28.6;1
195908;26.2;1
195909;22.5;1
195910;18.4;1
195911;14;1
195912;11.9;1
196001;9.9;1
196002;12.2;1
196003;14.1;1
196004;18.3;1
196005;21.7;1
196006;25.6;1
196007;26.2;1
196008;24.2;1
196009;22.1;1
196010;17.1;1
196011;14.1;1
196012;8.2;1
196101;9.6;1
196102;13.5;1
196103;16.1;1
196104;17.8;1
196105;20.5;1
196106;25.4;1
196107;26.4;1
196108;25.9;1
196109;25.3;1
196110;18.8;1
196111;13.1;1
196112;12.1;1
196201;11.9;1
196202;10.5;1
196203;11.6;1
196204;16.5;1
196205;19.5;1
196206;24.3;1
196207;26.5;1
196208;27.9;1
196209;23.1;1
196210;18.6;1
196211;11.6;1
196212;9.2;1
196301;6.6;1
196302;7.4;1
196303;13.1;1
196304;16.5;1
196305;20.8;1
196306;22.6;1
196307;27.1;1
196308;23.6;1
196309;21.5;1
196310;19.1;1
196311;15.5;1
196312;8.6;1
196401;8.6;1
196402;12.1;1
196403;12.1;1
196404;16.6;1
196405;21.9;1
196406;25.2;1
196407;27.7;1
196408;26;1
196409;23.2;1
196410;16.8;1
196411;14.1;1
196412;9.4;1
196501;9.8;1
196502;8.7;1
196503;13.4;1
196504;16.5;1
196505;20.7;1
196506;23.7;1
196507;24.9;1
196508;25.2;1
196509;20.4;1
196510;18.6;1
196511;14;1
196512;12.1;1
196601;9.7;1
196602;12.8;1
196603;14.3;1
196604;17.2;1
196605;20.2;1
196606;24.3;1
196607;25.5;1
196608;24.2;1
196609;24.1;1
196610;19.2;1
196611;11.3;1
196612;11.5;1
196701;9.7;1
196702;11.9;1
196703;14.7;1
196704;17.4;1
196705;18.7;1
196706;23.2;1
196707;27.8;1
196708;26.1;1
196709;22.1;1
196710;20.1;1
196711;15;1
196712;9;1
196801;10.7;1
196802;11.3;1
196803;13.9;1
196804;16.1;1
196805;19.8;1
196806;23;1
196807;25.2;1
196808;24.9;1
196809;22.5;1
196810;20.4;1
196811;13.6;1
196812;10.7;1
196901;11.1;1
196902;9.1;1
196903;12.7;1
196904;15.7;1
196905;18.9;1
196906;21.7;1
196907;25.8;1
196908;26;1
196909;22.4;1
196910;20.3;1
196911;13.8;1
196912;8.2;1
197001;11.3;1
197002;11.7;1
197003;11.1;1
197004;15.4;1
197005;19.4;1
197006;24.2;1
197007;26.4;1
197008;25.4;1
197009;24.5;1
197010;18.1;1
197011;15.4;1
197012;8.7;1
197101;9.4;1
197102;11.4;1
197103;10.7;1
197104;16.9;1
197105;20;1
197106;23.8;1
197107;27.1;1
197108;27.5;1
197109;24;1
197110;20.1;1
197111;11.7;1
197112;11.7;1
197201;10.1;1
197202;11.9;1
197203;14.1;1
197204;16.3;1
197205;19.5;1
197206;22.7;1
197207;26.9;1
197208;24.3;1
197209;21.1;1
197210;17.9;1
197211;14.3;1
197212;11;1
197301;9.9;1
197302;10.1;1
197303;13.6;1
197304;15.4;1
197305;19.4;1
197306;24.8;1
197307;27.7;1
197308;28;1
197309;24.2;1
197310;18.7;1
197311;14;1
197312;10.5;1
197401;12;1
197402;11.2;1
197403;12.9;1
197404;15.7;1
197405;20;1
197406;23.9;1
197407;26.7;1
197408;26.3;1
197409;21.1;1
197410;14.8;1
197411;13.7;1
197412;13.2;1
197501;12.3;1
197502;12.3;1
197503;12.1;1
197504;16.7;1
197505;19.1;1
197506;23.2;1
197507;27;1
197508;27.1;1
197509;22.7;1
197510;18.1;1
197511;13.4;1
197512;9.2;1
197601;11;1
197602;11.8;1
197603;14.1;1
197604;15.3;1
197605;22;1
197606;26.2;1
197607;28.4;1
197608;25.8;1
197609;20.6;1
197610;16.8;1
197611;12.7;1
197612;10.7;1
197701;9.9;1
197702;13.2;1
197703;15;1
197704;16.6;1
197705;18.1;1
197706;22;1
197707;25.1;1
197708;23.9;1
197709;22.9;1
197710;19.2;1
197711;13.8;1
197712;11.8;1
197801;9;1
197802;10.8;1
197803;14.5;1
197804;14.5;1
197805;18.7;1
197806;22.3;1
197807;25.2;1
197808;26;1
197809;25.5;1
197810;18.4;1
197811;13.2;1
197812;11.5;1
197901;8.8;1
197902;11.2;1
197903;14.4;1
197904;15.5;1
197905;19.3;1
197906;25.3;1
197907;27.9;1
197908;26.2;1
197909;23.3;1
197910;18.4;1
197911;13.7;1
197912;11.5;1
198001;8.9;1
198002;12.9;1
198003;12.8;1
198004;15.7;1
198005;18.9;1
198006;22.9;1
198007;24.4;1
198008;27.4;1
198009;24.2;1
198010;18.3;1
198011;11.7;1
198012;9.1;1
198101;10.2;1
198102;9.7;1
198103;14.1;1
198104;17.1;1
198105;18.3;1
198106;25.1;1
198107;25.4;1
198108;27.3;1
198109;24.1;1
198110;19;1
198111;13.6;1
198112;11.4;1
198201;12.1;1
198202;12.1;1
198203;13.6;1
198204;17.2;1
198205;20.5;1
198206;25.5;1
198207;28.9;1
198208;26.4;1
198209;24.5;1
198210;18.7;1
198211;14.4;1
198212;11.2;1
198301;12.4;1
198302;9;1
198303;14.3;1
198304;15.1;1
198305;18.9;1
198306;24.1;1
198307;28.3;1
198308;26.7;1
198309;25;1
198310;19.4;1
198311;14.5;1
198312;11.8;1
198401;10.9;1
198402;10.5;1
198403;12.2;1
198404;16.8;1
198405;17.6;1
198406;23.8;1
198407;26.6;1
198408;26;1
