# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 40088001
# NOM_USUEL= DAX
# LATITUDE (°) = 43.69
# LONGITUDE(°)= -1.07
# ALTITUDE (m) = 31
# NUM_SERIE= MTX240088001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 197201 198012 198512 201010
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;11.8;1
195902;13.4;1
195903;16.4;1
195904;17.2;1
195905;20.1;1
195906;24.1;1
195907;26.1;1
195908;26;1
195909;23.9;1
195910;19.3;1
195911;13.1;1
195912;12.3;1
196001;10.3;1
196002;13.9;1
196003;16.5;1
196004;17;1
196005;23;1
196006;25;1
196007;23.3;1
196008;24.5;1
196009;21.9;1
196010;17.4;1
196011;15.5;1
196012;8.6;1
196101;10.1;1
196102;16.1;1
196103;18.1;1
196104;19.3;1
196105;21.5;1
196106;24;1
196107;25.2;1
196108;24.9;1
196109;26.6;1
196110;19.6;1
196111;11.9;1
196112;13.4;1
196201;11.7;1
196202;10.4;1
196203;12.3;1
196204;17.5;1
196205;19.4;1
196206;24.7;1
196207;26.1;1
196208;27.7;1
196209;25.7;1
196210;20.8;1
196211;10.6;1
196212;7.8;1
196301;7.5;1
196302;9.5;1
196303;15.8;1
196304;17.3;1
196305;18.9;1
196306;23.7;1
196307;26;1
196308;22.5;1
196309;21.4;1
196310;19;1
196311;16.7;1
196312;8.7;1
196401;7.9;1
196402;12.8;1
196403;14.1;1
196404;16.9;1
196405;23.1;1
196406;23.9;1
196407;27.8;1
196408;26.5;1
196409;26.7;1
196410;17.2;1
196411;12.8;1
196412;9.5;1
196501;10.4;1
196502;8.4;1
196503;15.3;1
196504;14.8;1
196505;20.3;1
196506;23;1
196507;24.4;1
196508;24.8;1
196509;20.8;1
196510;20.8;1
196511;14.3;1
196512;12.3;1
196601;11.5;1
196602;16.1;1
196603;14;1
196604;18.7;1
196605;20.5;1
196606;23.4;1
196607;23.4;1
196608;25.4;1
196609;25.4;1
196610;19.1;1
196611;11.1;1
196612;11.2;1
196701;9.7;1
196702;12.4;1
196703;15.4;1
196704;15.9;1
196705;20.6;1
196706;23.3;1
196707;26.9;1
196708;25.8;1
196709;23.3;1
196710;21.5;1
196711;13.2;1
196712;7.6;1
196801;10.9;1
196802;13.1;1
196803;13.3;1
196804;18.1;1
196805;18.8;1
196806;23.4;1
196807;26.6;1
196808;24;1
196809;22.5;1
196810;22.4;1
196811;14.7;1
196812;10.8;1
196901;11.8;1
196902;9.9;1
196903;14.2;1
196904;15.6;1
196905;20.9;1
196906;21.5;1
196907;27.1;1
196908;25.1;1
196909;21.9;1
196910;21;1
196911;14.2;1
196912;8.9;1
197001;12.6;1
197002;11.5;1
197003;11.6;1
197004;14.7;1
197005;20.9;1
197006;24.9;1
197007;26.4;1
197008;26;1
197009;26.3;1
197010;19.2;1
197011;17.9;1
197012;7.5;1
197101;12.2;1
197102;11.5;1
197103;10.8;1
197104;18.7;1
197105;20.2;1
197106;21.2;1
197107;28.6;1
197108;25.8;1
197109;23.9;1
197110;22.2;1
197111;10.7;1
197112;9.7;1
197201;10.3;1
197202;12.6;1
197203;15.8;1
197204;14.8;1
197205;18.2;1
197206;20.7;1
197207;26.1;1
197208;24.3;1
197209;21;1
197210;19;1
197211;14.5;1
197212;11.7;1
197301;9.3;1
197302;10.1;1
197303;14.8;1
197304;16.1;1
197305;22.5;1
197306;23;1
197307;23.8;1
197308;26.7;1
197309;24.1;1
197310;18.3;1
197311;14.7;1
197312;9.5;1
197401;13.6;1
197402;11.8;1
197403;14;1
197404;16.1;1
197405;19.5;1
197406;24.3;1
197407;24.8;1
197408;25.7;1
197409;21.6;1
197410;14.1;1
197411;14.7;1
197412;12.1;1
197501;13;1
197502;14.7;1
197503;12.1;1
197504;15.5;1
197505;18.5;1
197506;22;1
197507;27.8;1
197508;27.5;1
197509;23.6;1
197510;19.7;1
197511;13.1;1
197512;6.5;1
197601;9.2;1
197602;13.2;1
197603;15.5;1
197604;16.1;1
197605;20.5;1
197606;28.2;1
197607;27.6;1
197608;26.8;1
197609;22.6;1
197610;18.2;1
197611;12.9;1
197612;9.8;1
197701;10.4;1
197702;15;1
197703;17.5;1
197704;16;1
197705;17.8;1
197706;20.8;1
197707;22.7;1
197708;23.2;1
197709;23.4;1
197710;20.5;1
197711;13.4;1
197712;12.2;1
197801;9.5;1
197802;13.1;1
197803;14.3;1
197804;14.5;1
197805;18.2;1
197806;21.4;1
197807;24.6;1
197808;25.6;1
197809;24.1;1
197810;18.9;1
197811;13;1
197812;13.9;1
197901;9.5;1
197902;12.1;1
197903;14.1;1
197904;14.9;1
197905;19.3;1
197906;22;1
197907;25.9;1
197908;23.9;1
197909;23.8;1
197910;19.8;1
197911;13.3;1
197912;12.7;1
198001;10.4;1
198002;13.4;1
198003;13.8;1
198004;16.5;1
198005;17.6;1
198006;20.5;1
198007;23.5;1
198008;26.4;1
198009;26;1
198010;18.5;1
198011;14;1
198012;9.8;1
198101;10.3;1
198102;11;1
198103;18.3;1
198104;17.4;1
198105;19.8;1
198106;24.5;1
198107;23.9;1
198108;26.8;1
198109;24.3;1
198110;19.1;1
198111;14.6;1
198112;12.5;1
198201;13.7;1
198202;12.8;1
198203;14.2;1
198204;18.5;1
198205;21.5;1
198206;24.4;1
198207;27.7;1
198208;24.3;1
198209;26.2;1
198210;18.6;1
198211;15.6;1
198212;11.1;1
198301;11.6;1
198302;10.8;1
198303;15.1;1
198304;18;1
198305;19;1
198306;25.2;1
198307;28.5;1
198308;25.8;1
198309;25.4;1
198310;20.9;1
198311;16.7;1
198312;11.8;1
198401;11.3;1
198402;10;1
198403;13.3;1
198404;20.3;1
198405;16.3;1
198406;22.9;1
198407;27.8;1
198408;25.4;1
198409;22.4;1
198410;19.9;1
198411;15.5;1
198412;10.5;1
198501;6.5;1
198502;15.3;1
198503;12.5;1
198504;18.3;1
198505;18.4;1
198506;22.8;1
198507;26.5;1
198508;25;1
198509;27.6;1
198510;21.8;1
198511;11.5;1
198512;11.3;1
198601;10.8;1
198602;10;1
198603;14.5;1
198604;12.7;1
198605;21.6;1
198606;23.3;1
198607;26.8;1
198608;25.8;1
198609;25;1
198610;20.7;1
198611;14.9;1
198612;12.6;1
198701;6.3;1
198702;10.7;1
198703;14.7;1
198704;19.5;1
198705;19.2;1
198706;22.7;1
198707;24.8;1
198708;26.9;1
198709;27.9;1
198710;19.6;1
198711;13.8;1
198712;12.8;1
198801;13.6;1
198802;12.8;1
198803;13.9;1
198804;17.8;1
198805;20.2;1
198806;23.1;1
198807;25.7;1
198808;25.7;1
198809;24.1;1
198810;21.7;1
198811;15.9;1
198812;9.2;1
198901;10.5;1
198902;14.5;1
198903;17.3;1
198904;14.3;1
198905;24.6;1
198906;25.4;1
198907;28.3;1
198908;28.2;1
198909;25.1;1
198910;22.3;1
198911;15.9;1
198912;15.3;1
199001;12;1
199002;17.1;1
199003;17.9;1
199004;15.7;1
199005;23.9;1
199006;22.9;1
199007;28.5;1
199008;29.7;1
199009;26.3;1
199010;20.4;1
199011;12.8;1
199012;7.6;1
199101;9.9;1
199102;11.3;1
199103;16.4;1
199104;15.9;1
199105;18.7;1
199106;22.1;1
199107;26;1
199108;29;1
199109;26.2;1
199110;17;1
199111;13.5;1
199112;9.8;1
199201;8.2;1
199202;13.1;1
199203;14.6;1
199204;16.7;1
199205;24;1
199206;21;1
199207;26.2;1
199208;26.9;1
199209;22.8;1
199210;15.6;1
199211;16.9;1
199212;11.4;1
199301;13.5;1
199302;12;1
199303;16.5;1
199304;17.3;1
199305;21.4;1
199306;24;1
199307;24.3;1
199308;26.3;1
199309;21.9;1
199310;17.2;1
199311;12.9;1
199312;13.7;1
199401;11.7;1
199402;13.3;1
199403;17.5;1
199404;15.2;1
199405;21.5;1
199406;23.9;1
199407;27.5;1
199408;27.2;1
199409;22;1
199410;20.2;1
199411;16.7;1
199412;12.8;1
199501;12.2;1
199502;14.9;1
199503;14.8;1
199504;18;1
199505;22.4;1
199506;24;1
199507;28.2;1
199508;26.9;1
199509;21.5;1
199510;24.1;1
199511;15.9;1
199512;11.9;1
199601;14.4;1
199602;10.5;1
199603;16.1;1
199604;18.2;1
199605;21.1;1
199606;25.5;1
199607;26;1
199608;24.4;1
199609;22.5;1
199610;19.9;1
199611;13.9;1
199612;10.4;1
199701;10.8;1
199702;16.5;1
199703;19.2;1
199704;20.5;1
199705;23;1
199706;23;1
199707;24.3;1
199708;27.6;1
199709;26.4;1
199710;22;1
199711;15.8;1
199712;12.4;1
199801;13.1;1
199802;15.5;1
199803;17.6;1
199804;16.5;1
199805;21.2;1
199806;23.7;1
199807;25.2;1
199808;27.5;1
199809;24.3;1
199810;18.7;1
199811;13.5;1
199812;11.6;1
199901;13.1;1
199902;10.2;1
199903;16;1
199904;18.1;1
199905;22.6;1
199906;23.6;1
199907;27;1
199908;26.8;1
199909;26;1
199910;20.4;1
