# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 40304001
# NOM_USUEL= SOORTS-HOSSEGOR
# LATITUDE (°) = 43.67
# LONGITUDE(°)= -1.426
# ALTITUDE (m) = 10
# NUM_SERIE= MTX240304001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 198812 199212 199912 201311 201909
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;13;1
195902;14.6;1
195903;16.7;1
195904;17.8;1
195905;19.6;1
195906;23;1
195907;25.4;1
195908;24.7;1
195909;23.8;1
195910;20.3;1
195911;14.9;1
195912;13.6;1
196001;11.7;1
196002;14;1
196003;17.2;1
196004;16.9;1
196005;21.1;1
196006;23.7;1
196007;22.9;1
196008;23.9;1
196009;21.9;1
196010;18.5;1
196011;16.6;1
196012;10.2;1
196101;11.2;1
196102;16.1;1
196103;17.9;1
196104;19.2;1
196105;20.9;1
196106;21.9;1
196107;24;1
196108;23.8;1
196109;25.8;1
196110;20.3;1
196111;13.7;1
196112;14.2;1
196201;12.2;1
196202;11.1;1
196203;13;1
196204;15.9;1
196205;19;1
196206;22.3;1
196207;24.5;1
196208;25.8;1
196209;25.5;1
196210;22.5;1
196211;13.2;1
196212;10;1
196301;9.9;1
196302;11.1;1
196303;16.5;1
196304;17.1;1
196305;18.1;1
196306;22.7;1
196307;24.6;1
196308;22.2;1
196309;21.7;1
196310;20.6;1
196311;18.4;1
196312;11.2;1
196401;10.7;1
196402;13.7;1
196403;14.6;1
196404;16.5;1
196405;21.7;1
196406;22.9;1
196407;24.6;1
196408;25.3;1
196409;26.1;1
196410;18.5;1
196411;15.1;1
196412;11.1;1
196501;11.5;1
196502;9.3;1
196503;15.7;1
196504;15.3;1
196505;19.5;1
196506;21.1;1
196507;22.9;1
196508;23.9;1
196509;21.2;1
196510;22.4;1
196511;16.2;1
196512;13.6;1
196601;13.1;1
196602;17;1
196603;14;1
196604;18.9;1
196605;19.7;1
196606;22.8;1
196607;22.9;1
196608;24.6;1
196609;25.6;1
196610;20.2;1
196611;13;1
196612;12.4;1
196701;11.3;1
196702;13.7;1
196703;15.6;1
196704;15.1;1
196705;20.5;1
196706;21.7;1
196707;24.4;1
196708;24.3;1
196709;23.4;1
196710;22.2;1
196711;15.1;1
196712;9.3;1
196801;12.3;1
196802;14;1
196803;14;1
196804;18.2;1
196805;18.2;1
196806;22.1;1
196807;25.2;1
196808;23.6;1
196809;23;1
196810;22.9;1
196811;16.4;1
196812;12.3;1
196901;12.9;1
