# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 42005001
# NOM_USUEL= ST ETIENNE-BOUTHEON
# LATITUDE (°) = 45.546
# LONGITUDE(°)= 4.294
# ALTITUDE (m) = 395
# NUM_SERIE= MTX242005001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195101 201512
# Date(s) de rupture(s) d'homogénéité : 197312
#     Periode homogénéisée  195101 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;7.7;1
195102;8.3;1
195103;10.3;1
195104;15.4;1
195105;16.7;1
195106;22.2;1
195107;24.7;1
195108;23.5;1
195109;21.9;1
195110;14.8;1
195111;12.2;1
195112;8.8;1
195201;4.8;1
195202;5.2;1
195203;13.9;1
195204;17.3;1
195205;20.7;1
195206;25.9;1
195207;29.1;1
195208;26.4;1
195209;17.8;1
195210;15.8;1
195211;9.1;1
195212;6.5;1
195301;1.4;1
195302;4.9;1
195303;14.2;1
195304;16.7;1
195305;21.9;1
195306;20.2;1
195307;24.2;1
195308;25.4;1
195309;23;1
195310;16.4;1
195311;10.8;1
195312;10.2;1
195401;3.3;1
195402;4.5;1
195403;13;1
195404;12.5;1
195405;17.7;1
195406;23.3;1
195407;23.3;1
195408;23.4;1
195409;21.3;1
195410;17.3;1
195411;12;1
195412;8.4;1
195501;9.2;1
195502;7.8;1
195503;9.8;1
195504;16.8;1
195505;19.6;1
195506;22.5;1
195507;24.5;1
195508;25.6;1
195509;20.7;1
195510;14.6;1
195511;9.9;1
195512;9.8;1
195601;7.3;1
195602;-2.5;1
195603;11.4;1
195604;13.1;1
195605;19.9;1
195606;19.3;1
195607;23.7;1
195608;22.3;1
195609;22.8;1
195610;14.7;1
195611;6.6;1
195612;7.8;1
195701;4.8;1
195702;11.5;1
195703;16.7;1
195704;14.8;1
195705;15.9;1
195706;22.5;1
195707;25;1
195708;24.5;1
195709;21.6;1
195710;18.1;1
195711;8.2;1
195712;5.5;1
195801;6.8;1
195802;10.9;1
195803;9.5;1
195804;11.5;1
195805;22.3;1
195806;21.9;1
195807;24.6;1
195808;25.6;1
195809;23.5;1
195810;14.6;1
195811;7.1;1
195812;7;1
195901;6.7;1
195902;10.4;1
195903;13.5;1
195904;15.9;1
195905;19.8;1
195906;23.3;1
195907;28.4;1
195908;25;1
195909;23.1;1
195910;17.3;1
195911;10.2;1
195912;9.6;1
196001;5.4;1
196002;10.2;1
196003;12.4;1
196004;14;1
196005;22;1
196006;24.3;1
196007;22.6;1
196008;23.7;1
196009;19.2;1
196010;15.4;1
196011;11.9;1
196012;4.2;1
196101;6.4;1
196102;12.8;1
196103;14.4;1
196104;18.5;1
196105;18.2;1
196106;23.5;1
196107;24.7;1
196108;25.1;1
196109;27;1
196110;17;1
196111;9.5;1
196112;8.2;1
196201;7.7;1
196202;5.4;1
196203;8.4;1
196204;14.4;1
196205;17.9;1
196206;22.3;1
196207;25.8;1
196208;28.6;1
196209;22.4;1
196210;15.6;1
196211;7.6;1
196212;4.1;1
196301;0.5;1
196302;3;1
196303;12.2;1
196304;14.6;1
196305;17.9;1
196306;22.3;1
196307;25.3;1
196308;22;1
196309;19.8;1
196310;16.4;1
196311;13.5;1
196312;3.6;1
196401;2.8;1
196402;8.7;1
196403;9.5;1
196404;15.7;1
196405;20.8;1
196406;24.6;1
196407;29.1;1
196408;24.9;1
196409;23.3;1
196410;13;1
196411;9.1;1
196412;5.7;1
196501;6.6;1
196502;3;1
196503;11.4;1
196504;12.7;1
196505;18.4;1
196506;23.5;1
196507;23.3;1
196508;23.8;1
196509;19.4;1
196510;18.6;1
196511;11.2;1
196512;9.5;1
196601;6;1
196602;12.7;1
196603;10.1;1
196604;16.6;1
196605;19.2;1
196606;23.4;1
196607;22.9;1
196608;23.3;1
196609;24.5;1
196610;18;1
196611;7.3;1
196612;7.2;1
196701;5.4;1
196702;9.7;1
196703;12.5;1
196704;14.5;1
196705;19.4;1
196706;21.5;1
196707;28.1;1
196708;25;1
196709;20.7;1
196710;20;1
196711;11.2;1
196712;3.4;1
196801;5.2;1
196802;8.2;1
196803;12;1
196804;16.6;1
196805;16.8;1
196806;22.4;1
196807;25.5;1
196808;22.3;1
196809;20;1
196810;19.3;1
196811;9.8;1
196812;5.5;1
196901;7.7;1
196902;5.8;1
196903;10.5;1
196904;14.2;1
196905;19.9;1
196906;19.5;1
196907;25.4;1
196908;23.9;1
196909;21.1;1
196910;17.8;1
196911;11.6;1
196912;1.6;1
197001;7.8;1
197002;7.7;1
197003;7.9;1
197004;12.3;1
197005;18.7;1
197006;23.8;1
197007;24.5;1
197008;25.6;1
197009;23.7;1
197010;15.4;1
197011;13.8;1
197012;3.6;1
197101;5.8;1
197102;6.4;1
197103;6.1;1
197104;17.4;1
197105;19.6;1
197106;20.9;1
197107;26.9;1
197108;26.1;1
197109;21.3;1
197110;18.8;1
197111;7.5;1
197112;7.1;1
197201;6.8;1
197202;9.9;1
197203;13.9;1
197204;12.5;1
197205;17.4;1
197206;20.9;1
197207;23.9;1
197208;23.7;1
197209;17.8;1
197210;15.7;1
197211;12.1;1
197212;7.2;1
197301;3.7;1
197302;5.1;1
197303;10;1
197304;11.8;1
197305;20.6;1
197306;23;1
197307;24.5;1
197308;26.9;1
197309;23.7;1
197310;14.6;1
197311;10.5;1
197312;5.5;1
197401;10.4;1
197402;7.3;1
197403;11.8;1
197404;14.1;1
197405;18;1
197406;21.9;1
197407;25.4;1
197408;26.5;1
197409;20.2;1
197410;10.1;1
197411;10.5;1
197412;9.2;1
197501;9.3;1
197502;9.7;1
197503;8.2;1
197504;14.7;1
197505;17.1;1
197506;20.5;1
197507;25.8;1
197508;25.6;1
197509;21.2;1
197510;14.3;1
197511;9.6;1
197512;3.6;1
197601;5.3;1
197602;8.5;1
197603;11.7;1
197604;14.1;1
197605;21.4;1
197606;27.8;1
197607;27;1
197608;24.6;1
197609;19.5;1
197610;15.7;1
197611;9.1;1
197612;6.3;1
197701;7;1
197702;10.7;1
197703;13.7;1
197704;13;1
197705;16.4;1
197706;20.3;1
197707;23.2;1
197708;21.9;1
197709;19.8;1
197710;18.3;1
197711;10.6;1
197712;8.6;1
197801;5.5;1
197802;8;1
197803;11.4;1
197804;11.5;1
197805;16.6;1
197806;21.8;1
197807;25.2;1
