# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 49027001
# NOM_USUEL= BEGROLLES
# LATITUDE (°) = 47.152
# LONGITUDE(°)= -0.938
# ALTITUDE (m) = 100
# NUM_SERIE= MTX249027001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195101 202112
# Date(s) de rupture(s) d'homogénéité : 195712 195912 198512
#     Periode homogénéisée  195101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;8.5;1
195102;8.8;1
195103;9.4;1
195104;14.3;1
195105;15.3;1
195106;20.9;1
195107;24.2;1
195108;21.3;1
195109;21.1;1
195110;15.6;1
195111;11.9;1
195112;9.7;1
195201;7.2;1
195202;7.1;1
195203;13.2;1
195204;17;1
195205;21.1;1
195206;24.8;1
195207;25.5;1
195208;23.7;1
195209;16.7;1
195210;15.1;1
195211;9.3;1
195212;7.2;1
195301;3.2;1
195302;6.7;1
195303;14.7;1
195304;15.1;1
195305;21.1;1
195306;21.5;1
195307;22;1
195308;25.3;1
195309;21.4;1
195310;16.2;1
195311;9.9;1
195312;11.8;1
195401;6.3;1
195402;6.4;1
195403;12.6;1
195404;14.8;1
195405;18.8;1
195406;20.1;1
195407;20.7;1
195408;21.3;1
195409;19.3;1
195410;18.1;1
195411;12.5;1
195412;9.7;1
195501;8.5;1
195502;7.7;1
195503;9.1;1
195504;16.9;1
195505;17.8;1
195506;22.2;1
195507;25.8;1
195508;27;1
195509;22.6;1
195510;15.5;1
195511;11.5;1
195512;10.6;1
195601;8.4;1
195602;1.2;1
195603;12.5;1
195604;13.7;1
195605;19.8;1
195606;18.5;1
195607;22.4;1
195608;20;1
195609;21.1;1
195610;15.7;1
195611;9.2;1
195612;9.1;1
195701;7.2;1
195702;11.1;1
195703;15.6;1
195704;16.1;1
195705;17.3;1
195706;24.4;1
195707;23.9;1
195708;22.8;1
195709;20.7;1
195710;17.4;1
195711;9.4;1
195712;6.8;1
195801;7.8;1
195802;10.9;1
195803;9.4;1
195804;13.9;1
195805;18.8;1
195806;19.8;1
195807;22.1;1
195808;22.1;1
195809;22.4;1
195810;15.1;1
195811;9.1;1
195812;9;1
195901;8;1
195902;10;1
195903;13.9;1
195904;14.9;1
195905;19.3;1
195906;22.8;1
195907;27.1;1
195908;25.6;1
195909;24.9;1
195910;18.6;1
195911;11.6;1
195912;9.5;1
196001;7.4;1
196002;9.2;1
196003;13.3;1
196004;15.5;1
196005;20.8;1
196006;24.5;1
196007;21;1
196008;22.4;1
196009;19.7;1
196010;15.6;1
196011;12.7;1
196012;6.6;1
196101;7.9;1
196102;11.9;1
196103;14.8;1
196104;16.8;1
196105;18.7;1
196106;22;1
196107;24.1;1
196108;24.3;1
196109;24.8;1
196110;16.6;1
196111;9.9;1
196112;7.4;1
196201;8.5;1
196202;8.1;1
196203;8.2;1
196204;13.9;1
196205;16;1
196206;23.2;1
196207;23.7;1
196208;24.3;1
196209;20.9;1
196210;17.2;1
196211;9.8;1
196212;5.5;1
196301;1;1
196302;4.5;1
196303;11.4;1
196304;13.7;1
196305;17.3;1
196306;19.8;1
196307;23.8;1
196308;19.6;1
196309;19.3;1
196310;16.2;1
196311;13.2;1
196312;4.5;1
196401;4.4;1
196402;8.8;1
196403;9.9;1
196404;13.2;1
196405;19.4;1
196406;21.6;1
196407;25.3;1
196408;25.1;1
196409;23;1
196410;14.2;1
196411;10;1
196412;6.6;1
196501;7.8;1
196502;5.3;1
196503;11.5;1
196504;13.7;1
196505;18;1
196506;20.8;1
196507;21.2;1
196508;20.9;1
196509;17.5;1
196510;17.3;1
196511;10.5;1
196512;10.3;1
196601;6.9;1
196602;12.4;1
196603;11.6;1
196604;14.9;1
196605;18;1
196606;22.1;1
196607;22;1
196608;22.4;1
196609;22.6;1
196610;16.4;1
196611;9;1
196612;9.7;1
196701;7.6;1
196702;9.4;1
196703;12;1
196704;13.9;1
196705;17.2;1
196706;21.4;1
196707;26.6;1
196708;23.6;1
196709;20.2;1
196710;17.7;1
196711;10;1
196712;6.8;1
196801;8.5;1
196802;8;1
196803;11.7;1
196804;15.6;1
196805;16.1;1
196806;20.6;1
196807;23.4;1
196808;22.5;1
196809;19.7;1
196810;17.8;1
196811;11;1
196812;6.4;1
196901;9.2;1
196902;7.4;1
196903;10.8;1
196904;14.5;1
196905;17.7;1
196906;20.4;1
196907;26.6;1
196908;25.4;1
196909;21.2;1
196910;20.5;1
196911;11.3;1
196912;5.9;1
197001;8.4;1
197002;8.6;1
197003;9.2;1
197004;12.3;1
197005;19;1
197006;24;1
197007;22.7;1
197008;23.8;1
197009;22.4;1
197010;15.5;1
197011;13.8;1
197012;5.6;1
197101;8.3;1
197102;8.5;1
197103;9;1
197104;16.6;1
197105;18.4;1
197106;18.9;1
197107;26.5;1
197108;22.7;1
197109;21.7;1
197110;18;1
197111;10.7;1
197112;7.2;1
197201;6.7;1
197202;9.4;1
197203;13.2;1
197204;12.8;1
197205;15.4;1
197206;18.3;1
197207;23.7;1
197208;22;1
197209;18.8;1
197210;15.9;1
197211;11.1;1
197212;8.8;1
197301;6;1
197302;6.9;1
197303;12;1
197304;13.1;1
197305;18.3;1
197306;23.4;1
197307;23.4;1
197308;25.7;1
197309;22.4;1
197310;14.6;1
197311;11.6;1
197312;7.2;1
197401;9.8;1
197402;9.5;1
197403;11.9;1
197404;14.8;1
197405;17.8;1
197406;22.5;1
197407;24.5;1
197408;25.2;1
197409;18.2;1
197410;11.8;1
197411;11.4;1
197412;10.5;1
197501;10;1
197502;11.5;1
197503;9.4;1
197504;13.9;1
197505;16;1
197506;22.5;1
197507;24.8;1
197508;26.2;1
197509;20.1;1
197510;14.9;1
197511;10.7;1
197512;4.7;1
197601;7.5;1
197602;9.1;1
197603;11.3;1
197604;15.3;1
197605;20.6;1
197606;28.5;1
197607;26;1
197608;26.5;1
197609;20;1
197610;15.4;1
197611;10;1
197612;6.3;1
197701;7;1
197702;10.4;1
197703;12.9;1
197704;13.1;1
197705;16.8;1
197706;19;1
197707;22.6;1
197708;22.4;1
197709;20.8;1
197710;17.6;1
197711;10.7;1
197712;9.6;1
197801;7;1
197802;9.1;1
197803;12;1
197804;12.1;1
197805;18.2;1
197806;20;1
197807;22.3;1
197808;22.2;1
197809;21.7;1
197810;17.9;1
197811;12.2;1
197812;9.2;1
197901;4.5;1
197902;8.1;1
197903;10;1
197904;13;1
197905;16.8;1
197906;21.2;1
197907;23;1
197908;21.4;1
197909;22;1
197910;16.1;1
197911;11;1
197912;9.8;1
198001;5.4;1
198002;10.4;1
198003;9.8;1
198004;14;1
198005;17.4;1
198006;19.1;1
198007;20.7;1
198008;23.4;1
198009;21.5;1
198010;15;1
198011;9;1
198012;7.7;1
198101;8.2;1
198102;7.2;1
198103;13.2;1
198104;14.4;1
198105;16.1;1
198106;20.1;1
198107;21.3;1
198108;25.1;1
198109;21.2;1
198110;14.9;1
198111;11.3;1
198112;8.5;1
198201;10;1
198202;9.6;1
198203;11.5;1
198204;15.8;1
198205;19.5;1
198206;22.9;1
198207;25.8;1
198208;22.3;1
198209;23.2;1
198210;15.3;1
198211;12.1;1
198212;8.2;1
198301;9.3;1
198302;6.5;1
198303;11.5;1
198304;12.7;1
198305;15.9;1
198306;23.1;1
198307;27;1
198308;23.8;1
198309;20.9;1
198310;16.3;1
198311;11.7;1
198312;8.2;1
198401;9;1
198402;7.7;1
198403;10.6;1
