# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 49328001
# NOM_USUEL= SAUMUR
# LATITUDE (°) = 47.252
# LONGITUDE(°)= -0.074
# ALTITUDE (m) = 69
# NUM_SERIE= MTX249328001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195101 202112
# Date(s) de rupture(s) d'homogénéité : 195812 196312 198605 200112 201212 201812
#     Periode homogénéisée  195101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;8.8;1
195102;9.4;1
195103;10.8;1
195104;15.8;1
195105;16.7;1
195106;21.4;1
195107;26;1
195108;23.4;1
195109;22.7;1
195110;16.5;1
195111;12.9;1
195112;9.7;1
195201;7.4;1
195202;8;1
195203;14.1;1
195204;18.1;1
195205;22.9;1
195206;26;1
195207;27.9;1
195208;26;1
195209;17.7;1
195210;16;1
195211;9.4;1
195212;7.2;1
195301;3.6;1
195302;7.8;1
195303;16.6;1
195304;17.4;1
195305;23.2;1
195306;23.1;1
195307;24.1;1
195308;26.5;1
195309;23.4;1
195310;17.3;1
195311;9.2;1
195312;12.5;1
195401;6.6;1
195402;6.7;1
195403;13.4;1
195404;16.5;1
195405;19.9;1
195406;22;1
195407;22.9;1
195408;22.3;1
195409;21.1;1
195410;18.7;1
195411;12.4;1
195412;10.2;1
195501;8.9;1
195502;9;1
195503;10.3;1
195504;18.8;1
195505;20.2;1
195506;24;1
195507;27.4;1
195508;28.7;1
195509;23.6;1
195510;16.6;1
195511;11.9;1
195512;11;1
195601;8.8;1
195602;1.5;1
195603;14.4;1
195604;15;1
195605;22;1
195606;19.9;1
195607;24.2;1
195608;22.7;1
195609;22.4;1
195610;17.1;1
195611;9.5;1
195612;9.2;1
195701;7.5;1
195702;12.2;1
195703;17;1
195704;17.7;1
195705;18.3;1
195706;25.4;1
195707;25.3;1
195708;24.5;1
195709;21.7;1
195710;18.3;1
195711;10.3;1
195712;7.3;1
195801;8.1;1
195802;11.2;1
195803;10.3;1
195804;14.7;1
195805;19.7;1
195806;20.5;1
195807;24.4;1
195808;24.4;1
195809;24.6;1
195810;16.8;1
195811;10.5;1
195812;9.6;1
195901;8.2;1
195902;11.4;1
195903;15.2;1
195904;16.7;1
195905;21.6;1
195906;24.5;1
195907;28.8;1
195908;27.2;1
195909;26.7;1
195910;20;1
195911;11.3;1
195912;10.5;1
196001;8.3;1
196002;10.3;1
196003;13.8;1
196004;16.9;1
196005;22.1;1
196006;25.9;1
196007;22.7;1
196008;23.7;1
196009;20.9;1
196010;16.3;1
196011;13.1;1
196012;7.1;1
196101;8.2;1
196102;13;1
196103;15.9;1
196104;18.2;1
196105;19.7;1
196106;23.9;1
196107;25.4;1
196108;26;1
196109;25.3;1
196110;17.4;1
196111;10.2;1
196112;8.5;1
196201;8.5;1
196202;9.2;1
196203;8.9;1
196204;15.2;1
196205;17.2;1
196206;23.7;1
196207;25.1;1
196208;26.5;1
196209;22.3;1
196210;18.2;1
196211;9.9;1
196212;6.1;1
196301;1.3;1
