# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 54526001
# NOM_USUEL= NANCY-ESSEY
# LATITUDE (°) = 48.688
# LONGITUDE(°)= 6.222
# ALTITUDE (m) = 212
# NUM_SERIE= MTX254526001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195901 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195901 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;3.8;1
195902;7;1
195903;13.1;1
195904;15.6;1
195905;19.7;1
195906;22.9;1
195907;26.9;1
195908;24;1
195909;24.2;1
195910;16.9;1
195911;7.8;1
195912;6.5;1
196001;4.6;1
196002;7.3;1
196003;11.6;1
196004;14.8;1
196005;20.1;1
196006;22.5;1
196007;20.5;1
196008;21.5;1
196009;18.1;1
196010;14.6;1
196011;10.5;1
196012;4.1;1
196101;4.2;1
196102;11.2;1
196103;13.5;1
196104;16.9;1
196105;17;1
196106;21.4;1
196107;22.2;1
196108;23;1
196109;24.6;1
196110;16.2;1
196111;7.7;1
196112;5.5;1
196201;5.6;1
196202;5.5;1
196203;6.3;1
196204;14.4;1
196205;15.9;1
196206;21.6;1
196207;22.2;1
196208;24.4;1
196209;19.7;1
196210;15.5;1
196211;6.3;1
196212;2.1;1
196301;-1.7;1
196302;0.6;1
196303;10.1;1
196304;15.4;1
196305;17.3;1
196306;20.8;1
196307;24.4;1
196308;20.7;1
196309;19.8;1
196310;13.9;1
196311;12.3;1
196312;0.4;1
196401;0.6;1
196402;7.8;1
196403;6.8;1
196404;15.1;1
196405;20.6;1
196406;23.8;1
196407;26.5;1
196408;23;1
196409;20.8;1
196410;11.6;1
196411;8.2;1
196412;3.5;1
196501;4.7;1
196502;2.8;1
196503;9.1;1
196504;12.3;1
196505;17.4;1
196506;21.3;1
196507;20.5;1
196508;21.5;1
196509;17.8;1
196510;15.2;1
196511;7.2;1
196512;7.3;1
196601;2.1;1
196602;10.5;1
196603;9.3;1
196604;15.5;1
196605;18.8;1
196606;22.6;1
196607;21.1;1
196608;21.3;1
196609;20.8;1
196610;16.4;1
196611;6.1;1
196612;5.9;1
196701;4.5;1
196702;8.2;1
196703;11.5;1
196704;13.4;1
196705;18.4;1
196706;21;1
196707;26;1
196708;22.7;1
196709;19.1;1
196710;16.6;1
196711;7.6;1
196712;3;1
196801;4;1
196802;6.6;1
196803;10.7;1
196804;15.5;1
196805;16.3;1
196806;20.7;1
196807;22.4;1
196808;21;1
196809;18.4;1
196810;15.7;1
196811;6.4;1
196812;2.2;1
196901;5.8;1
196902;2.9;1
196903;9;1
196904;12.9;1
196905;19.1;1
196906;19.4;1
196907;24.8;1
196908;23;1
196909;20.4;1
196910;15.7;1
196911;9.6;1
196912;0.2;1
197001;3.6;1
197002;5.2;1
197003;6.8;1
197004;11;1
197005;17.4;1
197006;23.1;1
197007;22;1
197008;23.3;1
197009;20.7;1
197010;13.4;1
197011;11.1;1
197012;3.2;1
197101;3.5;1
197102;5.5;1
197103;6.7;1
197104;17.1;1
197105;20.6;1
197106;19.9;1
197107;26.1;1
197108;23.7;1
197109;19.9;1
197110;16.6;1
197111;6.8;1
197112;5.9;1
197201;2.8;1
197202;8.4;1
197203;12.8;1
197204;12.7;1
197205;16.4;1
197206;19.8;1
197207;22.9;1
197208;21.2;1
197209;17.4;1
197210;14.3;1
197211;8.4;1
197212;3.8;1
197301;2.6;1
197302;4.6;1
197303;10.3;1
197304;11.5;1
197305;19.4;1
197306;22.7;1
197307;23;1
197308;25.5;1
197309;22.1;1
197310;13.6;1
197311;8.6;1
197312;3.9;1
197401;8.1;1
197402;7.8;1
197403;11.3;1
197404;15.1;1
197405;17.8;1
197406;20.9;1
197407;22.4;1
197408;24;1
197409;18.8;1
197410;8.9;1
197411;9.1;1
197412;8.5;1
197501;8.1;1
197502;8.2;1
197503;7.7;1
197504;13.3;1
197505;17.5;1
197506;21.1;1
197507;24.5;1
197508;25.7;1
197509;21.1;1
197510;12.3;1
197511;8.1;1
197512;3.3;1
197601;5.1;1
197602;6.1;1
197603;9.5;1
197604;14.5;1
197605;20.6;1
197606;26.2;1
197607;27.3;1
197608;25.2;1
197609;19.2;1
197610;15.2;1
197611;8.3;1
197612;3.1;1
197701;5;1
197702;8.9;1
197703;12.6;1
197704;12.1;1
