# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 55179001
# NOM_USUEL= ERNEVILLE AUX BOIS_SAPC
# LATITUDE (°) = 48.75
# LONGITUDE(°)= 5.404
# ALTITUDE (m) = 313
# NUM_SERIE= MTX255179001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195901 201512
# Date(s) de rupture(s) d'homogénéité : 196711 198412 199201 200212
#     Periode homogénéisée  195901 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;2.9;1
195902;8.3;1
195903;11.9;1
195904;14.4;1
195905;18.9;1
195906;21.8;1
195907;25.8;1
195908;23.4;1
195909;23.4;1
195910;16.2;1
195911;7.1;1
195912;6.3;1
196001;3.8;1
196002;6.4;1
196003;10.9;1
196004;14;1
196005;18.7;1
196006;21.3;1
196007;19.2;1
196008;20.3;1
196009;17.2;1
196010;13.7;1
196011;9.7;1
196012;3.3;1
196101;3.5;1
196102;10.6;1
196103;12.4;1
196104;15.8;1
196105;16.5;1
196106;20.7;1
196107;21.1;1
196108;22.1;1
196109;23.6;1
196110;15.3;1
196111;7.5;1
196112;5;1
196201;5;1
196202;4.6;1
196203;5;1
196204;13.2;1
196205;14.3;1
196206;20.4;1
196207;21;1
196208;23.3;1
196209;18.5;1
196210;14.8;1
196211;5.3;1
196212;2.1;1
196301;-2.3;1
196302;0.1;1
196303;9.3;1
196304;14.2;1
196305;16.2;1
196306;19.8;1
196307;23.1;1
196308;19.9;1
196309;18.8;1
196310;13.4;1
196311;11.9;1
196312;0.3;1
196401;0.9;1
196402;7;1
196403;6.7;1
196404;13.6;1
196405;18.9;1
196406;22.3;1
196407;25.4;1
196408;22.1;1
196409;19.7;1
196410;10.6;1
196411;7.2;1
196412;3;1
196501;3.8;1
196502;1.6;1
196503;8.4;1
196504;11.4;1
196505;16.1;1
196506;20.2;1
196507;18.9;1
196508;20.2;1
196509;16.5;1
196510;15.2;1
196511;6.3;1
196512;6.4;1
196601;1.6;1
196602;10;1
196603;8.1;1
196604;14.5;1
196605;17.5;1
196606;21;1
196607;19.7;1
196608;20.3;1
196609;19.2;1
196610;15.2;1
196611;5.6;1
196612;5.4;1
196701;3.9;1
196702;7.3;1
196703;10.1;1
196704;12.6;1
196705;17.1;1
196706;19.5;1
196707;25.6;1
196708;22.4;1
196709;18.5;1
196710;15.8;1
196711;7.4;1
196712;2.5;1
196801;2.9;1
196802;5.6;1
196803;9.9;1
196804;14.6;1
196805;15.4;1
196806;20.3;1
196807;21.6;1
196808;20.4;1
196809;17.5;1
196810;15.3;1
196811;7;1
196812;1;1
196901;5.5;1
196902;2;1
196903;8.2;1
196904;12.1;1
196905;17.5;1
196906;18.6;1
196907;23.6;1
196908;22.1;1
196909;19.6;1
196910;16.3;1
196911;8.6;1
196912;-0.5;1
197001;3.8;1
197002;4.3;1
197003;5.2;1
197004;9.3;1
197005;16.8;1
197006;21.9;1
