# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 58062001
# NOM_USUEL= CHATEAU CHINON
# LATITUDE (°) = 47.07
# LONGITUDE(°)= 3.934
# ALTITUDE (m) = 598
# NUM_SERIE= MTX258062001
# Amplitude minimale détectable de la série = 0.2
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 198412 200408
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;4.9;1
195102;4.9;1
195103;7.7;1
195104;12.4;1
195105;14.8;1
195106;18.7;1
195107;22.1;1
195108;20.2;1
195109;19.2;1
195110;12.5;1
195111;9.8;1
195112;7.4;1
195201;2.3;1
195202;3.1;1
195203;10.6;1
195204;15.7;1
195205;19;1
195206;22.4;1
195207;26;1
195208;23.8;1
195209;14.6;1
195210;12.1;1
195211;5.9;1
195212;3.5;1
195301;0.8;1
195302;2.8;1
195303;13.1;1
195304;14;1
195305;19.1;1
195306;17.9;1
195307;20.7;1
195308;23;1
195309;20.2;1
195310;14.9;1
195311;10.8;1
195312;9;1
195401;1.3;1
195402;2.4;1
195403;10.4;1
195404;11.6;1
195405;16.2;1
195406;19.8;1
195407;19.3;1
195408;19.7;1
195409;17.8;1
195410;14.9;1
195411;9.8;1
195412;6;1
195501;6.9;1
195502;4.1;1
195503;7.5;1
195504;15;1
195505;16.3;1
195506;20.1;1
195507;22.2;1
195508;23.6;1
195509;19;1
195510;13.5;1
195511;9.3;1
195512;7.7;1
195601;4.9;1
195602;-3.9;1
195603;9.9;1
195604;11.6;1
195605;18.2;1
195606;16.4;1
195607;20.4;1
195608;18.3;1
195609;20.3;1
195610;12.2;1
195611;5.8;1
195612;5.4;1
195701;4.3;1
195702;8.5;1
195703;13.2;1
195704;13.8;1
195705;14.7;1
195706;20.9;1
195707;21.2;1
195708;20;1
195709;17.2;1
195710;15.2;1
195711;6.9;1
195712;4.8;1
195801;4.4;1
195802;7.5;1
195803;6.8;1
195804;9.9;1
195805;18.4;1
195806;18.9;1
195807;20.8;1
195808;21.6;1
195809;21;1
195810;13.2;1
195811;5.9;1
195812;6;1
195901;4.2;1
195902;9.8;1
195903;11.8;1
195904;13.3;1
195905;18.8;1
195906;21.4;1
195907;25.6;1
195908;23;1
195909;23;1
195910;15.3;1
195911;7.9;1
195912;6.4;1
196001;3.6;1
196002;7.1;1
196003;11.1;1
196004;12.7;1
196005;19.5;1
196006;21;1
196007;19;1
196008;20.1;1
196009;17.1;1
196010;12.8;1
196011;9;1
196012;2;1
196101;3.8;1
196102;10.4;1
196103;12.6;1
196104;15.5;1
196105;15.7;1
196106;20.4;1
196107;21;1
196108;21.1;1
196109;23.3;1
196110;14.4;1
196111;7.1;1
196112;6.3;1
196201;4.8;1
196202;4.3;1
196203;5.6;1
196204;12.2;1
196205;14.3;1
196206;20.1;1
196207;21.4;1
196208;23.9;1
196209;19.3;1
196210;16.2;1
196211;5.9;1
196212;2.4;1
196301;-0.7;1
196302;1.1;1
196303;9.1;1
196304;12.7;1
196305;15.5;1
196306;18.8;1
196307;22.8;1
196308;18.8;1
196309;17.8;1
196310;14.1;1
196311;10.6;1
196312;4.6;1
196401;2.7;1
196402;7.1;1
196403;6.9;1
196404;12.9;1
196405;18.4;1
196406;21.1;1
196407;25.6;1
196408;22.2;1
196409;21.2;1
196410;10.5;1
196411;7.2;1
196412;4.3;1
196501;3.9;1
196502;2;1
196503;9;1
196504;10.6;1
196505;15.1;1
196506;19.7;1
196507;19.1;1
196508;19.9;1
196509;15.8;1
196510;16.6;1
196511;7.2;1
196512;6;1
196601;3.2;1
196602;9.7;1
196603;7.9;1
196604;13.7;1
196605;17;1
196606;20.6;1
196607;19;1
196608;19.5;1
196609;20.3;1
196610;14.9;1
196611;4.8;1
196612;4.6;1
196701;3.5;1
196702;7.4;1
196703;9.8;1
196704;12.3;1
196705;16.3;1
196706;19.7;1
196707;25.3;1
196708;21.4;1
196709;17.7;1
196710;15.6;1
196711;9.2;1
196712;1.9;1
196801;3.6;1
196802;6;1
196803;9.6;1
196804;14.4;1
196805;15;1
196806;19.2;1
196807;21.6;1
196808;20;1
196809;17.7;1
196810;16.7;1
196811;8.5;1
196812;3.6;1
196901;6.1;1
196902;2.7;1
196903;8.8;1
196904;12.1;1
196905;17.6;1
196906;18;1
196907;23.1;1
196908;21.3;1
196909;19.7;1
196910;17;1
196911;7.6;1
