# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 62298001
# NOM_USUEL= CAMBRAI-EPINOY
# LATITUDE (°) = 50.226
# LONGITUDE(°)= 3.164
# ALTITUDE (m) = 76
# NUM_SERIE= MTX262298001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195401 202212
# Date(s) de rupture(s) d'homogénéité : 196012 201206 201607
#     Periode homogénéisée  195401 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;3.3;1
195402;3.5;1
195403;10.6;1
195404;12.5;1
195405;17.6;1
195406;19.1;1
195407;19.6;1
195408;20.7;1
195409;18.1;1
195410;15.6;1
195411;10.2;1
195412;8.2;1
195501;4.7;1
195502;4;1
195503;6.6;1
195504;14.4;1
195505;15.8;1
195506;20.1;1
195507;22.9;1
195508;22.9;1
195509;19.8;1
195510;13.8;1
195511;9.3;1
195512;7.6;1
195601;5.7;1
195602;-2.1;1
195603;10.2;1
195604;11.3;1
195605;18.5;1
195606;17.1;1
195607;21.4;1
195608;19.5;1
195609;20.2;1
195610;13.5;1
195611;7.5;1
195612;7.6;1
195701;5.7;1
195702;8.9;1
195703;13.1;1
195704;13.4;1
195705;15.5;1
195706;22.5;1
195707;22.7;1
195708;20.6;1
195709;17.7;1
195710;14.5;1
195711;8.1;1
195712;5.2;1
195801;5.7;1
195802;7.8;1
195803;7.4;1
195804;11.5;1
195805;17.3;1
195806;19.6;1
195807;21.7;1
195808;21.6;1
195809;20.6;1
195810;14;1
195811;7.4;1
195812;6.9;1
195901;4.5;1
195902;5.2;1
195903;12;1
195904;14.4;1
195905;18.8;1
195906;22;1
195907;25.6;1
195908;23.8;1
195909;23.3;1
195910;17.3;1
195911;8;1
195912;7.4;1
196001;5.3;1
196002;6.7;1
196003;10.1;1
196004;13.3;1
196005;18.8;1
196006;21;1
196007;19.9;1
196008;20.7;1
196009;18.3;1
196010;13.9;1
196011;10.3;1
196012;4.9;1
196101;4.6;1
196102;10.3;1
196103;12.2;1
196104;15.3;1
196105;16;1
196106;20.3;1
196107;20.9;1
196108;21.5;1
196109;22.7;1
196110;15.2;1
196111;7.5;1
196112;5.6;1
196201;6.2;1
196202;5.9;1
196203;6.2;1
196204;12.4;1
196205;14.1;1
196206;19.6;1
196207;20.3;1
196208;21;1
196209;18.3;1
196210;14.9;1
196211;6.8;1
196212;3.3;1
196301;-2.1;1
196302;0.6;1
196303;9.6;1
196304;13.4;1
196305;15;1
196306;19.5;1
196307;21.6;1
196308;19.4;1
196309;18.1;1
196310;13.7;1
196311;11.5;1
196312;1.9;1
196401;3;1
196402;7.4;1
196403;6.6;1
196404;13.2;1
196405;19.8;1
196406;20.6;1
196407;23.2;1
196408;22.3;1
196409;20.7;1
196410;12.2;1
196411;9.1;1
196412;4.6;1
196501;4.7;1
196502;3.4;1
196503;9.2;1
196504;12.2;1
196505;16.3;1
196506;19.7;1
196507;18.8;1
196508;20.9;1
196509;17.5;1
196510;15;1
196511;7;1
196512;7.3;1
196601;3.1;1
196602;9.3;1
196603;9;1
196604;13.3;1
196605;17;1
196606;21;1
196607;19.4;1
196608;20.9;1
196609;19.4;1
196610;14.6;1
196611;6.8;1
196612;7.3;1
196701;5.1;1
196702;8.3;1
196703;10.2;1
196704;12.2;1
196705;16.8;1
196706;19.6;1
196707;24.1;1
196708;22;1
196709;18.8;1
196710;15.3;1
196711;7.1;1
196712;5.1;1
196801;5;1
196802;3.8;1
196803;10;1
196804;14.8;1
196805;15.1;1
196806;19.9;1
196807;20.9;1
196808;21;1
196809;18.7;1
196810;15.5;1
196811;7.4;1
196812;2.4;1
196901;6.6;1
196902;3.6;1
196903;8.6;1
196904;13;1
196905;17.6;1
196906;19.7;1
196907;23;1
196908;21.7;1
196909;19.9;1
196910;17.7;1
196911;9.5;1
196912;1.8;1
197001;5.3;1
197002;5.9;1
197003;6.2;1
197004;10.2;1
197005;18;1
197006;23.2;1
197007;20.8;1
197008;23.1;1
197009;20.9;1
197010;14.7;1
197011;10.7;1
197012;4.5;1
197101;5.3;1
197102;6.4;1
197103;6.7;1
197104;13.9;1
197105;19.7;1
197106;18.2;1
197107;24.3;1
197108;22;1
197109;20.5;1
197110;16.1;1
197111;8.1;1
197112;6.7;1
197201;4.1;1
197202;7.2;1
197203;12.3;1
197204;11.6;1
197205;15.9;1
197206;17.8;1
197207;22;1
197208;20.8;1
197209;17;1
197210;14.7;1
197211;8.5;1
197212;6.4;1
197301;4.7;1
197302;5.3;1
197303;10.5;1
197304;11.1;1
197305;17.1;1
197306;21.7;1
197307;21.7;1
197308;25.5;1
197309;21.1;1
197310;13.7;1
197311;8.6;1
197312;5.5;1
197401;8.4;1
197402;7.5;1
197403;9.4;1
197404;14.8;1
197405;16.5;1
197406;20.3;1
197407;20.3;1
197408;22.3;1
197409;17.1;1
197410;9.9;1
197411;9.5;1
197412;9.5;1
197501;8.8;1
197502;8.1;1
197503;7.4;1
197504;12.2;1
197505;15.5;1
197506;20;1
197507;23.4;1
197508;25.3;1
197509;19.6;1
197510;12.3;1
197511;8.1;1
197512;4.3;1
197601;6.3;1
197602;6.4;1
197603;8.3;1
197604;13.2;1
197605;19.4;1
197606;25.6;1
197607;26.4;1
197608;25.6;1
197609;18.8;1
197610;15;1
197611;8.6;1
197612;3.8;1
197701;4.9;1
197702;8.3;1
197703;10.8;1
197704;11.3;1
197705;16.3;1
197706;17.7;1
197707;21;1
197708;21.2;1
197709;18.9;1
197710;16.2;1
197711;9.1;1
197712;7.8;1
197801;4.7;1
197802;4.7;1
197803;10.3;1
197804;11.5;1
197805;16.2;1
197806;18.9;1
197807;20.6;1
197808;21;1
197809;19;1
197810;15.5;1
197811;8.6;1
197812;5.1;1
197901;-0.4;1
197902;3.1;1
197903;8.8;1
197904;12.5;1
197905;16.7;1
197906;19.3;1
197907;21.8;1
197908;21;1
197909;20.1;1
197910;15.6;1
197911;9;1
197912;7.8;1
198001;2.6;1
198002;8.4;1
198003;8.3;1
198004;12.2;1
198005;16.6;1
198006;19.2;1
198007;19.6;1
198008;22;1
198009;20.7;1
198010;13.3;1
198011;7;1
198012;5.4;1
198101;5.8;1
198102;4.7;1
198103;11.8;1
198104;13;1
198105;16.7;1
198106;18.4;1
198107;21;1
198108;22.3;1
198109;20;1
198110;12.6;1
198111;9.5;1
198112;3.9;1
198201;3.8;1
198202;6.7;1
198203;9.9;1
198204;12.8;1
198205;18;1
198206;21.9;1
198207;23.8;1
198208;22.5;1
198209;22.1;1
198210;13.6;1
198211;9.9;1
198212;5.9;1
198301;8.2;1
198302;4.3;1
198303;9.3;1
198304;12.9;1
198305;14.7;1
198306;21.4;1
198307;27.2;1
198308;24.6;1
198309;19.4;1
198310;15;1
198311;9.6;1
198312;6.4;1
198401;6.2;1
198402;5.3;1
198403;8.2;1
198404;13.9;1
198405;13.9;1
198406;18.9;1
198407;22.7;1
198408;23.2;1
198409;17.3;1
198410;14.6;1
198411;12;1
198412;6.6;1
198501;-0.1;1
198502;4.3;1
198503;7.6;1
198504;13.1;1
198505;17;1
198506;18.5;1
198507;22.9;1
198508;21.1;1
198509;20.3;1
198510;14.9;1
