# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 64024001
# NOM_USUEL= BIARRITZ-PAYS-BASQUE
# LATITUDE (°) = 43.469
# LONGITUDE(°)= -1.534
# ALTITUDE (m) = 71
# NUM_SERIE= MTX264024001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195601 201812
# Date(s) de rupture(s) d'homogénéité : 196711 197912
#     Periode homogénéisée  195601 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;11.8;1
195602;3.8;1
195603;14.5;1
195604;14.5;1
195605;17.9;1
195606;18.5;1
195607;21.9;1
195608;21.2;1
195609;22.7;1
195610;18.1;1
195611;11.6;1
195612;11.7;1
195701;10.3;1
195702;15.5;1
195703;18.3;1
195704;14.5;1
195705;16.3;1
195706;22.1;1
195707;23.2;1
195708;22.4;1
195709;21.3;1
195710;18.5;1
195711;12.4;1
195712;10.7;1
195801;11.6;1
195802;15;1
195803;13.1;1
195804;13.8;1
195805;20.3;1
195806;21.4;1
195807;22;1
195808;23.6;1
195809;24.6;1
195810;18.1;1
195811;12.5;1
195812;12.8;1
195901;12.9;1
195902;12.8;1
195903;15.8;1
195904;16.6;1
195905;18.3;1
195906;21.9;1
195907;24.1;1
195908;23.7;1
195909;22.5;1
195910;19.6;1
195911;13.8;1
195912;13.2;1
196001;11.4;1
196002;14.3;1
196003;16.1;1
196004;15.5;1
196005;20.2;1
196006;22.6;1
196007;21.4;1
196008;23;1
196009;20.7;1
196010;17.6;1
196011;16;1
196012;9.6;1
196101;11.1;1
196102;16.1;1
196103;15.8;1
196104;17.9;1
196105;19.7;1
196106;21.1;1
196107;22.4;1
196108;22.7;1
196109;24.9;1
196110;19.6;1
196111;14;1
196112;14.3;1
196201;12.1;1
196202;10.3;1
196203;12.6;1
196204;14.6;1
196205;17.9;1
196206;20.7;1
196207;22.8;1
196208;24.5;1
196209;23.9;1
196210;20.1;1
196211;11.7;1
196212;9.4;1
196301;8.7;1
196302;9.4;1
196303;15.5;1
196304;15.7;1
196305;16.4;1
196306;21.8;1
196307;23.1;1
196308;20.9;1
196309;20.3;1
196310;19.2;1
196311;16.9;1
196312;10.3;1
196401;10.4;1
196402;12.7;1
196403;13.5;1
196404;15;1
196405;20.3;1
196406;21.6;1
196407;23.1;1
196408;23.9;1
196409;25.3;1
196410;16.7;1
196411;13.4;1
196412;10.5;1
196501;11.1;1
196502;8;1
196503;14.7;1
196504;13.5;1
196505;17.9;1
196506;19.5;1
196507;21.2;1
196508;22;1
196509;19.7;1
196510;20.9;1
196511;14.7;1
196512;13.2;1
196601;12.8;1
196602;16.4;1
196603;12.2;1
196604;17.3;1
196605;18.1;1
196606;21.2;1
196607;21.1;1
196608;23.1;1
196609;23.8;1
196610;18.5;1
196611;11.9;1
196612;11.7;1
196701;11.2;1
196702;12.8;1
196703;14.4;1
196704;13.3;1
196705;19.3;1
196706;20.3;1
196707;22.9;1
196708;23;1
196709;21.8;1
196710;20.9;1
196711;14.4;1
196712;8.2;1
196801;11.3;1
196802;12.6;1
196803;12;1
196804;16.7;1
196805;16.7;1
196806;20.5;1
196807;23.7;1
196808;22.1;1
196809;21.8;1
196810;21.9;1
196811;16.4;1
196812;11.7;1
196901;12.4;1
196902;10.3;1
196903;13.3;1
196904;13.9;1
196905;19.9;1
196906;18.8;1
196907;23.9;1
196908;22.7;1
196909;20.3;1
196910;20.7;1
196911;14.2;1
196912;9.9;1
197001;13.2;1
197002;11.1;1
197003;10.3;1
197004;12.9;1
197005;18.6;1
197006;22.2;1
197007;23.1;1
197008;23.7;1
197009;23.9;1
197010;18.3;1
197011;17.8;1
197012;8.5;1
197101;13;1
197102;10.8;1
197103;9.5;1
197104;16.8;1
197105;17.7;1
197106;18.9;1
197107;25.2;1
197108;23.9;1
197109;22.2;1
197110;21.5;1
197111;11.3;1
197112;10.7;1
197201;10.8;1
197202;12.4;1
197203;14.3;1
197204;13.3;1
197205;16.1;1
197206;18.5;1
197207;22.3;1
197208;21.3;1
197209;19.1;1
197210;18.3;1
197211;14.5;1
197212;13.2;1
197301;10.2;1
197302;9.9;1
197303;12.9;1
197304;14.2;1
197305;21;1
197306;20.5;1
197307;21.7;1
197308;24.8;1
197309;23.2;1
197310;18.3;1
