# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 68066001
# NOM_USUEL= COLMAR-INRA
# LATITUDE (°) = 48.063
# LONGITUDE(°)= 7.33
# ALTITUDE (m) = 202
# NUM_SERIE= MTX268066001
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196012 196212 197012 197312 200003
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;6.5;1
195102;8.2;1
195103;9.3;1
195104;15.6;1
195105;18.9;1
195106;22.2;1
195107;25.2;1
195108;23.9;1
195109;21.2;1
195110;14.2;1
195111;11;1
195112;4.8;1
195201;5;1
195202;4.4;1
195203;11.2;1
195204;17.5;1
195205;20.8;1
195206;25.1;1
195207;28.5;1
195208;26.6;1
195209;17.6;1
195210;14.3;1
195211;7.4;1
195212;4.6;1
195301;1.9;1
195302;5.2;1
195303;13.2;1
195304;17.4;1
195305;22;1
195306;21.1;1
195307;24.4;1
195308;25.2;1
195309;21.7;1
195310;16.2;1
195311;8.8;1
195312;5.8;1
195401;1.4;1
195402;3;1
195403;12.4;1
195404;12.6;1
195405;19.1;1
195406;23.1;1
195407;22.6;1
195408;22.5;1
195409;20.8;1
195410;16.4;1
195411;9.8;1
195412;7.1;1
195501;2.9;1
195502;5.1;1
195503;8.5;1
195504;15.7;1
195505;18.8;1
195506;22.5;1
195507;24.6;1
195508;24.4;1
195509;20.8;1
195510;14;1
195511;7.8;1
195512;7.7;1
195601;6.4;1
195602;-3.1;1
195603;10.5;1
195604;13.9;1
195605;20.7;1
195606;20.5;1
195607;24.1;1
195608;22;1
195609;21.7;1
195610;13.7;1
195611;6.8;1
195612;5.9;1
195701;3.8;1
195702;10.3;1
195703;14.9;1
195704;15.2;1
195705;17;1
195706;23.4;1
195707;25;1
195708;22.8;1
195709;20.1;1
195710;15.5;1
195711;8.3;1
195712;3.8;1
195801;4.5;1
195802;8.7;1
195803;7.7;1
195804;12.4;1
195805;21.4;1
195806;22.2;1
195807;25.1;1
195808;25.2;1
195809;22.4;1
195810;14.8;1
195811;8.1;1
195812;7.4;1
195901;4.7;1
195902;4.9;1
195903;13.9;1
195904;16.9;1
195905;20.7;1
195906;23.3;1
195907;28.3;1
195908;24.7;1
195909;23.9;1
195910;15.7;1
195911;7.3;1
195912;7;1
196001;4.6;1
196002;7.4;1
196003;11.6;1
196004;15.3;1
196005;20.7;1
196006;24.1;1
196007;22.7;1
196008;23.9;1
196009;19;1
196010;14.7;1
196011;11.8;1
196012;5;1
196101;4.5;1
196102;10.8;1
196103;13.7;1
196104;17.7;1
196105;17.5;1
196106;23;1
196107;23.5;1
196108;24.2;1
196109;25.7;1
196110;16.4;1
196111;7.9;1
196112;4.8;1
196201;6;1
196202;5.6;1
196203;6.9;1
196204;15;1
196205;17.5;1
196206;22.6;1
196207;24;1
196208;26.5;1
196209;20.7;1
196210;15.4;1
196211;6.6;1
196212;1.3;1
196301;-1.8;1
196302;0.2;1
196303;10.4;1
196304;16.1;1
196305;18.8;1
196306;23.2;1
196307;26.4;1
196308;23.2;1
196309;21.5;1
196310;14.8;1
196311;12.5;1
196312;0.6;1
196401;0.3;1
196402;7.4;1
196403;6.8;1
196404;16.5;1
196405;21.8;1
196406;25.3;1
196407;28.3;1
196408;24.6;1
196409;22;1
196410;13.3;1
196411;9.6;1
196412;4.5;1
196501;5.4;1
196502;2.7;1
196503;10;1
196504;14;1
196505;18.3;1
196506;23.1;1
196507;23.3;1
196508;23.2;1
196509;18.8;1
196510;14;1
196511;7.7;1
196512;8.1;1
196601;1.5;1
196602;10.8;1
196603;9.8;1
196604;16.9;1
196605;20.7;1
196606;23.9;1
196607;23.2;1
196608;22.6;1
196609;21.5;1
196610;17.5;1
196611;6.4;1
196612;6.8;1
196701;4.6;1
196702;8.7;1
196703;11.9;1
196704;14.5;1
196705;19.7;1
196706;21.9;1
196707;27.4;1
196708;24.3;1
196709;20.4;1
196710;18.9;1
196711;8.1;1
196712;3.7;1
196801;4.3;1
196802;7;1
196803;11.5;1
196804;16.5;1
196805;17.6;1
196806;22.8;1
196807;23.8;1
196808;22.6;1
196809;19.7;1
196810;16;1
196811;7.5;1
196812;2.9;1
196901;4.8;1
196902;3.8;1
196903;8.4;1
196904;13.6;1
196905;20.2;1
196906;20.3;1
196907;26;1
196908;23.8;1
196909;21.3;1
196910;15;1
196911;10.3;1
196912;0.2;1
197001;2.4;1
197002;5.8;1
197003;7.8;1
197004;12.4;1
197005;18.1;1
197006;23.8;1
197007;24.2;1
197008;24.3;1
197009;21.5;1
197010;14.5;1
197011;11.3;1
197012;3;1
197101;2.7;1
197102;6.5;1
197103;8;1
197104;18.6;1
197105;22.5;1
197106;22.3;1
197107;27.7;1
197108;26.3;1
197109;21.4;1
197110;17.4;1
197111;8.4;1
197112;6;1
197201;2.9;1
197202;7.3;1
197203;13.4;1
197204;13.8;1
197205;17.3;1
197206;20.6;1
197207;24.9;1
197208;23.1;1
197209;18.5;1
197210;14.6;1
197211;9.4;1
197212;3.3;1
197301;2.3;1
197302;5.1;1
197303;10.3;1
197304;12.1;1
197305;20.5;1
197306;23.3;1
197307;24;1
197308;26;1
197309;23.9;1
197310;14.3;1
197311;9.5;1
197312;4.7;1
197401;8.4;1
197402;8.6;1
197403;12.3;1
197404;16;1
197405;18.6;1
197406;22;1
197407;24.9;1
197408;25.9;1
197409;20.8;1
197410;10;1
197411;10.1;1
197412;9.5;1
197501;8.7;1
197502;7.7;1
197503;8.6;1
197504;14.3;1
197505;18.7;1
197506;21.5;1
197507;26;1
197508;25.8;1
197509;22.2;1
197510;13;1
197511;8.4;1
197512;2.9;1
197601;5.5;1
197602;5.7;1
197603;10.3;1
197604;15.5;1
197605;21.9;1
197606;26.9;1
197607;27.5;1
197608;24;1
197609;19.8;1
197610;16.1;1
197611;8.7;1
197612;3.3;1
197701;5.1;1
197702;10.4;1
197703;14.2;1
197704;13.1;1
197705;18.5;1
197706;22;1
197707;24.5;1
197708;23.2;1
197709;20;1
197710;16.4;1
197711;10.5;1
197712;5.6;1
197801;4.9;1
197802;3.9;1
197803;11.8;1
197804;14.1;1
197805;17.8;1
197806;22;1
197807;23.8;1
197808;22.8;1
197809;21.6;1
197810;15.4;1
197811;8;1
197812;6;1
197901;0.6;1
197902;5.4;1
197903;10.8;1
197904;12.9;1
197905;19.3;1
197906;23.1;1
197907;25.1;1
197908;22.8;1
197909;21.3;1
197910;15.7;1
197911;9;1
197912;9;1
198001;2.9;1
198002;8.6;1
198003;10.3;1
198004;13.1;1
198005;17.8;1
198006;20.5;1
198007;21.9;1
198008;24.6;1
198009;22.4;1
198010;14.5;1
198011;7.8;1
198012;4.4;1
198101;3;1
198102;4.6;1
198103;14;1
198104;15.9;1
198105;19.6;1
198106;22;1
198107;23.5;1
198108;24.7;1
198109;21.1;1
198110;14.6;1
