# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 68224006
# NOM_USUEL= MULHOUSE
# LATITUDE (°) = 47.75
# LONGITUDE(°)= 7.289
# ALTITUDE (m) = 245
# NUM_SERIE= MTX268224006
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195501 202212
# Date(s) de rupture(s) d'homogénéité : 197112 199811
#     Periode homogénéisée  195501 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;3.9;1
195502;4.5;1
195503;8.6;1
195504;15.5;1
195505;18.7;1
195506;22.4;1
195507;24.6;1
195508;25.3;1
195509;20.3;1
195510;13.5;1
195511;8.4;1
195512;7.2;1
195601;5.6;1
195602;-4;1
195603;9.6;1
195604;12.8;1
195605;20.3;1
195606;19.2;1
195607;23.2;1
195608;20.8;1
195609;21.2;1
195610;13.4;1
195611;6.2;1
195612;5.6;1
195701;4.1;1
195702;9.8;1
195703;14.4;1
195704;14.8;1
195705;16.8;1
195706;23;1
195707;24.2;1
195708;22.2;1
195709;19.5;1
195710;16.3;1
195711;8;1
195712;3.5;1
195801;3.8;1
195802;8.7;1
195803;6.7;1
195804;11.3;1
195805;21;1
195806;21.7;1
195807;24.7;1
195808;24.9;1
195809;22.5;1
195810;14;1
195811;6.9;1
195812;6.4;1
195901;3.9;1
195902;6;1
195903;13.5;1
195904;15.9;1
195905;20.4;1
195906;22.7;1
195907;27.8;1
195908;24.8;1
195909;24.3;1
195910;16;1
195911;7.1;1
195912;6.4;1
196001;4.3;1
196002;7;1
196003;11.4;1
196004;14.7;1
196005;21.1;1
196006;23.7;1
196007;21.8;1
196008;22.9;1
196009;17.9;1
196010;14.2;1
196011;10.9;1
196012;4.1;1
196101;4;1
196102;10.7;1
196103;13.6;1
196104;17.5;1
196105;17.3;1
196106;22.5;1
196107;23.6;1
196108;23.5;1
196109;25.4;1
196110;16.7;1
196111;7.4;1
196112;4.9;1
196201;5.4;1
196202;4.6;1
196203;6.2;1
196204;14.6;1
196205;16.9;1
196206;22.5;1
196207;23.8;1
196208;26.5;1
196209;20.9;1
196210;16.1;1
196211;6.3;1
196212;1.3;1
196301;-2.9;1
196302;-0.1;1
196303;9.7;1
196304;15.7;1
196305;18;1
196306;21.7;1
196307;25.9;1
196308;22.2;1
196309;20.8;1
196310;14.6;1
196311;12.9;1
196312;0.7;1
196401;0;1
196402;7.1;1
196403;6;1
196404;15.9;1
196405;21;1
196406;24.1;1
196407;28;1
196408;24.5;1
196409;21.4;1
196410;12.5;1
196411;8.5;1
196412;3.4;1
196501;4.5;1
196502;2.3;1
196503;9.3;1
196504;12.7;1
196505;17.9;1
196506;22.3;1
196507;21.8;1
196508;23.2;1
196509;18.1;1
196510;14;1
196511;7.7;1
196512;7.5;1
196601;1.6;1
196602;11.1;1
196603;9.2;1
196604;16.1;1
196605;19.9;1
196606;23.4;1
196607;22.2;1
196608;21.8;1
196609;21.2;1
196610;17;1
196611;5.8;1
196612;6.2;1
196701;4.6;1
196702;8.3;1
196703;11.6;1
196704;13.8;1
196705;19.2;1
196706;21.7;1
196707;27.1;1
196708;24.6;1
196709;20;1
196710;18.9;1
196711;7.9;1
196712;2.6;1
196801;3.3;1
196802;6.9;1
196803;11.3;1
196804;15.9;1
196805;17.3;1
196806;22.1;1
196807;24.2;1
196808;21.8;1
196809;19.5;1
196810;16.3;1
196811;6.9;1
196812;2.5;1
196901;4.7;1
196902;2.9;1
196903;8.3;1
196904;13;1
196905;20.1;1
196906;19.9;1
196907;25.8;1
196908;23.3;1
196909;21.2;1
196910;16.3;1
196911;10.2;1
196912;-0.6;1
197001;2.7;1
197002;4.8;1
197003;6.7;1
197004;11.5;1
197005;17.7;1
197006;23.9;1
197007;23.3;1
197008;24.2;1
197009;21.2;1
197010;13.6;1
197011;10.9;1
197012;2.9;1
197101;3;1
197102;5.5;1
197103;6.3;1
197104;17.7;1
197105;20.7;1
197106;20.1;1
197107;26.7;1
197108;25;1
197109;20.8;1
197110;17;1
197111;7.3;1
197112;5.8;1
197201;2.6;1
197202;7.6;1
197203;12.5;1
197204;13.2;1
197205;17.5;1
197206;20.9;1
197207;24.3;1
197208;23.3;1
197209;18.4;1
197210;14.3;1
197211;10.3;1
197212;3.1;1
197301;1.8;1
197302;5;1
197303;9.9;1
197304;11.7;1
197305;20.5;1
197306;23.6;1
197307;23.5;1
197308;26.2;1
197309;22.4;1
197310;14;1
197311;8.9;1
197312;4;1
197401;7.8;1
197402;8.1;1
197403;11.8;1
197404;15.4;1
197405;18.4;1
197406;21.6;1
197407;23.8;1
197408;25.6;1
197409;19.9;1
197410;9.3;1
197411;9.7;1
197412;8.5;1
197501;8.1;1
197502;7.8;1
197503;8;1
197504;14.1;1
197505;18.4;1
197506;20.9;1
197507;25.4;1
197508;25.5;1
197509;21.6;1
197510;13.2;1
197511;8.4;1
197512;3.3;1
197601;5.1;1
197602;6.4;1
197603;10;1
197604;15;1
197605;21.2;1
197606;27.6;1
197607;27.7;1
197608;24;1
197609;19.3;1
197610;15.7;1
197611;8.7;1
197612;2.9;1
197701;4.7;1
197702;9.4;1
197703;13.5;1
197704;12.1;1
197705;18.4;1
197706;21.5;1
197707;23.9;1
197708;22.8;1
197709;19.2;1
197710;16.3;1
197711;9.5;1
197712;5.6;1
197801;4.6;1
197802;3.5;1
197803;10.8;1
197804;13.1;1
197805;16.9;1
197806;21.6;1
197807;23.4;1
197808;22.4;1
197809;20.3;1
197810;14.8;1
197811;8.2;1
197812;5.8;1
197901;0.2;1
197902;5.3;1
197903;9.8;1
197904;12.5;1
197905;18.6;1
197906;22.8;1
197907;24.4;1
197908;22.3;1
197909;20.7;1
197910;15.9;1
197911;8.8;1
197912;8.2;1
198001;2.9;1
198002;8.3;1
198003;9.7;1
198004;12.3;1
198005;17.2;1
198006;20.1;1
198007;21.2;1
198008;24.5;1
198009;22.2;1
198010;14.2;1
198011;7.2;1
198012;3.9;1
198101;2.7;1
198102;4;1
198103;13;1
198104;15.2;1
198105;18.7;1
198106;21.8;1
198107;23;1
198108;24.7;1
198109;20.3;1
198110;13.9;1
198111;9.5;1
198112;4.6;1
198201;3;1
198202;5.7;1
198203;9.8;1
198204;13.8;1
198205;20.2;1
198206;23.8;1
198207;26.1;1
198208;23.5;1
198209;23.7;1
198210;14.7;1
198211;11;1
198212;6.5;1
198301;7.8;1
198302;3.6;1
198303;10.9;1
198304;15;1
198305;15.9;1
198306;23.9;1
198307;30;1
198308;26.3;1
198309;21;1
198310;15.2;1
198311;7.8;1
198312;4.9;1
198401;5.3;1
198402;4.2;1
198403;9;1
198404;14.2;1
198405;15.1;1
198406;22.3;1
198407;25.7;1
198408;25;1
198409;18.2;1
198410;15.6;1
198411;10.3;1
198412;5.1;1
198501;-1.2;1
198502;4.4;1
198503;8.6;1
198504;14.7;1
198505;18.1;1
198506;21.1;1
198507;26;1
198508;25.3;1
198509;23;1
198510;16;1
198511;5.3;1
198512;7.9;1
198601;5.1;1
198602;-2.4;1
198603;8.8;1
198604;10.5;1
198605;20.7;1
198606;23.3;1
198607;25.5;1
198608;24.5;1
198609;20.2;1
198610;16.9;1
198611;10.8;1
198612;6.5;1
198701;-1.8;1
198702;4.7;1
198703;7.1;1
198704;16.8;1
198705;15.7;1
198706;20;1
198707;24.1;1
198708;24.1;1
198709;23.3;1
198710;15;1
198711;9.5;1
198712;5.8;1
198801;8.3;1
198802;7;1
198803;8.4;1
198804;15.6;1
198805;20.4;1
198806;22.2;1
198807;24.5;1
198808;25.6;1
198809;20.6;1
198810;15.3;1
198811;7.9;1
198812;6.7;1
198901;5.4;1
198902;7.3;1
198903;14.8;1
198904;12;1
198905;22.2;1
198906;22.7;1
198907;25.3;1
198908;25.3;1
198909;21.5;1
198910;17.8;1
198911;7.4;1
198912;5.6;1
199001;6;1
199002;12.9;1
199003;14;1
199004;12.7;1
199005;22.5;1
199006;21.7;1
199007;25;1
199008;27.2;1
199009;20.2;1
199010;17.6;1
199011;8.1;1
199012;3.3;1
199101;4.7;1
199102;4.1;1
199103;12.7;1
199104;14.9;1
