# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 80379002
# NOM_USUEL= AMIENS-GLISY
# LATITUDE (°) = 49.872
# LONGITUDE(°)= 2.383
# ALTITUDE (m) = 60
# NUM_SERIE= MTX280379002
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 199212 200502
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;1.6;1
195302;6;1
195303;12.4;1
195304;14.4;1
195305;19.9;1
195306;19.6;1
195307;21.9;1
195308;22.7;1
195309;20.9;1
195310;15.5;1
195311;9.2;1
195312;8.9;1
195401;3.2;1
195402;4.2;1
195403;11;1
195404;12.8;1
195405;17.3;1
195406;18.9;1
195407;19.4;1
195408;20.7;1
195409;18.3;1
195410;16.5;1
195411;10.1;1
195412;8.6;1
195501;4.4;1
195502;4.7;1
195503;7.6;1
195504;15.2;1
195505;16.4;1
195506;20.1;1
195507;23;1
195508;23.1;1
195509;19.5;1
195510;13.7;1
195511;9.4;1
195512;8.3;1
195601;6.5;1
195602;-1.3;1
195603;11;1
195604;12;1
195605;19.2;1
195606;17.2;1
195607;21.3;1
195608;19.9;1
195609;20.1;1
195610;14.2;1
195611;7.6;1
195612;7.7;1
195701;6.3;1
195702;9.6;1
195703;14.4;1
195704;13.9;1
195705;15.9;1
195706;23.4;1
195707;23.2;1
195708;21.4;1
195709;18.2;1
195710;15.6;1
195711;8.6;1
195712;5.5;1
195801;6.1;1
195802;8.1;1
195803;7.9;1
195804;11.5;1
195805;16.9;1
195806;19.2;1
195807;21.8;1
195808;21.3;1
195809;20.8;1
195810;14;1
195811;7.6;1
195812;7.2;1
195901;4.2;1
195902;5.7;1
195903;11.9;1
195904;14.2;1
195905;18.8;1
195906;22.6;1
195907;25.6;1
195908;23.8;1
195909;23.5;1
195910;17.6;1
195911;8.9;1
195912;7.4;1
196001;5.9;1
196002;7.4;1
196003;10.8;1
196004;13.8;1
196005;19.4;1
196006;21.7;1
196007;20.6;1
196008;20.9;1
196009;18.4;1
196010;14.1;1
196011;10.7;1
196012;5.1;1
196101;5.1;1
196102;10.9;1
196103;13.3;1
196104;16.5;1
196105;16.7;1
196106;21.6;1
196107;21.5;1
196108;22.5;1
196109;23.5;1
196110;15.9;1
196111;8.1;1
196112;5.5;1
196201;6.8;1
196202;6.2;1
196203;6.8;1
196204;12.6;1
196205;15;1
196206;20.5;1
196207;21.2;1
196208;21.3;1
196209;18.7;1
196210;15.9;1
196211;6.5;1
196212;2.9;1
196301;-1.5;1
196302;2;1
196303;10.3;1
196304;13.4;1
196305;15.5;1
196306;19.4;1
196307;22;1
196308;19.7;1
196309;18.3;1
196310;14.1;1
196311;12;1
196312;2.2;1
196401;3;1
196402;7.4;1
196403;6.9;1
196404;13.3;1
196405;20.5;1
196406;21.3;1
196407;23.5;1
196408;22.4;1
196409;20.9;1
196410;12.7;1
196411;9.2;1
196412;4.3;1
196501;5.2;1
196502;3.7;1
196503;10.1;1
196504;12.7;1
196505;16.4;1
196506;20;1
196507;18.7;1
196508;20.9;1
196509;17.4;1
196510;15.6;1
196511;7.4;1
196512;8.2;1
196601;3.1;1
196602;9.7;1
196603;9.6;1
196604;13.9;1
196605;16.5;1
196606;21.1;1
196607;19.4;1
196608;20.8;1
196609;20;1
196610;14.7;1
196611;7.2;1
196612;7.8;1
196701;6;1
196702;8.3;1
196703;10.9;1
196704;12.4;1
196705;16.6;1
196706;19.3;1
196707;24;1
196708;21.3;1
196709;18.6;1
196710;15.8;1
196711;8;1
196712;5.3;1
196801;5.4;1
196802;4.9;1
196803;10.4;1
196804;14.8;1
196805;14.8;1
196806;19.2;1
196807;20.5;1
196808;20.6;1
196809;18.3;1
196810;15.7;1
196811;7.5;1
196812;2.6;1
196901;7.4;1
196902;4.2;1
196903;9.1;1
196904;13.2;1
196905;17.7;1
196906;19.6;1
196907;23.1;1
196908;21.6;1
196909;19.9;1
196910;17.8;1
196911;9.9;1
196912;2.4;1
197001;5.9;1
197002;6.9;1
197003;6.8;1
197004;10.7;1
197005;17.6;1
197006;22.8;1
197007;20.6;1
197008;22.1;1
197009;20.6;1
197010;15;1
197011;11.4;1
197012;4.9;1
197101;6.1;1
197102;7;1
197103;7.4;1
197104;14.5;1
197105;19.2;1
197106;18.1;1
197107;24.1;1
197108;21.5;1
197109;20.5;1
197110;16.7;1
197111;8.9;1
197112;7;1
197201;4.7;1
197202;7.4;1
197203;12.6;1
197204;12.1;1
197205;15.9;1
197206;17.8;1
197207;21.8;1
197208;20.8;1
197209;17.3;1
197210;15;1
197211;9.1;1
197212;6.8;1
197301;5.2;1
197302;5.8;1
197303;10.9;1
197304;11.5;1
197305;16.9;1
197306;21.8;1
197307;21.5;1
197308;25.6;1
197309;21.1;1
197310;14;1
197311;9.5;1
197312;6.8;1
197401;8.9;1
197402;8;1
197403;10;1
197404;14.6;1
197405;16.5;1
197406;20.5;1
197407;20.3;1
197408;22.8;1
197409;17.4;1
197410;10.3;1
197411;10.4;1
197412;10.2;1
197501;9.6;1
197502;8.9;1
197503;7.5;1
197504;12.6;1
197505;15.2;1
197506;20.1;1
197507;23;1
197508;25.1;1
197509;19.7;1
197510;12.2;1
197511;8.8;1
197512;5;1
197601;7;1
197602;6.7;1
197603;8.9;1
197604;13.6;1
197605;19.7;1
197606;26.2;1
197607;27.1;1
197608;25.9;1
197609;19.1;1
197610;15.4;1
197611;9.2;1
197612;4.5;1
197701;5.5;1
197702;9;1
197703;11.7;1
197704;11.9;1
197705;16.4;1
197706;18;1
197707;21.1;1
197708;21;1
197709;18.7;1
197710;16.2;1
197711;9.8;1
197712;8.4;1
197801;5.3;1
197802;4.9;1
197803;10.6;1
197804;11.3;1
197805;16.4;1
197806;18.6;1
197807;20.1;1
197808;20.7;1
197809;19.4;1
197810;16.1;1
197811;9.4;1
197812;6.3;1
197901;0.9;1
197902;4.1;1
197903;9;1
197904;12.2;1
197905;16.5;1
197906;19.1;1
197907;21.9;1
197908;20.5;1
197909;20;1
