# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 85216001
# NOM_USUEL= SAINTE GEMME LA PLAINE_SAPC
# LATITUDE (°) = 46.44
# LONGITUDE(°)= -1.121
# ALTITUDE (m) = 3
# NUM_SERIE= MTX285216001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195901 202112
# Date(s) de rupture(s) d'homogénéité : 196012 196412 197812
#     Periode homogénéisée  195901 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;9;1
195902;12.5;1
195903;14.6;1
195904;15.6;1
195905;20.2;1
195906;24;1
195907;27.1;1
195908;26.1;1
195909;25.6;1
195910;19.2;1
195911;11.9;1
195912;10.3;1
196001;7.7;1
196002;9.5;1
196003;13.8;1
196004;16.2;1
196005;21.1;1
196006;25.5;1
196007;22;1
196008;23.6;1
196009;21.1;1
196010;16.7;1
196011;13.6;1
196012;8.2;1
196101;8.3;1
196102;12.1;1
196103;15.5;1
196104;17.6;1
196105;19.5;1
196106;23.8;1
196107;24.8;1
196108;25.6;1
196109;25.3;1
196110;18.1;1
196111;11.6;1
196112;9.5;1
196201;9;1
196202;9.1;1
196203;9.3;1
196204;15.3;1
196205;17.2;1
196206;23.6;1
196207;24.5;1
196208;24.9;1
196209;22;1
196210;18.1;1
196211;10.6;1
196212;6.3;1
196301;3;1
196302;6.4;1
196303;12;1
196304;13.9;1
196305;16.3;1
196306;20.1;1
196307;24.6;1
196308;20;1
196309;20.7;1
196310;17.5;1
196311;15;1
196312;5;1
196401;6.5;1
196402;10;1
196403;11;1
196404;15.1;1
196405;20.4;1
196406;22.7;1
196407;26.7;1
196408;25.2;1
196409;24.4;1
196410;15;1
196411;11.7;1
196412;7.4;1
196501;8;1
196502;6.7;1
196503;12;1
196504;13.9;1
196505;18.2;1
196506;20.7;1
196507;22.7;1
196508;21.9;1
196509;18.7;1
196510;18.5;1
196511;11.9;1
196512;10.9;1
196601;7.9;1
196602;12.8;1
196603;12.2;1
196604;15.1;1
196605;18.8;1
196606;22.4;1
196607;23.5;1
196608;23.1;1
196609;23.9;1
196610;17.5;1
196611;10.2;1
196612;11;1
196701;8.9;1
196702;10.5;1
196703;13;1
196704;15.2;1
196705;17.2;1
196706;22.1;1
196707;26.3;1
196708;24.1;1
196709;20.7;1
196710;19;1
196711;11.4;1
196712;6.8;1
196801;8.8;1
196802;9.1;1
196803;11.6;1
196804;15.3;1
196805;16.7;1
196806;22.1;1
196807;24.3;1
196808;22.8;1
196809;19.4;1
196810;19.2;1
196811;12.1;1
196812;8.3;1
196901;9.5;1
196902;7.8;1
196903;12.1;1
196904;15.2;1
196905;17.8;1
196906;20.8;1
196907;27;1
196908;25.1;1
196909;20.5;1
196910;20.6;1
196911;12;1
196912;6.7;1
197001;9.3;1
197002;9.8;1
197003;10.5;1
197004;12.5;1
197005;19.8;1
197006;24.5;1
197007;24.1;1
197008;24.6;1
197009;23.3;1
197010;17.2;1
197011;14.3;1
197012;6.5;1
197101;8.8;1
197102;10.3;1
197103;9.4;1
197104;17.5;1
197105;19.3;1
197106;19.9;1
197107;27;1
197108;23.2;1
197109;22.8;1
197110;19.2;1
197111;10.8;1
197112;8.6;1
197201;8.2;1
197202;10.7;1
197203;14;1
197204;13.9;1
197205;16.7;1
197206;19.7;1
197207;24.6;1
197208;22.6;1
197209;19.8;1
197210;16.9;1
197211;12.2;1
197212;10.3;1
197301;6.9;1
197302;8.8;1
197303;13;1
197304;14.5;1
197305;18.8;1
197306;24;1
197307;24;1
197308;26.9;1
197309;24.1;1
197310;16.2;1
197311;12.4;1
197312;9;1
197401;10.3;1
197402;10.3;1
197403;12.8;1
197404;16;1
197405;18.6;1
197406;22.9;1
197407;24.6;1
197408;25.1;1
197409;19.2;1
197410;13.2;1
197411;12.6;1
197412;11.7;1
197501;10.8;1
197502;12;1
197503;10.2;1
197504;14.8;1
197505;17.4;1
197506;23.5;1
197507;25.2;1
197508;25.8;1
197509;20.4;1
197510;16.7;1
197511;12;1
197512;5.8;1
197601;9;1
197602;10.6;1
197603;13.3;1
197604;15.4;1
197605;20.5;1
197606;28.3;1
197607;27.1;1
197608;27.8;1
197609;20.8;1
197610;17.1;1
197611;10.8;1
197612;7.6;1
197701;8.3;1
197702;11.5;1
197703;13.9;1
197704;14.3;1
197705;17.5;1
197706;19.8;1
197707;22.9;1
197708;22.4;1
197709;21.1;1
197710;18.9;1
197711;11.7;1
197712;10.6;1
197801;8.2;1
197802;10.1;1
197803;12.9;1
197804;13.3;1
197805;18.4;1
197806;20.7;1
197807;22.9;1
197808;23.4;1
197809;22.9;1
197810;19.1;1
197811;13.4;1
197812;10.4;1
197901;7.3;1
197902;10.1;1
197903;11.7;1
197904;14.2;1
197905;17.5;1
197906;21.8;1
197907;25.3;1
197908;22.4;1
197909;23;1
197910;18.4;1
197911;12.2;1
197912;10.8;1
198001;6.7;1
198002;11.5;1
198003;11.1;1
198004;15.3;1
198005;17.9;1
198006;20.2;1
198007;21.8;1
198008;24.5;1
198009;22.7;1
198010;16.5;1
198011;10.8;1
198012;8.5;1
198101;9.7;1
198102;8.3;1
198103;14;1
198104;15.4;1
198105;17.4;1
198106;21.6;1
198107;23;1
198108;25.5;1
198109;22;1
198110;17.1;1
198111;12.4;1
198112;10.1;1
198201;10.9;1
198202;9.7;1
198203;12.5;1
198204;16;1
198205;19.7;1
198206;23.5;1
198207;27.3;1
198208;23.3;1
198209;24.4;1
198210;16.9;1
198211;14;1
198212;10;1
198301;10.8;1
198302;8.1;1
198303;12.1;1
198304;13.9;1
198305;16.7;1
198306;24.2;1
198307;28.1;1
198308;24.8;1
198309;22.7;1
198310;18.7;1
198311;13.8;1
198312;9.8;1
198401;10.4;1
198402;8.6;1
198403;11.6;1
198404;18.4;1
198405;15.8;1
198406;23;1
198407;25.7;1
198408;25.1;1
198409;20.7;1
198410;17.2;1
198411;14;1
198412;9;1
198501;4.2;1
198502;10.2;1
198503;11.1;1
198504;15.9;1
198505;17.5;1
198506;21.4;1
198507;25.8;1
198508;23.3;1
198509;25.2;1
198510;19.5;1
198511;9.8;1
198512;9.2;1
198601;9.3;1
198602;4.7;1
198603;11.7;1
198604;11.4;1
198605;18;1
