# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 3060001
# NOM_USUEL= VICHY-CHARMEIL
# LATITUDE (°) = 46.167
# LONGITUDE(°)= 3.399
# ALTITUDE (m) = 249
# NUM_SERIE= MTX303060001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 195312 196112 198312 198712
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;8.6;1
195102;9;1
195103;10.6;1
195104;15.1;1
195105;16.6;1
195106;21.6;1
195107;24.9;1
195108;23.3;1
195109;22.3;1
195110;15.7;1
195111;13.3;1
195112;10.1;1
195201;5.5;1
195202;5.9;1
195203;14.3;1
195204;18;1
195205;21.6;1
195206;25.8;1
195207;29.1;1
195208;26.6;1
195209;18;1
195210;16;1
195211;9.3;1
195212;6.8;1
195301;1.8;1
195302;6;1
195303;15.3;1
195304;16.9;1
195305;22.2;1
195306;20.8;1
195307;24.3;1
195308;26.3;1
195309;23.2;1
195310;16.8;1
195311;11.9;1
195312;11.9;1
195401;4.3;1
195402;5.5;1
195403;13.7;1
195404;13.9;1
195405;18.7;1
195406;22.9;1
195407;23.7;1
195408;23.1;1
195409;21.5;1
195410;18.2;1
195411;12.9;1
195412;9.1;1
195501;9.1;1
195502;8.1;1
195503;9.8;1
195504;17.8;1
195505;19.9;1
195506;22.9;1
195507;25.3;1
195508;25.9;1
195509;21.8;1
195510;16.1;1
195511;11.5;1
195512;10.2;1
195601;7.7;1
195602;-1.6;1
195603;12.7;1
195604;14.1;1
195605;20.7;1
195606;19.7;1
195607;23.3;1
195608;21.9;1
195609;23.2;1
195610;15.5;1
195611;7.7;1
195612;8.8;1
195701;6.8;1
195702;11.9;1
195703;16.8;1
195704;15.5;1
195705;17;1
195706;23.5;1
195707;25.2;1
195708;24.2;1
195709;21.6;1
195710;18.8;1
195711;9.2;1
195712;6.5;1
195801;7.5;1
