# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 14137001
# NOM_USUEL= CAEN-CARPIQUET
# LATITUDE (°) = 49.18
# LONGITUDE(°)= -0.456
# ALTITUDE (m) = 67
# NUM_SERIE= MTX314137001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196802 197012 197612 200402 201712
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;7.9;1
195102;7.7;1
195103;8.4;1
195104;11.9;1
195105;13.9;1
195106;18.5;1
195107;21.7;1
195108;19.6;1
195109;19.4;1
195110;14.4;1
195111;12;1
195112;8.9;1
195201;6.6;1
195202;6.5;1
195203;11.4;1
195204;14.4;1
195205;17.8;1
195206;20.1;1
195207;21.6;1
195208;21.7;1
195209;16.1;1
195210;14.1;1
195211;7.7;1
195212;6.3;1
195301;4.8;1
195302;6.5;1
195303;11.6;1
195304;12.5;1
195305;17.2;1
195306;18.4;1
195307;20.3;1
195308;22.9;1
195309;19.5;1
195310;15.5;1
195311;10.8;1
195312;11;1
195401;5.4;1
195402;5.7;1
195403;10.8;1
195404;11.1;1
195405;15.4;1
195406;17.5;1
195407;18.7;1
195408;20.1;1
195409;18.2;1
195410;17;1
195411;11.7;1
195412;9.7;1
195501;6.9;1
195502;6.2;1
195503;7.2;1
195504;13.8;1
195505;15;1
195506;19.3;1
195507;21.4;1
195508;23.5;1
195509;19.7;1
195510;14.2;1
195511;10.8;1
195512;9.5;1
195601;8;1
195602;0.8;1
195603;11.3;1
195604;11.3;1
195605;17.5;1
195606;16.5;1
195607;20.6;1
195608;19.2;1
195609;19.9;1
195610;14.4;1
195611;9.2;1
195612;8.9;1
195701;7.7;1
195702;10;1
195703;14.3;1
195704;12.4;1
195705;14.1;1
195706;21.1;1
195707;21.1;1
195708;20.4;1
195709;17.9;1
195710;15.3;1
195711;8.9;1
195712;6.7;1
195801;7.1;1
195802;9.7;1
195803;7.4;1
195804;10.7;1
195805;16.3;1
195806;17.8;1
195807;20.3;1
195808;20.9;1
195809;20.1;1
195810;14.7;1
195811;8.9;1
195812;8.4;1
195901;6.4;1
195902;9;1
195903;12.3;1
195904;13.3;1
195905;16;1
195906;20;1
195907;23.9;1
195908;22.9;1
195909;22.7;1
195910;17.9;1
195911;10.4;1
195912;9.1;1
196001;6.8;1
196002;8.1;1
196003;11;1
196004;12.4;1
196005;17.6;1
196006;19.8;1
196007;19.5;1
196008;20.3;1
196009;18;1
196010;14.5;1
196011;11.6;1
196012;6.7;1
196101;6.6;1
196102;11.1;1
196103;12.8;1
196104;15;1
196105;15.7;1
196106;19.8;1
196107;21.1;1
196108;22.3;1
196109;22.4;1
196110;15.4;1
196111;9.4;1
196112;6.9;1
196201;7.7;1
196202;6.8;1
196203;6.3;1
196204;10.4;1
196205;13.7;1
196206;18.5;1
196207;20.2;1
196208;20.5;1
196209;18.4;1
196210;15.6;1
196211;8.8;1
196212;5;1
196301;0.5;1
196302;2.2;1
196303;10;1
196304;12;1
196305;14.2;1
196306;18.2;1
196307;20.5;1
196308;19;1
196309;17.4;1
196310;14.9;1
196311;12;1
196312;4.4;1
196401;4.4;1
196402;7.3;1
196403;7.7;1
196404;12.4;1
196405;17.8;1
196406;18.8;1
196407;20.9;1
196408;21.9;1
196409;21.4;1
196410;13.1;1
196411;10.1;1
196412;7;1
196501;6.4;1
196502;4.4;1
196503;10.4;1
196504;12.3;1
196505;16;1
196506;18.6;1
196507;18.6;1
196508;20.1;1
196509;16.9;1
196510;16.9;1
196511;9;1
196512;9.1;1
196601;5.3;1
196602;10.7;1
196603;9.8;1
196604;13.5;1
196605;15;1
196606;19.8;1
196607;19;1
196608;20.6;1
196609;20;1
196610;15;1
196611;8.8;1
196612;9.5;1
196701;7.5;1
196702;9.1;1
196703;10.8;1
196704;11.1;1
196705;15.9;1
196706;18.3;1
196707;22.1;1
196708;20.8;1
196709;17.9;1
196710;16;1
196711;9.5;1
196712;7.4;1
196801;7.9;1
196802;6.1;1
196803;10.4;1
196804;13.2;1
196805;13.9;1
196806;18.9;1
196807;19.9;1
196808;19.5;1
196809;19;1
196810;16.7;1
196811;9;1
196812;5.3;1
196901;8.6;1
196902;5.4;1
196903;9.1;1
196904;12.4;1
196905;16.3;1
196906;18.2;1
196907;21.6;1
196908;21.3;1
196909;19.4;1
196910;18.7;1
196911;10.2;1
196912;5.3;1
197001;7.5;1
197002;7.4;1
197003;7.7;1
197004;10.9;1
197005;16.5;1
197006;20.9;1
197007;20.3;1
197008;21.1;1
197009;20.3;1
197010;15.5;1
197011;12;1
197012;5.7;1
197101;7.7;1
197102;8.2;1
197103;8.5;1
197104;13.2;1
197105;16.4;1
197106;17.5;1
197107;22.9;1
197108;21.7;1
197109;21;1
197110;17.5;1
197111;10.6;1
197112;7.6;1
197201;6.5;1
197202;8.6;1
197203;12.9;1
197204;11.7;1
197205;14.9;1
197206;17.1;1
197207;20.5;1
197208;20.4;1
197209;17;1
197210;14.7;1
197211;10.1;1
197212;8.3;1
197301;6.7;1
197302;7;1
197303;10.4;1
197304;11.2;1
197305;16.7;1
197306;19.7;1
197307;20.5;1
197308;23.4;1
197309;20.2;1
197310;14.5;1
197311;11;1
197312;8;1
197401;9.2;1
197402;8.7;1
197403;9.8;1
197404;12.7;1
197405;15.5;1
197406;19.1;1
197407;20.3;1
197408;21.6;1
197409;17.3;1
197410;10.8;1
197411;10.9;1
197412;10.4;1
197501;10.3;1
197502;10.1;1
197503;8.3;1
197504;12;1
197505;13.4;1
197506;18.5;1
197507;22.2;1
197508;24.1;1
197509;18.7;1
197510;14.3;1
197511;10.3;1
197512;6.1;1
197601;7.5;1
197602;8;1
197603;9.9;1
197604;11.9;1
197605;18.5;1
197606;23.5;1
197607;24.5;1
197608;23.9;1
197609;19.3;1
197610;15.4;1
197611;10.3;1
197612;5.8;1
197701;6.5;1
197702;10;1
197703;11.9;1
197704;11.3;1
197705;14.3;1
197706;16.3;1
197707;19.9;1
197708;20.6;1
197709;18.6;1
197710;17.3;1
197711;10.5;1
197712;9.5;1
197801;6.8;1
197802;6;1
197803;10.7;1
197804;10;1
197805;14.8;1
197806;17.1;1
197807;19.1;1
197808;19.4;1
197809;19.1;1
197810;16.7;1
197811;12.2;1
197812;7.6;1
197901;2.6;1
197902;5.7;1
197903;9;1
197904;11.7;1
197905;15.2;1
197906;17.5;1
197907;21.3;1
197908;20.1;1
197909;19.2;1
197910;15.8;1
197911;11.1;1
197912;9.4;1
198001;4.8;1
198002;9.5;1
198003;8.5;1
198004;11.9;1
198005;14.9;1
198006;18.3;1
198007;19.2;1
198008;21.4;1
198009;19.8;1
198010;13.8;1
198011;9;1
198012;7.9;1
198101;8;1
198102;5.9;1
198103;12.2;1
198104;11.4;1
198105;15.2;1
198106;17.4;1
198107;19.9;1
198108;22;1
198109;19.6;1
198110;13.6;1
198111;11.4;1
198112;7.2;1
198201;7.4;1
198202;8.8;1
198203;10;1
198204;12.2;1
198205;17.5;1
198206;21.2;1
198207;21.3;1
198208;20.9;1
198209;21.4;1
198210;14.4;1
198211;12;1
198212;7.7;1
198301;9.5;1
198302;5.2;1
198303;9.8;1
198304;11.8;1
198305;14.7;1
198306;18.8;1
198307;24.6;1
198308;21.9;1
198309;20.1;1
198310;16;1
198311;11.7;1
198312;8.7;1
198401;8.3;1
198402;7.5;1
198403;9;1
198404;14.1;1
198405;12.5;1
198406;19.5;1
198407;23.3;1
198408;23.4;1
198409;18.7;1
198410;15.7;1
198411;12.9;1
198412;8.1;1
198501;3.6;1
198502;7.3;1
198503;8.7;1
198504;12.6;1
198505;14.8;1
198506;17.7;1
198507;22;1
198508;20;1
198509;21;1
198510;15.5;1
198511;8.1;1
198512;9.3;1
198601;7.8;1
198602;1.6;1
198603;9.6;1
198604;9;1
198605;15.9;1
198606;19.7;1
198607;20.2;1
198608;19.4;1
198609;16.2;1
198610;17;1
198611;11.5;1
198612;9.7;1
198701;1.2;1
198702;6.9;1
198703;8.2;1
198704;15.5;1
198705;14.3;1
198706;17.6;1
198707;20.2;1
198708;21.7;1
198709;20.1;1
198710;15.3;1
198711;9.9;1
198712;7.9;1
198801;9.6;1
198802;8.2;1
198803;9.5;1
198804;12.6;1
198805;16.3;1
198806;17.6;1
198807;20;1
198808;21.5;1
198809;18.6;1
198810;15.9;1
198811;10.9;1
198812;9.8;1
198901;8.5;1
198902;10;1
198903;13.2;1
198904;10.9;1
198905;18.5;1
198906;20.2;1
198907;23.6;1
198908;22.6;1
198909;20.9;1
198910;17.7;1
198911;10.9;1
198912;8.2;1
199001;9.5;1
199002;12.3;1
199003;13;1
199004;12.3;1
199005;18.3;1
199006;18;1
199007;23;1
199008;24.8;1
199009;19.7;1
199010;17.2;1
199011;10.4;1
199012;7.1;1
199101;6.4;1
199102;4.9;1
199103;12.4;1
199104;12.6;1
199105;13.4;1
199106;17.1;1
199107;22;1
199108;23.8;1
199109;21.4;1
199110;14.4;1
199111;10.5;1
199112;6.8;1
199201;5.6;1
199202;9.3;1
199203;10.9;1
199204;12.5;1
199205;18.3;1
199206;18.7;1
199207;21.4;1
199208;21.7;1
199209;18.6;1
199210;12.6;1
199211;12.5;1
199212;7.4;1
199301;10;1
199302;6.5;1
199303;11.2;1
