# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 17323001
# NOM_USUEL= CHASSIRON
# LATITUDE (°) = 46.047
# LONGITUDE(°)= -1.412
# ALTITUDE (m) = 11
# NUM_SERIE= MTX317323001
# Amplitude minimale détectable de la série = 0.23
# Période homogénéisée : 195101 202112
# Date(s) de rupture(s) d'homogénéité : 199412 200412
#     Periode homogénéisée  195101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;9.5;1
195102;9.3;1
195103;9.7;1
195104;13;1
195105;14.3;1
195106;18.8;1
195107;21.9;1
195108;19.7;1
195109;19.9;1
195110;15.4;1
195111;13.6;1
195112;11.2;1
195201;8.3;1
195202;7.9;1
195203;12.1;1
195204;14.3;1
195205;18.5;1
195206;21.6;1
195207;21.2;1
195208;22.1;1
195209;17.1;1
195210;15.6;1
195211;11.3;1
195212;9;1
195301;5.5;1
195302;7;1
195303;12.5;1
195304;13.8;1
195305;18.1;1
195306;18.3;1
195307;20.3;1
195308;22.4;1
195309;19.9;1
195310;16.3;1
195311;11.5;1
195312;13.1;1
195401;7.7;1
195402;6.5;1
195403;11.9;1
195404;12.9;1
195405;15.2;1
195406;17.5;1
195407;17.8;1
195408;19.1;1
195409;19.1;1
195410;18.1;1
195411;13.8;1
195412;11.4;1
195501;9.5;1
195502;9.2;1
195503;8.5;1
195504;14.4;1
195505;15.9;1
195506;19.5;1
195507;22.6;1
195508;23.8;1
195509;20.3;1
195510;15;1
195511;11.3;1
195512;11;1
195601;8.7;1
195602;2.2;1
195603;11.2;1
195604;12.4;1
195605;16.9;1
195606;16.9;1
195607;20;1
195608;18.9;1
195609;19.6;1
195610;15.9;1
195611;10.4;1
195612;10.6;1
195701;7.5;1
195702;11;1
195703;14.4;1
195704;13.3;1
195705;15.1;1
195706;20.1;1
195707;20.7;1
195708;20.7;1
195709;18.4;1
195710;17;1
195711;10.5;1
195712;8.4;1
195801;9.2;1
195802;10.5;1
195803;9.5;1
195804;11.6;1
195805;16.1;1
195806;18.2;1
195807;19.4;1
195808;19.8;1
195809;21.2;1
195810;16.2;1
195811;10.8;1
195812;10;1
195901;9.4;1
195902;10.6;1
195903;13.1;1
195904;14;1
195905;16.9;1
195906;19.8;1
195907;21.7;1
195908;22.2;1
195909;22.1;1
195910;17.9;1
195911;12.3;1
195912;11.3;1
196001;9.1;1
196002;9.7;1
196003;12.7;1
196004;13.9;1
196005;18.1;1
196006;21.5;1
196007;19.3;1
196008;20.2;1
196009;18.7;1
196010;15.4;1
196011;13.4;1
196012;8.6;1
196101;9;1
196102;11.2;1
196103;13.1;1
196104;14.8;1
196105;17;1
196106;19.5;1
196107;19.8;1
196108;20.5;1
196109;21.3;1
196110;17;1
196111;11.3;1
196112;10.4;1
196201;9.7;1
196202;8.9;1
196203;8;1
196204;12.9;1
196205;14.4;1
196206;19.2;1
196207;20.1;1
196208;21;1
196209;19.5;1
196210;16.6;1
196211;10.9;1
196212;6.9;1
196301;3.2;1
196302;5.6;1
196303;10.6;1
196304;12.4;1
196305;14.4;1
196306;18;1
196307;21.4;1
196308;18.4;1
196309;18.3;1
196310;16.4;1
196311;14.6;1
196312;6.3;1
196401;5.5;1
196402;8.6;1
196403;9.4;1
196404;12.4;1
196405;17;1
196406;19.2;1
196407;21;1
196408;20.6;1
196409;20.9;1
196410;14.5;1
196411;11;1
196412;9;1
196501;8.7;1
196502;6;1
196503;10.4;1
196504;12.1;1
196505;15.1;1
196506;17.3;1
196507;19.3;1
196508;19.2;1
196509;16.6;1
196510;17.6;1
196511;12.4;1
196512;11.7;1
196601;8.3;1
196602;12.1;1
196603;10.9;1
196604;13.8;1
196605;15.5;1
196606;18.3;1
196607;18.8;1
196608;19.8;1
196609;20.6;1
196610;16.4;1
196611;10.5;1
196612;11.1;1
196701;8.7;1
196702;9.7;1
196703;11.3;1
196704;12.6;1
196705;15.1;1
196706;18.6;1
196707;21;1
196708;20.4;1
196709;18.5;1
196710;18;1
196711;12.2;1
196712;8.2;1
196801;9;1
196802;9.4;1
196803;11;1
196804;14.1;1
196805;14.9;1
196806;19.3;1
196807;21.6;1
196808;20.7;1
196809;19.1;1
196810;18.4;1
196811;12.6;1
196812;9.6;1
196901;9.8;1
196902;7.3;1
196903;10.5;1
196904;12.4;1
196905;16.2;1
196906;18;1
196907;21.7;1
196908;20.6;1
196909;18.9;1
196910;18.8;1
196911;12.6;1
196912;7.8;1
197001;8.6;1
197002;9.3;1
197003;8.7;1
197004;10.5;1
197005;16;1
197006;20.4;1
197007;19.6;1
197008;20.9;1
197009;21.1;1
197010;16;1
197011;14.3;1
197012;6.8;1
197101;8.8;1
197102;8.2;1
197103;8;1
197104;13.7;1
197105;15.7;1
197106;17.3;1
197107;23.8;1
197108;21.5;1
197109;20.5;1
197110;17.5;1
197111;11;1
197112;8;1
197201;8.1;1
197202;9.5;1
197203;12.2;1
197204;11.5;1
197205;13.9;1
197206;16.8;1
197207;20.4;1
197208;19.4;1
197209;17.4;1
197210;15;1
197211;11.7;1
197212;10.3;1
197301;6.6;1
197302;7.6;1
197303;10.7;1
197304;12.2;1
197305;16.2;1
197306;19.7;1
197307;20.5;1
197308;22.9;1
197309;20.9;1
197310;15.1;1
197311;12.5;1
197312;8.6;1
197401;10.1;1
197402;9.5;1
197403;10.7;1
197404;13.2;1
197405;15.3;1
197406;19.2;1
197407;19.2;1
197408;20.8;1
197409;17.4;1
197410;12;1
197411;12.4;1
197412;11.4;1
197501;10.6;1
197502;11.2;1
197503;9.4;1
197504;12.1;1
197505;14.4;1
197506;19.1;1
197507;22;1
197508;22.6;1
197509;19;1
197510;15.8;1
197511;11.6;1
197512;5.9;1
197601;8;1
197602;9;1
197603;10.9;1
197604;12.8;1
197605;16.9;1
197606;22.3;1
197607;23;1
197608;22.9;1
197609;19;1
197610;16.7;1
197611;11.6;1
197612;8.1;1
197701;8.2;1
197702;11;1
197703;12.3;1
197704;12;1
197705;14.9;1
197706;17.3;1
197707;20.2;1
197708;20.1;1
197709;19.3;1
197710;18.1;1
197711;12.4;1
197712;10.5;1
197801;8.5;1
197802;9.5;1
197803;11.2;1
197804;11.8;1
197805;15.6;1
197806;18.1;1
197807;19.6;1
197808;20.8;1
197809;19.5;1
197810;16.6;1
197811;12.4;1
197812;10.6;1
197901;7.3;1
197902;8.6;1
197903;10.3;1
197904;12.3;1
197905;14.9;1
197906;18.8;1
197907;21.6;1
197908;19.8;1
197909;20.2;1
197910;17.5;1
197911;12.1;1
197912;10.9;1
198001;7.2;1
198002;10.5;1
198003;9.6;1
198004;13.5;1
198005;15.4;1
198006;17.6;1
198007;18.7;1
198008;21.4;1
198009;20.2;1
198010;15.7;1
198011;9.9;1
198012;8.3;1
198101;8.5;1
198102;7.5;1
198103;12.3;1
198104;13.6;1
198105;14.6;1
198106;19;1
198107;19.6;1
198108;22.2;1
198109;20.1;1
198110;15.9;1
198111;12.1;1
198112;10.8;1
198201;10.9;1
198202;10;1
198203;11.2;1
198204;14.4;1
198205;17.1;1
198206;19.7;1
198207;23.1;1
198208;20.7;1
198209;21;1
198210;16;1
198211;13.7;1
198212;10;1
198301;9.8;1
198302;7.3;1
198303;10.8;1
198304;12.4;1
198305;14.7;1
198306;20.1;1
198307;24.3;1
198308;21.7;1
198309;20.2;1
198310;16.9;1
198311;12.7;1
198312;9.4;1
198401;10;1
198402;7.7;1
198403;9.5;1
198404;15.1;1
198405;13.4;1
198406;19.6;1
198407;22;1
198408;21.3;1
198409;18;1
198410;16;1
198411;14.1;1
198412;10.4;1
198501;4.5;1
198502;9.8;1
198503;9.6;1
198504;13.5;1
198505;14.5;1
198506;17.9;1
198507;21.4;1
198508;19.7;1
198509;20.9;1
198510;17.6;1
198511;9.9;1
198512;9.6;1
198601;9.5;1
198602;5.1;1
198603;10.4;1
198604;10.1;1
198605;14.8;1
198606;19;1
198607;20.5;1
198608;19.7;1
198609;19;1
198610;17.9;1
198611;13.4;1
198612;11.4;1
198701;3.1;1
198702;7.4;1
198703;9.8;1
198704;14.7;1
198705;15.4;1
198706;17.3;1
198707;21.2;1
198708;21.8;1
198709;21.1;1
198710;16.6;1
198711;12.4;1
198712;10.4;1
198801;11.6;1
198802;10.4;1
198803;10.3;1
198804;14.7;1
198805;16.5;1
198806;19.8;1
198807;19.2;1
198808;21.2;1
198809;19.3;1
198810;17.8;1
198811;12.3;1
198812;10;1
198901;9.2;1
198902;10.9;1
198903;13;1
198904;11.7;1
198905;19.9;1
198906;20.9;1
198907;21.9;1
198908;21.7;1
198909;20.2;1
198910;17.9;1
198911;13.1;1
198912;11.4;1
199001;10.6;1
199002;13.1;1
199003;13.7;1
199004;13.1;1
199005;19.6;1
199006;18.5;1
199007;22.7;1
199008;23.1;1
199009;20.3;1
199010;17.9;1
199011;12.1;1
199012;7.9;1
199101;7.9;1
199102;7;1
199103;12.2;1
199104;12.7;1
199105;15.6;1
199106;16.8;1
199107;21;1
199108;23;1
199109;21.5;1
199110;15.5;1
199111;12;1
199112;8.6;1
199201;7.2;1
199202;9.3;1
199203;10.9;1
199204;12.4;1
199205;18.5;1
199206;19.9;1
