# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 76552001
# NOM_USUEL= CAP-DE-LA-HEVE
# LATITUDE (°) = 49.509
# LONGITUDE(°)= 0.071
# ALTITUDE (m) = 100
# NUM_SERIE= MTX376552001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 200312
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;7;1
195102;6.9;1
195103;7.7;1
195104;11.4;1
195105;13.8;1
195106;17.7;1
195107;19.7;1
195108;18.3;1
195109;18.8;1
195110;14;1
195111;11.8;1
195112;9;1
195201;6.1;1
195202;5.9;1
195203;10.6;1
195204;14.3;1
195205;17.6;1
195206;18.4;1
195207;20.5;1
195208;20.4;1
195209;15.5;1
195210;13.3;1
195211;7.7;1
195212;6.1;1
195301;4.6;1
195302;6.5;1
195303;11.9;1
195304;12.9;1
195305;17.1;1
195306;17.3;1
195307;19;1
195308;20.5;1
195309;18.4;1
195310;14.9;1
195311;9.9;1
195312;10.5;1
195401;4.7;1
195402;4.6;1
195403;10.3;1
195404;10.2;1
195405;14.4;1
195406;15.5;1
195407;16.7;1
195408;18.2;1
195409;17;1
195410;16.1;1
195411;11.4;1
195412;9.4;1
195501;6.4;1
195502;5.5;1
195503;6.4;1
195504;12.3;1
195505;13.8;1
195506;17.7;1
195507;20.5;1
195508;21.5;1
195509;18.5;1
195510;13.6;1
195511;10.7;1
195512;8.9;1
195601;7.5;1
195602;1;1
195603;10.7;1
195604;10.4;1
195605;15.3;1
195606;14.8;1
195607;18.9;1
195608;17.6;1
195609;19;1
195610;13.5;1
195611;8.9;1
195612;8.5;1
195701;6.7;1
195702;8.8;1
195703;13.1;1
195704;11.9;1
195705;13.4;1
195706;20.3;1
195707;19.9;1
195708;18.9;1
195709;16.5;1
195710;14.7;1
195711;8.8;1
195712;6.5;1
195801;7;1
195802;8.4;1
195803;7;1
195804;9.7;1
195805;15.3;1
195806;16.5;1
195807;18.3;1
195808;19.2;1
195809;18.9;1
195810;14.1;1
195811;8.8;1
195812;8.2;1
195901;6.4;1
195902;8.3;1
195903;11.1;1
195904;12.6;1
195905;15.8;1
195906;18.4;1
195907;22.1;1
195908;21;1
195909;22;1
195910;17.2;1
195911;10.1;1
195912;8.6;1
196001;6.4;1
196002;7.6;1
196003;10.1;1
196004;11.4;1
196005;17.1;1
196006;18.8;1
196007;18;1
196008;18.9;1
196009;17.2;1
196010;14;1
196011;10.9;1
196012;6.5;1
196101;5.9;1
196102;10.4;1
196103;11.6;1
196104;13.6;1
196105;14.7;1
196106;17.6;1
196107;19.1;1
196108;19.8;1
196109;21.3;1
196110;15.1;1
196111;9.1;1
196112;6.7;1
196201;7.1;1
196202;6.2;1
196203;5.9;1
196204;10.1;1
196205;13;1
196206;17.1;1
196207;19;1
196208;18.8;1
196209;17;1
196210;14.8;1
196211;9;1
196212;4.9;1
196301;0.4;1
196302;2.4;1
196303;8.7;1
196304;10.8;1
196305;13.2;1
196306;17;1
196307;19.4;1
196308;17.4;1
196309;16.9;1
196310;14.2;1
196311;11.3;1
196312;4;1
196401;4.2;1
196402;6.8;1
196403;7;1
196404;11.2;1
196405;16.4;1
196406;17.8;1
196407;19.4;1
196408;20.1;1
196409;19.8;1
196410;12.7;1
196411;9.6;1
196412;6.4;1
196501;5.8;1
196502;4;1
196503;9.2;1
196504;10.5;1
196505;14.5;1
196506;16.6;1
196507;17.6;1
196508;18.8;1
196509;16.2;1
196510;15.8;1
196511;8.4;1
196512;8;1
196601;4.6;1
196602;9.1;1
196603;8.7;1
196604;12.5;1
196605;14;1
196606;19;1
196607;18.2;1
196608;18.9;1
196609;19.6;1
196610;14.6;1
196611;8.6;1
196612;8.4;1
196701;6.8;1
196702;8;1
196703;9.5;1
196704;10;1
196705;14.6;1
196706;16.4;1
196707;20.6;1
196708;19.1;1
196709;17.3;1
196710;15.1;1
196711;9.2;1
196712;7.1;1
196801;7;1
196802;5.5;1
196803;9.4;1
196804;13;1
196805;13.3;1
196806;17.8;1
196807;19.1;1
196808;18.7;1
196809;18.1;1
196810;16.2;1
196811;8.9;1
196812;5;1
196901;8.1;1
196902;5.1;1
196903;8.8;1
196904;11.3;1
196905;15.9;1
196906;17.5;1
196907;20.1;1
196908;19.6;1
196909;18.7;1
196910;17.7;1
196911;10.1;1
196912;5.1;1
197001;7.3;1
197002;6.4;1
197003;6.9;1
197004;9.7;1
197005;15.5;1
197006;19.7;1
197007;18.3;1
197008;20.1;1
197009;19.6;1
197010;14.7;1
197011;11.9;1
197012;5.7;1
197101;7.1;1
197102;7.4;1
197103;7.6;1
197104;13.3;1
197105;16.2;1
197106;15.8;1
197107;21.3;1
197108;19.9;1
197109;19.9;1
197110;16.3;1
197111;9.9;1
197112;7.6;1
197201;5.9;1
197202;8;1
197203;12.2;1
197204;10.3;1
197205;13.9;1
197206;15.6;1
197207;18.3;1
197208;18.9;1
197209;16.7;1
197210;14.6;1
197211;9.7;1
197212;7.9;1
197301;5.9;1
197302;6;1
197303;9.7;1
197304;10.2;1
197305;15.6;1
197306;18.5;1
197307;19.3;1
197308;22.3;1
197309;19.5;1
197310;14.1;1
197311;10.4;1
197312;7.7;1
197401;8.5;1
197402;8.1;1
197403;9.8;1
197404;13;1
197405;14.7;1
197406;18.3;1
197407;18.2;1
197408;20.1;1
197409;16.6;1
197410;10.7;1
197411;10.1;1
197412;9.6;1
197501;9.5;1
197502;9.7;1
197503;7.6;1
197504;11;1
197505;13.2;1
197506;18.1;1
197507;20.6;1
197508;22.7;1
197509;18;1
197510;13.3;1
197511;9.7;1
197512;6.1;1
197601;6.5;1
197602;6.9;1
197603;8.3;1
197604;11.1;1
197605;16.2;1
197606;21.2;1
197607;22.5;1
197608;22.7;1
197609;18.1;1
197610;14.6;1
197611;9.7;1
197612;5.6;1
197701;6;1
197702;8.6;1
197703;11;1
197704;10.4;1
197705;14.1;1
197706;15.2;1
197707;19.4;1
197708;18.8;1
197709;17.4;1
197710;16.5;1
197711;9.9;1
197712;9.1;1
197801;6.5;1
197802;5.7;1
197803;9.4;1
197804;10;1
197805;14.6;1
197806;16.2;1
197807;17.8;1
197808;18.3;1
197809;18.1;1
197810;16.5;1
197811;11.4;1
197812;7.4;1
197901;3.5;1
197902;5.2;1
197903;8.2;1
197904;10.7;1
197905;14.3;1
197906;16.1;1
197907;19.1;1
197908;18.4;1
197909;17.9;1
197910;15.4;1
197911;10.8;1
197912;9.2;1
198001;4.5;1
198002;8.7;1
198003;7.9;1
198004;11.4;1
198005;14.9;1
198006;16.9;1
198007;17.6;1
198008;19.6;1
198009;19;1
198010;13.4;1
198011;8.4;1
198012;7.1;1
198101;7.5;1
198102;5.6;1
198103;11.1;1
198104;11.5;1
198105;14.6;1
198106;15.8;1
198107;18.2;1
198108;20.6;1
198109;18.9;1
198110;12.9;1
198111;10.6;1
198112;6.7;1
198201;6.5;1
198202;8.1;1
198203;9.3;1
198204;11.6;1
198205;16.2;1
198206;19.5;1
198207;20.7;1
198208;19.4;1
198209;20;1
198210;13.8;1
198211;11.4;1
198212;7.7;1
198301;8.6;1
198302;5.2;1
198303;8.4;1
198304;11.2;1
198305;13.4;1
198306;17.9;1
198307;24.2;1
198308;21.6;1
198309;18.8;1
198310;15.1;1
198311;10.8;1
198312;7.7;1
198401;7.3;1
198402;6.3;1
198403;7.9;1
198404;13.3;1
198405;11.8;1
198406;17.2;1
198407;20.7;1
198408;20.5;1
198409;17;1
198410;14.7;1
198411;12.4;1
198412;7.8;1
198501;3.1;1
198502;6.2;1
198503;7.3;1
198504;11.4;1
198505;14.2;1
198506;16.6;1
198507;20.1;1
198508;18.4;1
198509;19.3;1
198510;15.1;1
198511;8;1
198512;8.7;1
198601;6.5;1
198602;1.6;1
198603;8.2;1
198604;8;1
198605;14.5;1
198606;19.2;1
198607;18.5;1
198608;18.2;1
198609;15.6;1
198610;15.9;1
198611;11.3;1
198612;9;1
198701;1.2;1
198702;5.8;1
198703;7;1
198704;14.3;1
198705;13.4;1
198706;15.8;1
198707;19.2;1
198708;19.8;1
198709;18.9;1
198710;15.1;1
198711;9.9;1
198712;7;1
198801;9;1
198802;7.9;1
198803;8.4;1
198804;12.5;1
198805;15.6;1
198806;17.3;1
198807;18.2;1
198808;20;1
198809;17.5;1
198810;15.5;1
198811;10.2;1
198812;9.3;1
198901;8.1;1
198902;9.1;1
198903;11.8;1
198904;10.3;1
198905;18.7;1
198906;19.1;1
198907;21.6;1
198908;20.8;1
198909;19.8;1
198910;16.6;1
198911;10.7;1
198912;8;1
199001;8.8;1
199002;11.3;1
199003;11.9;1
199004;11.9;1
199005;18.2;1
199006;17;1
199007;22.4;1
199008;22.2;1
199009;18.5;1
199010;16.5;1
199011;10.2;1
199012;7.1;1
199101;6.3;1
199102;4.5;1
199103;11.5;1
199104;11.7;1
199105;12.5;1
199106;15.3;1
199107;20.4;1
199108;21.2;1
199109;20.3;1
199110;14;1
199111;10;1
199112;6.6;1
199201;5.8;1
199202;8.2;1
199203;9.6;1
199204;11.7;1
199205;17.9;1
199206;18.5;1
199207;19.9;1
199208;20.1;1
199209;17.7;1
199210;12.2;1
199211;11.5;1
199212;7.2;1
199301;8.9;1
199302;6;1
199303;10.1;1
199304;12.6;1
199305;16.1;1
199306;18;1
199307;18.1;1
199308;18.8;1
199309;16.7;1
199310;12.5;1
199311;7.6;1
199312;8.4;1
199401;8.1;1
199402;7.7;1
199403;10.3;1
199404;11.1;1
199405;15.3;1
199406;17.8;1
199407;21.9;1
199408;20.6;1
199409;16.7;1
199410;15.1;1
199411;12.9;1
199412;9.6;1
199501;8.3;1
199502;9.8;1
199503;9.4;1
199504;10.5;1
199505;16.2;1
199506;17;1
199507;22.1;1
199508;23.2;1
199509;17.4;1
199510;17.9;1
199511;10.9;1
199512;5.5;1
199601;6.9;1
199602;5.4;1
199603;8.8;1
199604;12.2;1
199605;12.5;1
199606;19;1
199607;20.3;1
199608;20.7;1
199609;17.6;1
199610;15.4;1
199611;9.5;1
199612;4.7;1
199701;3.8;1
199702;8.9;1
199703;11.4;1
199704;12.4;1
199705;16.8;1
199706;18;1
199707;19.3;1
199708;22.4;1
199709;19.8;1
199710;15.1;1
199711;11.7;1
199712;8.5;1
199801;7.7;1
199802;10.1;1
199803;10.4;1
199804;11.4;1
199805;18;1
199806;17.8;1
199807;18.7;1
199808;20.4;1
199809;18.6;1
199810;13.9;1
199811;8.8;1
199812;8.2;1
199901;8.8;1
199902;7;1
199903;10.9;1
199904;12.7;1
199905;17.4;1
199906;18;1
199907;21.7;1
199908;21.4;1
199909;20.5;1
199910;14.9;1
199911;10.3;1
199912;8.6;1
200001;6.9;1
200002;9;1
200003;9.8;1
200004;12.3;1
200005;16;1
200006;18.8;1
200007;18.7;1
200008;21.2;1
200009;19.1;1
200010;14.4;1
200011;10.7;1
200012;9.2;1
200101;7;1
200102;7.9;1
200103;9.9;1
200104;10.9;1
200105;16.3;1
200106;18.7;1
200107;20.3;1
200108;22.4;1
200109;16.9;1
200110;17.7;1
200111;10.5;1
200112;6.6;1
200201;8.1;1
200202;9.8;1
200203;11.3;1
200204;13.1;1
200205;15.6;1
200206;17.9;1
200207;18.6;1
200208;20;1
200209;18.9;1
200210;15.1;1
200211;12.1;1
200212;8.7;1
200301;6.2;1
200302;7.3;1
200303;12.8;1
200304;14.2;1
200305;15.6;1
200306;20.6;1
200307;21.3;1
200308;24.1;1
200309;20;1
200310;13.1;1
200311;11.7;1
200312;8;1
200401;8.2;1
200402;8;1
200403;9.6;1
200404;13.2;1
200405;15.8;1
200406;18.7;1
200407;19.7;1
200408;21.5;1
200409;19.8;1
200410;15.4;1
200411;10.7;1
200412;7.5;1
200501;8.4;1
200502;6;1
200503;10.6;1
200504;13.3;1
200505;15.3;1
200506;20.7;1
200507;20.4;1
200508;20.3;1
200509;20;1
200510;18;1
200511;11;1
200512;7.4;1
200601;5.9;1
200602;5.8;1
200603;8.4;1
200604;12;1
200605;16;1
200606;20.8;1
200607;24.7;1
200608;19.4;1
200609;21.6;1
200610;17.8;1
200611;12.8;1
200612;8.8;1
200701;9.7;1
200702;10.2;1
200703;10.8;1
200704;17;1
200705;15.8;1
200706;18.8;1
200707;19.2;1
200708;19.6;1
200709;18.1;1
200710;15.1;1
200711;11;1
200712;7.8;1
200801;8.9;1
200802;10.3;1
200803;9.3;1
200804;12.4;1
200805;20.1;1
200806;18.1;1
200807;20.8;1
200808;20;1
200809;17.9;1
200810;14.3;1
200811;10.9;1
200812;6.9;1
200901;5.4;1
200902;7;1
200903;10.3;1
200904;13.6;1
200905;16.1;1
200906;19.2;1
200907;21;1
200908;21.8;1
200909;19.3;1
200910;15.6;1
200911;12.6;1
200912;7.6;1
201001;4.5;1
201002;6.7;1
201003;9.8;1
201004;13.5;1
201005;14.5;1
201006;19;1
201007;21.8;1
201008;19.4;1
201009;18.8;1
201010;14.9;1
201011;9.4;1
201012;4.4;1
201101;6.9;1
201102;9.5;1
201103;11.8;1
201104;16.9;1
201105;17.1;1
201106;18.3;1
201107;18.8;1
201108;19.8;1
201109;20.3;1
201110;17;1
201111;13.2;1
201112;10.2;1
201201;8.6;1
201202;5;1
201203;12.5;1
201204;11.6;1
201205;15.4;1
201206;18;1
201207;20;1
201208;21.7;1
201209;18.1;1
201210;14.6;1
201211;10.6;1
201212;9.1;1
201301;6.3;1
201302;5.9;1
201303;7;1
201304;11.4;1
201305;13.2;1
201306;17.7;1
201307;22.9;1
201308;21.6;1
201309;19;1
201310;16.3;1
201311;10.4;1
201312;9.7;1
201401;9.4;1
201402;9.8;1
201403;12.3;1
201404;14.2;1
201405;15.5;1
201406;19.3;1
201407;21.1;1
201408;19.3;1
201409;20.9;1
201410;17.3;1
201411;12.8;1
201412;8.9;1
201501;8.1;1
201502;6.8;1
201503;10.1;1
201504;14.9;1
201505;15.3;1
201506;19;1
201507;21.3;1
201508;21.6;1
201509;17.5;1
201510;15.1;1
201511;13.7;1
201512;12.4;1
201601;8.7;1
201602;8.2;1
201603;9.2;1
201604;12.2;1
201605;16.6;1
201606;18.2;1
201607;20.6;1
201608;22.1;1
201609;21.4;1
201610;14.8;1
201611;10.7;1
201612;9;1
201701;6.8;1
201702;9.2;1
201703;12.4;1
201704;13;1
201705;18;1
201706;21.7;1
201707;21.3;1
201708;20.8;1
201709;18.1;1
201710;16.6;1
201711;11.5;1
201712;8.6;1
201801;9.1;1
201802;5.6;1
201803;9.3;1
201804;15.3;1
201805;17.4;1
201806;20.4;1
201807;23.2;1
201808;21.4;1
201809;19.7;1
201810;16.5;1
201811;11.1;1
201812;9.6;1
201901;7.1;1
201902;11.7;1
201903;11.5;1
201904;14.7;1
201905;15.5;1
201906;20.7;1
201907;22.8;1
201908;22.3;1
201909;19.3;1
201910;15.4;1
201911;10.4;1
201912;9.8;1
202001;9.1;1
202002;10.2;1
202003;10.8;1
202004;17.6;1
202005;17.7;1
202006;20.2;1
202007;20.5;1
202008;23.1;1
202009;20.2;1
202010;14.9;1
202011;13.1;1
202012;9.1;1
202101;7.1;1
202102;8.8;1
202103;11.5;1
202104;11.7;1
202105;15;1
202106;19.5;1
202107;21.2;1
202108;19.8;1
202109;21.5;1
202110;16.5;1
202111;11.3;1
202112;9.6;1
202201;8.2;1
202202;10.2;1
202203;13.9;1
202204;14.1;1
202205;17.7;1
202206;21.1;1
202207;23.7;1
202208;24.2;1
202209;19.5;1
202210;18.4;1
202211;13.2;1
202212;7.6;1
