# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 80001001
# NOM_USUEL= ABBEVILLE
# LATITUDE (°) = 50.136
# LONGITUDE(°)= 1.834
# ALTITUDE (m) = 69
# NUM_SERIE= MTX380001001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 195804 196305
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;6.7;1
195102;6.8;1
195103;8;1
195104;12.1;1
195105;14.6;1
195106;19.1;1
195107;22.3;1
195108;19.6;1
195109;19.8;1
195110;14.3;1
195111;11.1;1
195112;7.4;1
195201;5.3;1
195202;5.2;1
195203;10;1
195204;15.5;1
195205;19;1
195206;20.6;1
195207;22.5;1
195208;21;1
195209;15.9;1
195210;13.3;1
195211;6.1;1
195212;5;1
195301;2.8;1
195302;5.7;1
195303;12.1;1
195304;13.4;1
195305;18.6;1
195306;18.7;1
195307;19.6;1
195308;21.6;1
195309;19.7;1
195310;15.3;1
195311;9.7;1
195312;9.3;1
195401;3.8;1
195402;4.1;1
195403;10.2;1
195404;12.1;1
195405;16.3;1
195406;17.7;1
195407;17.6;1
195408;19.6;1
195409;17.5;1
195410;16.1;1
195411;10.9;1
195412;8.9;1
195501;5.5;1
195502;4.6;1
195503;6.9;1
195504;13.8;1
195505;15.3;1
195506;19.2;1
195507;22.5;1
195508;23.1;1
195509;18.7;1
195510;13.6;1
195511;9.5;1
195512;8.3;1
195601;6.9;1
195602;-0.3;1
195603;11.2;1
195604;11.3;1
195605;17.4;1
195606;15.8;1
195607;20;1
195608;18.1;1
195609;19.7;1
195610;13.9;1
195611;8;1
195612;8.1;1
195701;6.7;1
195702;8.9;1
195703;13.4;1
195704;13.4;1
195705;14.7;1
195706;22.3;1
195707;21.5;1
195708;20;1
195709;16.9;1
195710;15.2;1
195711;8.6;1
195712;6.2;1
195801;6.1;1
195802;8.5;1
195803;7.6;1
195804;10.7;1
195805;16.7;1
195806;18.7;1
195807;20.1;1
195808;20.1;1
195809;19.9;1
195810;14.1;1
195811;8.2;1
195812;7.2;1
195901;5.5;1
