# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 95088001
# NOM_USUEL= LE BOURGET
# LATITUDE (°) = 48.967
# LONGITUDE(°)= 2.428
# ALTITUDE (m) = 49
# NUM_SERIE= MTX395088001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195301 202212
# Date(s) de rupture(s) d'homogénéité : 196212 197210 197812
#     Periode homogénéisée  195301 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;2.2;1
195302;6.5;1
195303;14.4;1
195304;15.7;1
195305;20.6;1
195306;20.5;1
195307;22.5;1
195308;24.5;1
195309;21.7;1
195310;16.3;1
195311;9.3;1
195312;10;1
195401;3.9;1
195402;4.6;1
195403;12.2;1
195404;14.4;1
195405;19;1
195406;21.2;1
195407;21.7;1
195408;22.3;1
195409;19.4;1
195410;17.5;1
195411;11.4;1
195412;9.3;1
195501;6.9;1
195502;6.2;1
195503;8.6;1
195504;16.5;1
195505;18.1;1
195506;21.7;1
195507;24.6;1
195508;24.8;1
195509;21.3;1
195510;14.3;1
195511;10.7;1
195512;9;1
195601;7.2;1
195602;-0.1;1
195603;12.4;1
195604;13.2;1
195605;20.4;1
195606;18.5;1
195607;22.7;1
195608;20.8;1
195609;21.8;1
195610;14.8;1
195611;8.5;1
195612;8.4;1
195701;6.6;1
195702;10.8;1
195703;15.3;1
195704;15;1
195705;16.9;1
195706;23.5;1
195707;24;1
195708;22.3;1
195709;19.1;1
195710;15.8;1
195711;9.1;1
195712;6.3;1
195801;7;1
195802;9.5;1
195803;8.9;1
195804;12.9;1
195805;18.6;1
195806;20.5;1
195807;22.6;1
195808;22.5;1
195809;21.6;1
195810;15;1
195811;8.6;1
195812;8.3;1
195901;6.1;1
195902;7.9;1
195903;13;1
195904;15.4;1
195905;20;1
195906;23.6;1
195907;27.3;1
195908;25.2;1
195909;24.9;1
195910;18.3;1
195911;9.8;1
195912;8.9;1
196001;6.7;1
196002;8.3;1
196003;12.6;1
196004;14.8;1
196005;20.6;1
196006;22.7;1
196007;21.3;1
196008;21.7;1
196009;19;1
196010;15;1
196011;11.7;1
196012;5.8;1
196101;5.9;1
196102;12.3;1
196103;14.1;1
196104;17.4;1
196105;17.9;1
196106;22.1;1
196107;22.8;1
196108;24.1;1
196109;24.4;1
196110;15.9;1
196111;9.2;1
196112;7.2;1
196201;7.7;1
196202;7.1;1
196203;7.6;1
196204;13.2;1
196205;15.9;1
196206;21.4;1
196207;22.3;1
196208;23.2;1
196209;20.2;1
196210;16.7;1
196211;8;1
196212;4.4;1
196301;0.4;1
196302;1.8;1
196303;10.9;1
196304;14.4;1
196305;16.8;1
196306;20.7;1
196307;23.6;1
196308;20.2;1
