# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 59183001
# NOM_USUEL= DUNKERQUE
# LATITUDE (°) = 51.056
# LONGITUDE(°)= 2.34
# ALTITUDE (m) = 11
# NUM_SERIE= MTX459183001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 196610 197612 201012
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;7.3;1
195102;7.4;1
195103;8.1;1
195104;10.3;1
195105;13.2;1
195106;16.5;1
195107;20.2;1
195108;19.9;1
195109;18.9;1
195110;13.7;1
195111;11.8;1
195112;8.3;1
195201;6.4;1
195202;5.4;1
195203;8.9;1
195204;13.3;1
195205;16.7;1
195206;18.5;1
195207;20.2;1
195208;20.4;1
195209;15.8;1
195210;12.9;1
195211;7;1
195212;5.6;1
195301;4.8;1
195302;6.1;1
195303;7.8;1
195304;11.2;1
195305;14.9;1
195306;16.1;1
195307;19.8;1
195308;20.4;1
195309;18.8;1
195310;15.2;1
195311;10.9;1
195312;9.5;1
195401;5.2;1
195402;4.2;1
195403;9.5;1
195404;9.7;1
195405;14.6;1
195406;16.9;1
195407;18;1
195408;18.5;1
195409;17.8;1
195410;15.9;1
195411;11.2;1
195412;9.6;1
195501;5.3;1
195502;4.4;1
195503;5.9;1
195504;11.6;1
195505;13.4;1
195506;17.6;1
195507;18.3;1
195508;20.5;1
195509;19.2;1
195510;14;1
195511;10.8;1
195512;8.9;1
195601;7.4;1
195602;0.3;1
195603;9.5;1
195604;9.1;1
195605;15.2;1
195606;15.8;1
195607;19.4;1
195608;18.4;1
195609;19;1
195610;14.1;1
195611;8.9;1
195612;8.7;1
195701;7.7;1
195702;9.2;1
195703;13.4;1
195704;11.2;1
195705;13.8;1
195706;19.4;1
195707;20.7;1
195708;20;1
195709;17;1
195710;15;1
195711;9.4;1
195712;6.9;1
195801;6.8;1
195802;9;1
195803;7.4;1
195804;9.8;1
195805;15.6;1
195806;17.2;1
195807;19.6;1
195808;20.2;1
195809;19.6;1
195810;14.4;1
195811;9.3;1
195812;8.6;1
195901;6.5;1
195902;5.4;1
195903;11.5;1
195904;13.2;1
195905;15.1;1
195906;18.9;1
195907;21.3;1
195908;21.6;1
195909;20.5;1
195910;17.5;1
195911;9.7;1
195912;8.4;1
196001;7.4;1
196002;7.6;1
196003;8.6;1
196004;11.5;1
196005;14.8;1
196006;17.6;1
196007;18.2;1
196008;19.1;1
196009;17.4;1
196010;13.7;1
196011;11.1;1
196012;6.6;1
196101;6.1;1
196102;9.5;1
196103;10.7;1
196104;13.5;1
196105;14;1
196106;17.6;1
196107;19;1
196108;18.9;1
196109;19.8;1
196110;15.5;1
196111;8.8;1
196112;5.8;1
196201;7.2;1
196202;6.1;1
196203;5.2;1
196204;9.6;1
196205;11.9;1
196206;16.2;1
196207;17.5;1
196208;18.4;1
196209;17.4;1
196210;15.2;1
196211;8.2;1
196212;4.6;1
196301;-0.9;1
196302;0.6;1
196303;8.3;1
196304;10.6;1
196305;12.9;1
196306;16.1;1
196307;18.9;1
196308;18.9;1
196309;17.1;1
196310;14.2;1
196311;12.2;1
196312;3.5;1
196401;4.6;1
196402;7;1
196403;6;1
196404;11.8;1
196405;16.8;1
196406;18.2;1
196407;19.8;1
196408;20.7;1
196409;20.2;1
196410;12.7;1
196411;10.1;1
196412;7.1;1
196501;6.4;1
196502;4.7;1
196503;8.3;1
196504;10.3;1
196505;14.8;1
196506;17.5;1
196507;17.5;1
196508;19.1;1
196509;17.5;1
196510;15.5;1
196511;7.9;1
196512;8.8;1
196601;3.9;1
196602;9;1
196603;9.1;1
196604;11.2;1
196605;14.4;1
196606;18.6;1
196607;18.4;1
196608;19.3;1
196609;18.1;1
196610;15.1;1
196611;8.6;1
196612;8.5;1
196701;6.8;1
196702;8.9;1
196703;10.3;1
196704;10.3;1
196705;15.7;1
196706;17.3;1
196707;21.2;1
196708;20.3;1
196709;18.4;1
196710;15.1;1
196711;8.5;1
196712;7.2;1
196801;6.6;1
196802;4.4;1
196803;9.2;1
196804;11.9;1
196805;13;1
196806;17.9;1
196807;19;1
196808;18.9;1
196809;18.4;1
196810;15.6;1
196811;8.8;1
196812;4.3;1
196901;8.2;1
196902;4.9;1
196903;7.2;1
196904;10.7;1
196905;15.8;1
196906;17.2;1
196907;20.5;1
196908;20.9;1
196909;19.5;1
196910;18;1
196911;10.8;1
196912;4.1;1
197001;6.4;1
197002;7.1;1
197003;6.4;1
197004;9.3;1
197005;15.6;1
