# Inventaire des séries mensuelles homogénéisées fournies pour : TX
# TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
nom_fichier;num_poste;nom_usuel;latitude(°);longitude(°);altitude(m);num_serie; date_debut_serie(YYYYMM);date_fin_serie(YYYYMM)
SH_MTX101089001.csv;1089001;AMBERIEU;45.977;5.329;250;MTX101089001;195101;201512
SH_MTX102320001.csv;2320001;ST QUENTIN;49.818;3.206;98;MTX102320001;195301;201512
SH_MTX103059001.csv;3059001;CHAREIL-CINTRAT_SAPC;46.276;3.226;286;MTX103059001;195101;202212
SH_MTX303060001.csv;3060001;VICHY-CHARMEIL;46.167;3.399;249;MTX303060001;195101;202212
SH_MTX003180001.csv;3180001;MONTBEUGNY;46.536;3.423;275;MTX003180001;195901;202212
SH_MTX203204001.csv;3204001;PARAY-SOUS-BRIAILLES;46.284;3.338;250;MTX203204001;195101;202212
SH_MTX004019001.csv;4019001;BARCELONNETTE;44.391;6.67;1155;MTX004019001;195901;202012
SH_MTX104049001.csv;4049001;ST AUBAN;44.062;5.99;458;MTX104049001;195901;201912
SH_MTX105046001.csv;5046001;EMBRUN;44.571;6.509;873;MTX105046001;195101;202012
SH_MTX105064001.csv;5064001;CHAPELLE-EN-VALGAUDEMAR;44.81;6.195;1270;MTX105064001;195101;202012
SH_MTX105079001.csv;5079001;LE MONETIER LES BAINS;44.972;6.514;1459;MTX105079001;195101;202012
SH_MTX105098001.csv;5098001;LES ORRES;44.501;6.552;1446;MTX105098001;195901;201812
SH_MTX105142001.csv;5142001;ST FIRMIN;44.782;6.024;950;MTX105142001;195101;202012
SH_MTX105157001.csv;5157001;ST VERAN;44.693;6.869;2000;MTX105157001;195101;202012
SH_MTX105183001.csv;5183001;VILLAR ST PANCRACE;44.88;6.64;1310;MTX105183001;195901;202012
SH_MTX106004009.csv;6004009;ANTIBES_SAPC;43.599;7.111;32;MTX106004009;195901;201912
SH_MTX106029001.csv;6029001;CANNES;43.557;6.951;2;MTX106029001;195901;201912
SH_MTX106088001.csv;6088001;NICE;43.649;7.209;2;MTX106088001;195901;201912
SH_MTX106152002.csv;6152002;VALBONNE-SOPHIA;43.623;7.029;238;MTX106152002;195901;201912
SH_MTX107019005.csv;7019005;AUBENAS SA;44.602;4.41;176;MTX107019005;195901;201912
SH_MTX107064001.csv;7064001;CHEYLARD SA;44.915;4.438;418;MTX107064001;195901;201912
SH_MTX107105001.csv;7105001;ISSANLAS;44.773;3.982;1215;MTX107105001;196001;201812
SH_MTX107128001.csv;7128001;LALOUVESC;45.118;4.535;1090;MTX107128001;195701;201812
SH_MTX107144001.csv;7144001;LOUBARESSE;44.6;4.049;1220;MTX107144001;195601;201812
SH_MTX107159001.csv;7159001;MIRABEL SA;44.582;4.497;275;MTX107159001;195901;201912
SH_MTX107261001.csv;7261001;ST-LAURENT PAPE;44.818;4.747;112;MTX107261001;195901;201912
SH_MTX107338001.csv;7338001;VERNOUX;44.9;4.652;561;MTX107338001;195901;201912
SH_MTX008145001.csv;8145001;DOUZY;49.658;5.04;153;MTX008145001;195901;201512
SH_MTX108239001.csv;8239001;JUNIVILLE;49.397;4.372;90;MTX108239001;195901;201512
SH_MTX108255001.csv;8255001;LINAY;49.617;5.217;177;MTX108255001;195301;201512
SH_MTX109023002.csv;9023002;ASCOU LAVAIL;42.724;1.895;1100;MTX109023002;195901;201812
SH_MTX109289001.csv;9289001;ST GIRONS;43.005;1.107;414;MTX109289001;195501;201812
SH_MTX110057001.csv;10057001;BOUY-SUR-ORVIN;48.44;3.505;102;MTX110057001;195301;201512
SH_MTX111012001.csv;11012001;ARGELIERS;43.308;2.912;31;MTX111012001;195101;201912
SH_MTX211069001.csv;11069001;CARCASSONNE;43.215;2.296;128;MTX211069001;195101;201912
SH_MTX211076001.csv;11076001;CASTELNAUDARY;43.305;1.949;160;MTX211076001;195901;202212
SH_MTX012154003.csv;12154003;MONTLAUR;43.892;2.836;374;MTX012154003;195501;201612
SH_MTX112253001.csv;12253001;SALLES CURAN;44.152;2.866;959;MTX112253001;195101;201812
SH_MTX213001009.csv;13001009;AIX EN PROVENCE;43.53;5.425;173;MTX213001009;195901;201912
SH_MTX213047001.csv;13047001;ISTRES;43.523;4.928;23;MTX213047001;195601;201912
SH_MTX213054001.csv;13054001;MARIGNANE;43.438;5.216;9;MTX213054001;195901;201912
SH_MTX113099001.csv;13099001;CADARACHE-LA VERRERIE-CEA;43.708;5.765;296;MTX113099001;196001;201912
SH_MTX113103001.csv;13103001;SALON DE PROVENCE;43.613;5.108;58;MTX113103001;195601;201912
SH_MTX314137001.csv;14137001;CAEN-CARPIQUET;49.18;-0.456;67;MTX314137001;195101;202212
SH_MTX214578001.csv;14578001;ST GATIEN DES B;49.365;0.167;139;MTX214578001;195101;202212
SH_MTX015050001.csv;15050001;LE CLAUX;45.173;2.711;1033;MTX015050001;196101;201812
SH_MTX216089001.csv;16089001;COGNAC;45.665;-0.316;30;MTX216089001;195301;201712
SH_MTX216113001.csv;16113001;LA COURONNE;45.628;0.1;58;MTX216113001;195301;201712
SH_MTX016279001.csv;16279001;RIOUX MARTIN;45.262;0.003;81;MTX016279001;195301;201712
SH_MTX017300009.csv;17300009;LA ROCHELLE-ILE DE RE;46.178;-1.193;20;MTX017300009;195101;202112
SH_MTX317323001.csv;17323001;CHASSIRON;46.047;-1.412;11;MTX317323001;195101;202112
SH_MTX017339002.csv;17339002;ST GERMAIN DE LUSIGNAN;45.458;-0.41;71;MTX017339002;195301;201712
SH_MTX117415003.csv;17415003;SAINTES;45.761;-0.652;38;MTX117415003;195301;201712
SH_MTX418033001.csv;18033001;BOURGES;47.059;2.36;161;MTX418033001;195301;202212
SH_MTX218092001.csv;18092001;AVORD;47.052;2.642;175;MTX218092001;195301;202212
SH_MTX218223003.csv;18223003;ST-MARTIN-D'A.;47.201;2.417;172;MTX218223003;195901;202212
SH_MTX119034001.csv;19034001;CAMPS;44.984;1.988;519;MTX119034001;195701;201812
SH_MTX119272001.csv;19272001;TULLE;45.243;1.74;235;MTX119272001;195701;201812
SH_MTX119275001.csv;19275001;USSEL-LAMARTINE;45.559;2.321;654;MTX119275001;195101;201712
SH_MTX120004002.csv;20004002;AJACCIO;41.918;8.793;5;MTX120004002;195601;201912
SH_MTX120004003.csv;20004003;AJACCIO-PARATA;41.908;8.618;124;MTX120004003;195601;201912
SH_MTX120041001.csv;20041001;CAP PERTUSATO;41.375;9.178;107;MTX120041001;195601;201912
SH_MTX120050001.csv;20050001;CALVI;42.53;8.792;57;MTX120050001;196101;201912
SH_MTX120148001.csv;20148001;BASTIA;42.541;9.485;10;MTX120148001;195601;201912
SH_MTX321154001.csv;21154001;CHATILLON/SEINE;47.849;4.581;262;MTX321154001;195101;202212
SH_MTX321473001.csv;21473001;DIJON-LONGVIC;47.268;5.088;219;MTX321473001;195901;202212
SH_MTX122016001.csv;22016001;ILE-DE-BREHAT;48.855;-3.005;25;MTX122016001;195101;201612
SH_MTX022147006.csv;22147006;MERDRIGNAC;48.188;-2.421;145;MTX022147006;195901;201612
SH_MTX122168001.csv;22168001;PLOUMANAC'H;48.826;-3.473;55;MTX122168001;195101;201612
SH_MTX022266001.csv;22266001;ROSTRENEN;48.227;-3.295;236;MTX022266001;195501;201612
SH_MTX122282001.csv;22282001;SAINT-CAST-LE-G;48.645;-2.247;35;MTX122282001;195901;201612
SH_MTX022372001.csv;22372001;ST BRIEUC;48.535;-2.852;135;MTX022372001;196101;201612
SH_MTX123067001.csv;23067001;LA COURTINE;45.703;2.264;772;MTX123067001;195901;201812
